,district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,sankhuwasabha,chainpur (east),28.29675889,82.25800611,1599329700,Humid throughout the day.,rain,1599351180,1599396480,0.64,0.3128,1.2701,1599383640,0.42,rain,27.81,1599372600,19.58,1599436140,33.91,1599373500,20.71,1599435840,23.7,1.0,1006.2,1.05,2.55,1599381240,162,0.19,10,1599372120,16.093,262.9,19.83,1599349920,27.81,1599372600,21.09,1599349740,33.91,1599373500
1,sindhupalchok,sarmathang,27.982364500000003,85.6495195,1599329700,Foggy starting in the morning.,fog,1599350400,1599395640,0.64,0.1139,0.3496,1599384540,0.33,rain,21.66,1599376740,13.84,1599421620,23.79,1599377940,15.44,1599422100,16.59,1.0,1007.4,1.25,2.43,1599374280,356,0.65,10,1599371100,10.864,257.3,12.34,1599348180,21.66,1599376740,13.83,1599348000,23.79,1599377940
2,sankhuwasabha,chepuwa,27.292096899999997,87.31696579999999,1599329700,Humid and mostly cloudy throughout the day.,rain,1599350040,1599395220,0.64,0.3642,0.8167,1599383160,0.61,rain,26.69,1599375780,18.11,1599436560,29.01,1599375840,19.09,1599436560,21.28,0.98,1007.2,0.84,2.33,1599391080,198,0.86,8,1599372360,13.713,260.2,17.47,1599349920,26.69,1599375780,18.5,1599349860,29.01,1599375840
3,sankhuwasabha,tumlingtar,27.25,87.25,1599329700,Possible light rain in the evening.,rain,1599350040,1599395220,0.64,0.3848,0.8499,1599383160,0.62,rain,26.5,1599375360,18.38,1599420240,28.29,1599375120,19.24,1599420240,20.89,0.97,1006.8,0.91,2.96,1599391560,189,0.82,10,1599372000,14.314,261.0,17.99,1599349680,26.5,1599375360,18.94,1599349680,28.29,1599375120
4,sindhupalchok,chautara,27.85531,85.8596519,1599329700,Humid throughout the day.,rain,1599350340,1599395580,0.64,0.2123,0.576,1599396180,0.39,rain,22.95,1599376380,14.58,1599437160,24.26,1599378180,15.93,1599436800,18.08,1.0,1007.2,1.01,1.83,1599375780,351,0.65,10,1599371220,12.478,258.1,12.92,1599349680,22.95,1599376380,14.15,1599349620,24.26,1599378180
5,saptari,phatepur,27.30127778,87.20433333,1599329700,Humid and mostly cloudy throughout the day.,rain,1599350040,1599395280,0.64,0.3693,0.8374,1599383640,0.6,rain,29.23,1599376380,20.86,1599435900,36.37,1599377040,22.24,1599435480,23.74,0.98,1007.0,0.88,2.43,1599391020,194,0.84,8,1599372180,14.285,260.4,20.01,1599349620,29.23,1599376380,21.47,1599349560,36.37,1599377040
6,sankhuwasabha,khadbari,27.75331194,87.41234,1599329700,Foggy starting in the morning.,rain,1599349980,1599395220,0.64,0.2052,0.4924,1599382920,0.44,rain,14.5,1599372000,8.54,1599415140,17.57,1599372900,10.87,1599419760,10.65,1.0,1008.5,1.23,3.18,1599376440,58,0.96,6,1599371820,6.12,254.0,8.54,1599415140,14.5,1599372000,10.97,1599416100,17.57,1599372900
7,solukhumbu,salleri,27.81666667,86.71666667,1599329700,Foggy in the morning and afternoon.,fog,1599350160,1599395400,0.64,0.0434,0.1517,1599383700,0.32,rain,9.5,1599375840,2.64,1599437700,8.39,1599375600,2.91,1599437700,5.44,1.0,1008.1,1.39,2.7,1599381180,322,0.94,7,1599372660,7.705,251.2,2.26,1599349800,9.5,1599375840,2.53,1599349800,9.67,1599401580
8,lamjung,besishahar,28.25596667,84.47929722,1599321600,Humid throughout the day.,fog,1599350640,1599395940,0.63,0.1749,0.59,1599384420,0.37,rain,25.04,1599382800,17.39,1599436740,26.47,1599382860,18.46,1599436380,20.12,1.0,1007.6,1.27,1.78,1599381960,0,0.46,10,1599371280,11.323,261.1,16.27,1599349140,25.04,1599382800,17.5,1599348780,26.47,1599382860
9,mahottari,jalesore,26.88333333,85.78333333,1599329700,Humid and partly cloudy throughout the day.,rain,1599350400,1599395580,0.64,0.1202,0.2835,1599372060,0.6,rain,30.98,1599379680,24.24,1599434940,38.38,1599385680,25.43,1599434940,24.9,0.83,1005.0,2.37,3.8,1599416100,109,0.71,10,1599371880,16.093,264.2,25.8,1599346860,30.98,1599379680,27.92,1599416100,38.38,1599385680
10,siraha,lahan,27.68336667,85.70658333,1599329700,Humid and partly cloudy throughout the day.,rain,1599350400,1599395640,0.64,0.3775,1.0317,1599400500,0.48,rain,28.95,1599376320,18.08,1599436740,33.4,1599378900,18.94,1599436740,21.82,0.95,1007.0,0.75,1.87,1599381900,154,0.57,10,1599372780,14.403,261.0,16.65,1599349980,28.95,1599376320,17.36,1599349980,33.4,1599378900
11,sarlahi,malangwa,27.09985278,85.65964167,1599329700,Possible light rain in the evening.,rain,1599350400,1599395640,0.64,0.1791,0.459,1599392640,0.63,rain,31.32,1599379320,23.91,1599435480,40.35,1599379980,25.17,1599435360,25.59,0.87,1005.4,1.77,3.29,1599377100,115,0.63,10,1599372360,15.761,263.8,25.32,1599347460,31.32,1599379320,26.63,1599347040,40.35,1599379980
12,siraha,namche bazar,26.73284194,86.477195,1599329700,Possible light rain overnight.,rain,1599350220,1599395400,0.64,0.1352,0.4172,1599329700,0.78,rain,30.27,1599379080,23.8,1599435900,36.44,1599377340,24.92,1599435900,24.7,0.85,1005.2,2.29,6.14,1599416100,117,0.84,8,1599373260,16.093,263.8,25.01,1599350280,30.27,1599379080,26.27,1599351900,36.44,1599377340
13,lamiung,khudi bazar,28.12677778,84.34494167,1599329700,Humid and partly cloudy throughout the day.,rain,1599350700,1599396000,0.64,0.2273,0.6782,1599390420,0.4,rain,29.6,1599380280,18.73,1599436620,32.64,1599381720,19.36,1599436560,20.67,0.83,1007.2,1.26,2.16,1599382560,344,0.4,11,1599372120,13.882,263.1,18.59,1599350100,29.6,1599380280,19.17,1599350040,32.64,1599381720
