district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
Achham,Asara Ghat,28.95029444,81.44431944,2020-09-23 00:00:00,"Possible light rain until morning, starting again in the evening.",rain,2020-09-23 06:10:00,2020-09-23 18:16:00,0.23,0.6549,2.4964,2020-09-23 00:00:00,0.8,rain,26.18,2020-09-23 14:26:00,18.9,2020-09-24 06:05:00,28.17,2020-09-23 14:29:00,20.09,2020-09-24 05:58:00,23.07,1.0,1006.4,0.8,1.71,1600849680,61,0.91,6,1600841040,15.927,256.5,20.91,2020-09-23 05:45:00,26.18,2020-09-23 14:26:00,22.25,2020-09-24 00:00:00,28.17,2020-09-23 14:29:00
Achham,Basti,29.03098333,81.17113333,2020-09-23 00:00:00,"Possible light rain until morning, starting again in the evening.",rain,2020-09-23 06:11:00,2020-09-23 18:17:00,0.23,0.6306,4.2772,2020-09-23 00:00:00,0.8,rain,27.94,2020-09-23 11:43:00,20.0,2020-09-24 06:00:00,34.51,2020-09-23 12:00:00,21.35,2020-09-24 05:48:00,24.01,1.0,1006.3,0.77,1.95,1600845420,47,0.71,8,1600840440,15.514,257.4,21.58,2020-09-23 05:58:00,27.94,2020-09-23 11:43:00,23.12,2020-09-24 00:00:00,34.51,2020-09-23 12:00:00
Achham,Mangalsen,29.13611389,81.25009167,2020-09-23 00:00:00,Possible light rain in the evening.,rain,2020-09-23 06:10:00,2020-09-23 18:17:00,0.23,0.4936,2.8705,2020-09-23 00:00:00,0.72,rain,25.03,2020-09-23 11:51:00,16.87,2020-09-24 05:55:00,25.82,2020-09-23 11:59:00,18.25,2020-09-24 05:50:00,20.68,1.0,1006.6,0.87,1.9,1600846020,60,0.72,7,1600840680,15.175,256.9,18.33,2020-09-23 05:44:00,25.03,2020-09-23 11:51:00,19.66,2020-09-23 05:45:00,25.82,2020-09-23 11:59:00
Achham,Sugali,29.17980694,81.37293889,2020-09-23 00:00:00,Mostly cloudy throughout the day.,rain,2020-09-23 06:10:00,2020-09-23 18:16:00,0.23,0.4376,1.4556,2020-09-23 00:00:00,0.65,rain,21.33,2020-09-23 11:48:00,15.15,2020-09-24 05:52:00,22.69,2020-09-23 12:27:00,16.79,2020-09-24 05:44:00,18.51,1.0,1007.0,0.99,1.93,1600843740,61,0.79,7,1600840740,15.002,255.5,16.51,2020-09-23 05:33:00,21.33,2020-09-23 11:48:00,17.85,2020-09-23 05:37:00,22.69,2020-09-23 12:27:00
Arghakhanchi,Rangsing,27.80330278,82.78400833,2020-09-23 00:00:00,Light rain and humid throughout the day.,rain,2020-09-23 06:04:00,2020-09-23 18:11:00,0.23,0.5715,1.9768,2020-09-23 00:00:00,0.92,rain,23.82,2020-09-23 16:42:00,20.93,2020-09-24 07:05:00,25.09,2020-09-23 16:37:00,22.3,2020-09-24 06:28:00,22.56,1.0,1004.8,1.82,5.56,1600815060,56,0.99,5,1600841700,15.978,256.1,21.58,2020-09-23 03:30:00,23.82,2020-09-23 16:42:00,22.73,2020-09-23 03:28:00,25.09,2020-09-23 16:37:00
Arghakhanchi,Sandhikharka,27.96402222,83.12056944,2020-09-23 00:00:00,Rain throughout the day.,rain,2020-09-23 06:03:00,2020-09-23 18:09:00,0.23,0.9913,1.6829,2020-09-23 00:00:00,0.89,rain,19.76,2020-09-23 16:45:00,17.32,2020-09-24 01:29:00,21.16,2020-09-23 13:46:00,18.33,2020-09-24 01:27:00,18.64,1.0,1006.1,1.43,2.29,1600851900,42,0.98,6,1600841220,14.372,254.6,17.44,2020-09-24 00:00:00,19.76,2020-09-23 16:45:00,18.45,2020-09-24 00:00:00,21.16,2020-09-23 13:46:00
Arghakhanchi,Sidhara,27.7945,82.82838333,2020-09-23 00:00:00,Rain and humid throughout the day.,rain,2020-09-23 06:04:00,2020-09-23 18:10:00,0.23,0.5833,1.8291,2020-09-23 00:00:00,0.92,rain,23.31,2020-09-23 16:39:00,20.7,2020-09-24 06:47:00,24.62,2020-09-23 16:34:00,22.06,2020-09-24 02:41:00,22.14,1.0,1004.8,1.85,5.43,1600814700,55,0.99,5,1600841640,15.782,256.1,21.14,2020-09-23 02:52:00,23.31,2020-09-23 16:39:00,22.3,2020-09-23 02:53:00,24.62,2020-09-23 16:34:00
Baglung,Baglung,28.26363611,83.60032222,2020-09-23 00:00:00,Rain throughout the day.,rain,2020-09-23 06:01:00,2020-09-23 18:07:00,0.23,1.7851,2.7095,2020-09-23 18:03:00,0.87,rain,18.59,2020-09-23 17:00:00,16.24,2020-09-24 06:47:00,20.04,2020-09-23 16:51:00,17.49,2020-09-24 01:37:00,17.21,1.0,1008.0,0.96,2.1,1600830960,353,1.0,5,1600841880,9.819,253.4,16.27,2020-09-23 06:48:00,18.59,2020-09-23 17:00:00,17.39,2020-09-23 06:43:00,20.04,2020-09-23 16:51:00
Baglung,Dhorpatan,28.48333333,83.08333333,2020-09-23 00:00:00,Rain until afternoon.,rain,2020-09-23 06:03:00,2020-09-23 18:09:00,0.23,2.1896,4.7808,2020-09-23 02:48:00,0.74,rain,13.0,2020-09-23 12:22:00,9.15,2020-09-24 05:50:00,16.22,2020-09-23 12:42:00,9.35,2020-09-24 06:43:00,10.33,1.0,1008.1,1.28,2.58,1600829580,42,1.0,6,1600842060,12.868,250.2,8.48,2020-09-23 06:23:00,13.0,2020-09-23 12:22:00,8.13,2020-09-23 06:11:00,16.22,2020-09-23 12:42:00
Baglung,Galkot,28.21869167,83.41881111,2020-09-23 00:00:00,Rain throughout the day.,rain,2020-09-23 06:02:00,2020-09-23 18:08:00,0.23,1.6602,2.3529,2020-09-23 22:37:00,0.86,rain,16.41,2020-09-23 18:22:00,14.45,2020-09-24 06:21:00,17.61,2020-09-23 17:52:00,15.71,2020-09-24 05:59:00,15.44,1.0,1007.9,1.19,2.2,1600831980,10,1.0,6,1600841880,11.289,253.4,14.1,2020-09-23 06:38:00,16.42,2020-09-23 21:48:00,15.2,2020-09-23 06:22:00,17.61,2020-09-23 17:52:00
