district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,precipAccumulation
Achham,Asara Ghat,28.95029444,81.44431944,2020-10-05 00:00:00,Clear throughout the day.,clear-day,2020-10-05 06:16:00,2020-10-05 18:02:00,0.61,0.0007,0.0062,2020-10-05 17:45:00,0.01,rain,31.66,2020-10-05 13:41:00,17.88,2020-10-06 05:31:00,31.38,2020-10-05 13:41:00,18.15,2020-10-06 05:31:00,14.9,0.59,1009.2,1.57,3.46,1601853960,27,0.03,9,1601878920,16.093,264.2,17.62,2020-10-05 05:32:00,31.66,2020-10-05 13:41:00,17.89,2020-10-05 05:32:00,31.38,2020-10-05 13:41:00,
Achham,Basti,29.03098333,81.17113333,2020-10-05 00:00:00,Humid throughout the day.,clear-day,2020-10-05 06:17:00,2020-10-05 18:03:00,0.61,0.0038,0.0315,2020-10-05 11:45:00,0.01,rain,32.72,2020-10-05 13:10:00,17.12,2020-10-06 05:34:00,32.42,2020-10-05 13:05:00,17.39,2020-10-06 05:34:00,17.07,0.66,1009.2,1.29,2.44,1601857380,9,0.0,9,1601878980,16.093,264.3,17.2,2020-10-05 05:36:00,32.72,2020-10-05 13:10:00,17.47,2020-10-05 05:36:00,32.42,2020-10-05 13:05:00,
Achham,Mangalsen,29.13611389,81.25009167,2020-10-05 00:00:00,Clear throughout the day.,clear-day,2020-10-05 06:17:00,2020-10-05 18:02:00,0.61,0.0007,0.0062,2020-10-05 17:45:00,0.01,rain,29.39,2020-10-05 13:33:00,15.97,2020-10-06 05:33:00,29.11,2020-10-05 13:33:00,16.24,2020-10-06 05:33:00,12.25,0.59,1009.4,1.38,2.77,1601921700,32,0.0,9,1601878980,16.093,263.9,15.25,2020-10-05 05:35:00,29.39,2020-10-05 13:33:00,15.52,2020-10-05 05:35:00,29.11,2020-10-05 13:33:00,
Achham,Sugali,29.17980694,81.37293889,2020-10-05 00:00:00,Clear throughout the day.,clear-day,2020-10-05 06:16:00,2020-10-05 18:02:00,0.61,0.0007,0.0062,2020-10-05 17:45:00,0.01,rain,27.24,2020-10-05 13:37:00,14.63,2020-10-06 05:32:00,26.96,2020-10-05 13:37:00,14.9,2020-10-06 05:32:00,10.13,0.59,1009.7,1.64,3.55,1601854380,34,0.0,9,1601878920,16.093,262.7,13.31,2020-10-05 05:24:00,27.24,2020-10-05 13:37:00,13.58,2020-10-05 05:24:00,26.96,2020-10-05 13:37:00,
Arghakhanchi,Rangsing,27.80330278,82.78400833,2020-10-05 00:00:00,Humid throughout the day.,clear-day,2020-10-05 06:10:00,2020-10-05 17:57:00,0.61,0.0236,0.1617,2020-10-05 08:44:00,0.06,rain,33.09,2020-10-05 13:54:00,22.46,2020-10-06 04:59:00,35.94,2020-10-05 14:10:00,23.06,2020-10-06 05:05:00,20.7,0.7,1007.0,1.34,2.67,1601888580,46,0.17,9,1601878620,16.093,263.8,21.33,2020-10-05 05:07:00,33.09,2020-10-05 13:54:00,21.89,2020-10-05 05:14:00,35.94,2020-10-05 14:10:00,
Arghakhanchi,Sandhikharka,27.96402222,83.12056944,2020-10-05 00:00:00,Clear throughout the day.,clear-day,2020-10-05 06:09:00,2020-10-05 17:55:00,0.61,0.0098,0.0343,2020-10-05 20:19:00,0.05,rain,29.06,2020-10-05 13:16:00,16.63,2020-10-06 05:34:00,30.06,2020-10-05 13:33:00,16.9,2020-10-06 05:34:00,17.86,0.79,1008.3,1.33,1.92,1601887980,18,0.17,10,1601878500,16.093,261.9,16.34,2020-10-05 05:37:00,29.06,2020-10-05 13:16:00,16.6,2020-10-05 05:36:00,30.06,2020-10-05 13:33:00,
Arghakhanchi,Sidhara,27.7945,82.82838333,2020-10-05 00:00:00,Humid throughout the day.,clear-day,2020-10-05 06:10:00,2020-10-05 17:57:00,0.61,0.0197,0.1372,2020-10-05 08:44:00,0.05,rain,32.43,2020-10-05 13:49:00,22.41,2020-10-06 04:58:00,34.92,2020-10-05 13:55:00,22.98,2020-10-06 05:05:00,20.46,0.72,1007.0,1.37,2.62,1601888460,50,0.18,9,1601878620,16.093,263.7,21.26,2020-10-05 05:09:00,32.43,2020-10-05 13:49:00,21.84,2020-10-05 05:17:00,34.92,2020-10-05 13:55:00,
Baglung,Baglung,28.26363611,83.60032222,2020-10-05 00:00:00,Clear throughout the day.,clear-day,2020-10-05 06:07:00,2020-10-05 17:53:00,0.61,0.0177,0.0891,2020-10-05 19:07:00,0.06,rain,28.67,2020-10-05 13:42:00,15.46,2020-10-06 05:33:00,28.75,2020-10-05 13:50:00,15.73,2020-10-06 05:33:00,14.26,0.69,1010.2,1.42,2.94,1601854620,322,0.11,9,1601878440,16.093,259.9,14.82,2020-10-05 05:27:00,28.67,2020-10-05 13:42:00,15.09,2020-10-05 05:27:00,28.75,2020-10-05 13:50:00,
Baglung,Dhorpatan,28.48333333,83.08333333,2020-10-05 00:00:00,Clear throughout the day.,clear-day,2020-10-05 06:09:00,2020-10-05 17:55:00,0.61,0.0218,0.1171,2020-10-05 20:32:00,0.12,rain,17.58,2020-10-05 12:52:00,6.91,2020-10-06 05:14:00,17.3,2020-10-05 12:52:00,5.57,2020-10-06 05:10:00,8.11,0.87,1010.2,1.67,2.88,1601854860,24,0.17,10,1601878560,16.023,257.6,5.75,2020-10-05 05:14:00,17.58,2020-10-05 12:52:00,4.18,2020-10-05 05:14:00,17.3,2020-10-05 12:52:00,
Baglung,Galkot,28.21869167,83.41881111,2020-10-05 00:00:00,Clear throughout the day.,clear-day,2020-10-05 06:08:00,2020-10-05 17:54:00,0.61,0.0233,0.1217,2020-10-05 20:02:00,0.08,rain,27.5,2020-10-05 13:43:00,12.62,2020-10-06 05:33:00,27.25,2020-10-05 13:43:00,12.89,2020-10-06 05:33:00,12.46,0.67,1009.9,1.46,2.75,1601854980,329,0.14,10,1601878440,16.093,260.1,12.46,2020-10-05 05:35:00,27.5,2020-10-05 13:43:00,12.73,2020-10-05 05:35:00,27.25,2020-10-05 13:43:00,
