,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Overcast,cloudy,0.1958,0.05,rain,25.18,26.09,21.51,0.8,1009.8,1.3,1.72,142,0.91,6,13.349,266.4
1,2020-09-08 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3565,0.06,rain,26.9,29.29,22.61,0.77,1009.1,1.44,2.01,160,0.85,6,10.657,266.0
2,2020-09-08 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4955,0.07,rain,27.71,31.14,23.57,0.78,1008.4,1.44,1.87,160,0.69,7,10.062,265.5
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6133,0.08,rain,27.7,31.75,24.47,0.83,1007.7,1.35,1.61,152,0.51,7,10.383,265.1
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6841,0.08,rain,27.05,31.0,25.24,0.9,1007.1,1.2,1.45,146,0.43,5,10.689,264.8
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6884,0.09,rain,26.08,28.6,25.73,0.98,1006.8,0.96,1.34,147,0.5,3,10.614,264.9
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.636,0.09,rain,24.98,26.11,24.98,1.0,1006.8,0.69,1.3,140,0.62,1,10.942,265.0
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5426,0.07,rain,23.83,25.02,23.83,1.0,1007.1,0.54,1.19,109,0.74,0,12.726,264.9
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4094,0.06,rain,22.52,23.57,22.52,1.0,1008.0,0.55,0.96,63,0.85,0,16.093,264.6
9,2020-09-08 20:00:00,Overcast,cloudy,0.2678,0.05,rain,21.27,22.13,21.27,1.0,1009.1,0.62,0.73,4,0.95,0,16.093,264.2
10,2020-09-08 21:00:00,Overcast,cloudy,0.1569,0.04,rain,20.43,21.11,20.24,0.99,1009.9,0.69,0.69,324,1.0,0,16.093,264.0
11,2020-09-08 22:00:00,Overcast,cloudy,0.0713,0.03,rain,20.08,20.62,19.21,0.95,1010.4,0.77,0.81,321,1.0,0,16.093,264.1
12,2020-09-08 23:00:00,Overcast,cloudy,0.02,0.02,rain,19.9,20.37,18.7,0.93,1010.9,0.87,1.0,333,1.0,0,16.093,264.2
13,2020-09-09 00:00:00,Overcast,cloudy,0.0035,0.02,rain,19.73,20.14,18.22,0.91,1010.5,0.96,1.18,340,1.0,0,16.093,264.2
14,2020-09-09 01:00:00,Overcast,cloudy,0.0,0.0,,19.54,19.9,17.86,0.9,1010.3,1.04,1.39,336,0.99,0,16.093,264.1
15,2020-09-09 02:00:00,Overcast,cloudy,0.0074,0.02,rain,19.36,19.7,17.69,0.9,1010.2,1.11,1.6,332,0.98,0,16.093,263.9
16,2020-09-09 03:00:00,Overcast,cloudy,0.0095,0.02,rain,19.31,19.65,17.65,0.9,1010.1,1.15,1.75,329,0.97,0,16.093,263.9
17,2020-09-09 04:00:00,Overcast,cloudy,0.0121,0.02,rain,19.09,19.43,17.59,0.91,1010.3,1.17,1.85,328,0.97,0,16.093,264.3
18,2020-09-09 05:00:00,Overcast,cloudy,0.0306,0.01,rain,18.81,19.16,17.57,0.93,1010.7,1.15,1.89,329,0.96,0,16.093,264.8
19,2020-09-09 06:00:00,Overcast,cloudy,0.0512,0.02,rain,18.58,18.97,17.73,0.95,1010.8,1.09,1.78,338,0.88,0,16.093,265.1
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0557,0.03,rain,19.14,19.6,18.4,0.96,1011.0,0.97,1.43,359,0.69,0,16.093,265.1
21,2020-09-09 08:00:00,Partly Cloudy,partly-cloudy-day,0.0598,0.03,rain,20.35,20.9,19.41,0.94,1011.3,0.83,1.03,6,0.47,2,16.093,265.0
22,2020-09-09 09:00:00,Partly Cloudy,partly-cloudy-day,0.079,0.03,rain,21.81,22.42,20.22,0.91,1011.0,0.81,0.94,337,0.32,4,16.093,264.9
23,2020-09-09 10:00:00,Clear,clear-day,0.1275,0.04,rain,23.48,24.08,20.88,0.85,1010.5,0.94,1.3,24,0.24,7,14.951,264.8
24,2020-09-09 11:00:00,Clear,clear-day,0.2188,0.05,rain,25.37,26.32,21.81,0.81,1009.6,1.11,1.79,81,0.22,9,12.419,264.6
25,2020-09-09 12:00:00,Humid,clear-day,0.3279,0.06,rain,26.89,29.31,22.68,0.78,1008.6,1.2,2.02,107,0.27,10,11.195,264.0
26,2020-09-09 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4327,0.06,rain,27.67,31.06,23.55,0.78,1007.6,1.14,1.85,123,0.43,9,11.73,262.7
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5332,0.06,rain,27.58,31.47,24.38,0.83,1006.6,1.04,1.56,132,0.62,6,13.003,261.2
28,2020-09-09 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6073,0.07,rain,26.92,30.67,25.17,0.9,1005.9,0.95,1.36,129,0.76,4,13.867,260.4
29,2020-09-09 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6433,0.08,rain,25.94,28.21,25.79,0.99,1005.5,0.89,1.33,109,0.82,2,14.161,260.5
30,2020-09-09 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6347,0.09,rain,25.03,26.23,25.03,1.0,1005.3,0.82,1.33,69,0.84,1,14.259,260.9
31,2020-09-09 18:00:00,Humid and Overcast,cloudy,0.5487,0.08,rain,23.96,25.2,23.96,1.0,1005.5,0.76,1.24,353,0.88,0,13.957,261.1
32,2020-09-09 19:00:00,Humid and Overcast,cloudy,0.3751,0.06,rain,22.77,23.86,22.77,1.0,1006.4,0.67,0.99,355,0.93,0,12.83,260.9
33,2020-09-09 20:00:00,Overcast,cloudy,0.2132,0.05,rain,21.59,22.49,21.59,1.0,1007.6,0.6,0.73,348,0.98,0,11.783,260.6
34,2020-09-09 21:00:00,Overcast,cloudy,0.1331,0.04,rain,20.7,21.43,20.67,1.0,1008.3,0.62,0.66,329,1.0,0,12.573,260.3
35,2020-09-09 22:00:00,Overcast,cloudy,0.1137,0.04,rain,20.16,20.74,19.51,0.96,1008.5,0.77,0.85,328,1.0,0,16.022,260.0
36,2020-09-09 23:00:00,Overcast,cloudy,0.1116,0.04,rain,19.76,20.25,18.79,0.94,1008.4,0.95,1.13,3,1.0,0,16.093,259.8
37,2020-09-10 00:00:00,Overcast,cloudy,0.09,0.05,rain,19.46,19.88,18.27,0.93,1008.4,1.05,1.3,340,1.0,0,16.093,259.6
38,2020-09-10 01:00:00,Overcast,cloudy,0.0402,0.05,rain,19.29,19.67,17.93,0.92,1008.3,1.03,1.3,334,1.0,0,16.093,259.5
39,2020-09-10 02:00:00,Overcast,cloudy,0.0111,0.04,rain,19.19,19.56,17.79,0.92,1007.6,0.98,1.26,335,1.0,0,16.093,259.3
40,2020-09-10 03:00:00,Overcast,cloudy,0.0104,0.03,rain,19.17,19.55,17.86,0.92,1007.4,0.95,1.26,335,1.0,0,16.093,259.3
41,2020-09-10 04:00:00,Overcast,cloudy,0.013,0.03,rain,18.94,19.35,17.99,0.94,1007.6,0.96,1.34,334,1.0,0,16.093,259.5
42,2020-09-10 05:00:00,Overcast,cloudy,0.0165,0.02,rain,18.6,19.06,18.23,0.98,1007.8,0.98,1.41,336,0.99,0,16.093,259.6
43,2020-09-10 06:00:00,Overcast,cloudy,0.0222,0.02,rain,18.27,18.8,18.27,1.0,1008.2,0.98,1.38,346,0.97,0,16.093,259.5
44,2020-09-10 07:00:00,Overcast,cloudy,0.0288,0.03,rain,18.68,19.26,18.68,1.0,1008.5,0.93,1.15,5,0.91,0,16.093,259.0
45,2020-09-10 08:00:00,Mostly Cloudy,partly-cloudy-day,0.0412,0.03,rain,19.73,20.38,19.73,1.0,1008.6,0.88,0.94,12,0.83,2,16.093,258.6
46,2020-09-10 09:00:00,Mostly Cloudy,partly-cloudy-day,0.0718,0.03,rain,21.09,21.77,20.5,0.96,1008.1,0.9,1.0,346,0.75,4,16.093,258.0
47,2020-09-10 10:00:00,Mostly Cloudy,partly-cloudy-day,0.1566,0.04,rain,22.84,23.53,21.28,0.91,1007.3,1.01,1.41,6,0.69,6,16.093,257.4
48,2020-09-10 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.312,0.05,rain,24.79,25.78,22.3,0.86,1006.5,1.13,2.0,42,0.63,7,15.33,257.0
