,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Overcast,cloudy,0.0455,0.04,rain,16.41,17.57,16.41,1,1009.9,1.64,2.29,188,0.99,6,16.093,262.4
1,2020-09-08 12:00:00,Overcast,cloudy,0.0964,0.06,rain,17.47,18.8,17.47,1,1009.3,1.73,2.69,188,0.98,6,16.06,261.9
2,2020-09-08 13:00:00,Overcast,cloudy,0.1705,0.08,rain,17.35,18.97,17.35,1,1008.8,1.59,2.58,196,0.98,6,13.201,261.5
3,2020-09-08 14:00:00,Overcast,cloudy,0.2579,0.1,rain,16.44,18.5,16.44,1,1008.1,1.36,2.29,202,0.98,5,10.575,261.2
4,2020-09-08 15:00:00,Overcast,cloudy,0.3128,0.12,rain,15.34,17.77,15.34,1,1007.6,1.18,2.05,181,0.99,4,9.342,261.1
5,2020-09-08 16:00:00,Overcast,cloudy,0.3098,0.11,rain,14.59,17.19,14.59,1,1007.4,1.1,1.91,128,0.99,3,9.903,261.5
6,2020-09-08 17:00:00,Overcast,cloudy,0.2708,0.08,rain,13.93,16.56,13.93,1,1007.4,1.04,1.81,330,0.99,1,11.349,262.0
7,2020-09-08 18:00:00,Overcast,cloudy,0.2143,0.07,rain,13.15,15.58,13.15,1,1007.8,1.0,1.75,305,1.0,0,12.695,262.1
8,2020-09-08 19:00:00,Overcast,cloudy,0.1472,0.06,rain,12.49,14.73,12.49,1,1008.8,0.99,1.51,7,1.0,0,13.686,261.9
9,2020-09-08 20:00:00,Overcast,cloudy,0.1015,0.05,rain,11.75,13.79,11.75,1,1010.0,0.99,1.25,26,1.0,0,14.852,261.7
10,2020-09-08 21:00:00,Overcast,cloudy,0.0844,0.04,rain,11.2,12.96,11.2,1,1010.6,1.0,1.07,15,1.0,0,16.093,261.5
11,2020-09-08 22:00:00,Overcast,cloudy,0.0701,0.03,rain,10.82,12.28,10.82,1,1011.0,1.01,1.02,16,1.0,0,16.093,261.5
12,2020-09-08 23:00:00,Overcast,cloudy,0.0538,0.03,rain,10.55,11.74,10.55,1,1011.2,1.03,1.04,22,1.0,0,16.093,261.4
13,2020-09-09 00:00:00,Overcast,cloudy,0.0392,0.03,rain,10.22,11.2,10.22,1,1011.3,1.03,1.04,25,1.0,0,16.093,261.3
14,2020-09-09 01:00:00,Overcast,cloudy,0.0258,0.03,rain,10.16,11.04,10.16,1,1011.1,1.01,1.03,21,1.0,0,16.093,261.1
