,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Overcast,cloudy,0.1601,0.05,rain,24.33,24.83,20.25,0.78,1010.1,1.14,1.62,152,1.0,5,16.093,266.5
1,2020-09-08 12:00:00,Overcast,cloudy,0.2976,0.06,rain,25.94,26.76,21.05,0.74,1009.5,1.24,1.93,178,0.98,6,14.881,266.1
2,2020-09-08 13:00:00,Mostly Cloudy,partly-cloudy-day,0.4383,0.06,rain,26.6,28.62,21.96,0.76,1008.8,1.23,1.88,183,0.84,6,14.321,265.6
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5778,0.07,rain,26.56,28.82,22.93,0.81,1008.0,1.17,1.7,177,0.68,6,14.292,265.1
4,2020-09-08 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6674,0.08,rain,25.92,27.77,23.81,0.88,1007.5,1.04,1.53,171,0.6,5,13.56,264.8
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6797,0.09,rain,24.98,25.98,24.41,0.97,1007.2,0.83,1.38,166,0.65,2,11.375,264.9
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6292,0.09,rain,24.14,25.31,24.14,1.0,1007.1,0.6,1.23,145,0.74,1,9.381,265.1
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5195,0.07,rain,22.95,24.07,22.95,1.0,1007.5,0.51,1.1,136,0.83,0,10.153,265.0
8,2020-09-08 19:00:00,Overcast,cloudy,0.3524,0.06,rain,21.53,22.5,21.53,1.0,1008.4,0.59,1.0,57,0.9,0,14.922,264.7
9,2020-09-08 20:00:00,Overcast,cloudy,0.1955,0.05,rain,20.2,20.99,20.2,1.0,1009.6,0.74,0.92,13,0.97,0,16.093,264.2
10,2020-09-08 21:00:00,Overcast,cloudy,0.0995,0.04,rain,19.21,19.84,19.21,1.0,1010.3,0.86,0.92,335,1.0,0,16.093,264.0
11,2020-09-08 22:00:00,Overcast,cloudy,0.0417,0.03,rain,18.74,19.24,18.47,0.98,1010.6,0.93,0.99,332,1.0,0,16.093,264.1
12,2020-09-08 23:00:00,Overcast,cloudy,0.0119,0.02,rain,18.48,18.83,17.48,0.94,1010.4,0.99,1.03,341,1.0,0,16.093,264.2
13,2020-09-09 00:00:00,Overcast,cloudy,0.0,0.0,,18.28,18.54,16.83,0.91,1010.1,1.06,1.1,347,1.0,0,16.093,264.3
14,2020-09-09 01:00:00,Overcast,cloudy,0.0,0.0,,18.08,18.31,16.54,0.91,1010.0,1.12,1.26,343,1.0,0,16.093,264.2
15,2020-09-09 02:00:00,Overcast,cloudy,0.0098,0.02,rain,17.84,18.06,16.37,0.91,1009.9,1.18,1.46,339,0.99,0,16.093,264.1
16,2020-09-09 03:00:00,Overcast,cloudy,0.0131,0.02,rain,17.83,18.04,16.29,0.91,1009.9,1.22,1.63,336,0.97,0,16.093,264.2
17,2020-09-09 04:00:00,Overcast,cloudy,0.0077,0.02,rain,17.45,17.62,15.89,0.91,1009.8,1.25,1.76,335,0.96,0,16.093,264.6
18,2020-09-09 05:00:00,Overcast,cloudy,0.0,0.0,,16.94,17.06,15.45,0.91,1009.8,1.25,1.82,336,0.93,0,16.093,265.1
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.0,0.0,,16.68,16.82,15.44,0.92,1010.0,1.19,1.69,345,0.83,0,16.093,265.4
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0,0.0,,17.35,17.53,15.99,0.92,1010.4,1.02,1.27,6,0.64,0,16.093,265.4
21,2020-09-09 08:00:00,Partly Cloudy,partly-cloudy-day,0.023,0.03,rain,18.62,18.89,16.96,0.9,1011.2,0.83,0.87,19,0.42,2,16.093,265.3
22,2020-09-09 09:00:00,Clear,clear-day,0.061,0.04,rain,20.33,20.7,18.14,0.87,1011.1,0.76,0.79,351,0.28,4,16.093,265.1
23,2020-09-09 10:00:00,Clear,clear-day,0.1302,0.04,rain,22.44,22.91,19.41,0.83,1010.7,0.87,1.14,18,0.24,7,15.539,264.9
24,2020-09-09 11:00:00,Clear,clear-day,0.2329,0.05,rain,24.71,25.2,20.26,0.76,1009.9,1.02,1.73,74,0.26,9,12.949,264.6
25,2020-09-09 12:00:00,Partly Cloudy,partly-cloudy-day,0.3418,0.05,rain,26.2,27.03,20.94,0.73,1009.0,1.08,2.05,113,0.34,10,11.88,264.0
26,2020-09-09 13:00:00,Partly Cloudy,partly-cloudy-day,0.4424,0.06,rain,26.82,28.9,21.75,0.74,1008.0,1.0,1.92,144,0.49,8,12.843,262.9
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5386,0.06,rain,26.71,28.98,22.64,0.78,1007.0,0.87,1.65,166,0.68,6,14.686,261.6
28,2020-09-09 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6075,0.07,rain,26.03,27.88,23.4,0.85,1006.2,0.78,1.43,170,0.81,4,16.093,260.9
29,2020-09-09 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6371,0.08,rain,25.07,25.98,23.92,0.93,1005.8,0.73,1.34,144,0.86,2,16.093,260.9
30,2020-09-09 17:00:00,Humid and Overcast,cloudy,0.6214,0.09,rain,24.45,25.53,24.25,0.99,1005.6,0.7,1.25,44,0.88,1,16.093,261.1
31,2020-09-09 18:00:00,Humid and Overcast,cloudy,0.5241,0.08,rain,23.43,24.47,23.43,1.0,1005.9,0.66,1.1,283,0.91,0,16.093,261.2
32,2020-09-09 19:00:00,Overcast,cloudy,0.3356,0.06,rain,22.19,23.13,22.19,1.0,1006.8,0.59,0.85,307,0.95,0,15.56,261.0
33,2020-09-09 20:00:00,Overcast,cloudy,0.1678,0.05,rain,20.98,21.77,20.98,1.0,1008.0,0.54,0.65,333,0.98,0,12.772,260.6
34,2020-09-09 21:00:00,Overcast,cloudy,0.0974,0.04,rain,20.02,20.69,20.0,1.0,1008.6,0.58,0.62,314,1.0,0,12.555,260.3
35,2020-09-09 22:00:00,Overcast,cloudy,0.0933,0.04,rain,19.39,19.95,19.15,0.99,1008.8,0.77,0.83,322,1.0,0,16.031,260.1
36,2020-09-09 23:00:00,Overcast,cloudy,0.1035,0.04,rain,18.85,19.28,18.08,0.95,1008.7,1.0,1.11,7,1.0,0,16.093,259.9
37,2020-09-10 00:00:00,Overcast,cloudy,0.0901,0.05,rain,18.44,18.78,17.39,0.94,1008.5,1.14,1.28,349,1.0,0,16.093,259.6
38,2020-09-10 01:00:00,Overcast,cloudy,0.0512,0.04,rain,18.19,18.49,17.02,0.93,1008.2,1.14,1.28,344,1.0,0,16.093,259.5
39,2020-09-10 02:00:00,Overcast,cloudy,0.0371,0.04,rain,17.92,18.19,16.72,0.93,1007.6,1.1,1.24,344,1.0,0,16.093,259.4
40,2020-09-10 03:00:00,Overcast,cloudy,0.0427,0.04,rain,17.81,18.07,16.59,0.93,1007.5,1.08,1.25,344,1.0,0,16.093,259.4
