,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid,clear-day,0.0652,0.03,rain,22.66,23.53,22.27,0.98,1010.4,1.04,1.35,228,0.05,10,16.093,264.2
1,2020-09-08 12:00:00,Humid,clear-day,0.1515,0.04,rain,23.7,24.58,22.66,0.94,1009.9,1.33,1.68,272,0.09,11,16.093,263.9
2,2020-09-08 13:00:00,Humid,clear-day,0.2802,0.05,rain,23.79,24.81,23.62,0.99,1009.3,1.36,1.89,316,0.16,11,16.093,264.6
3,2020-09-08 14:00:00,Humid,clear-day,0.4376,0.06,rain,23.02,24.3,23.02,1.0,1008.5,1.29,2.05,196,0.23,8,16.093,265.6
4,2020-09-08 15:00:00,Clear,clear-day,0.541,0.07,rain,22.09,23.59,22.09,1.0,1008.0,1.21,2.12,247,0.26,6,16.093,266.4
5,2020-09-08 16:00:00,Clear,clear-day,0.5453,0.08,rain,21.4,23.01,21.4,1.0,1007.7,1.13,2.11,249,0.24,3,16.093,266.7
6,2020-09-08 17:00:00,Clear,clear-day,0.4856,0.07,rain,21.21,22.84,21.21,1.0,1007.5,1.03,2.02,246,0.19,1,16.093,266.9
7,2020-09-08 18:00:00,Clear,clear-day,0.3826,0.06,rain,20.45,22.03,20.45,1.0,1007.7,0.94,1.87,233,0.14,0,16.093,266.8
8,2020-09-08 19:00:00,Clear,clear-night,0.2416,0.05,rain,19.39,20.91,19.39,1.0,1008.4,0.85,1.61,215,0.09,0,16.093,266.4
9,2020-09-08 20:00:00,Clear,clear-night,0.1159,0.04,rain,18.21,19.64,18.21,1.0,1009.3,0.76,1.35,191,0.03,0,16.093,266.0
10,2020-09-08 21:00:00,Clear,clear-night,0.0568,0.04,rain,17.3,18.61,17.3,1.0,1009.9,0.73,1.22,169,0.0,0,16.093,265.7
11,2020-09-08 22:00:00,Clear,clear-night,0.043,0.05,rain,16.97,18.16,16.97,1.0,1010.2,0.77,1.25,150,0.0,0,16.093,265.4
12,2020-09-08 23:00:00,Clear,clear-night,0.0403,0.06,rain,16.85,17.96,16.85,1.0,1010.4,0.84,1.36,132,0.0,0,16.093,265.4
13,2020-09-09 00:00:00,Clear,clear-night,0.0354,0.05,rain,16.67,17.68,16.67,1.0,1010.4,0.84,1.41,117,0.0,0,16.093,265.6
14,2020-09-09 01:00:00,Clear,clear-night,0.0271,0.04,rain,16.5,17.44,16.5,1.0,1010.4,0.78,1.4,106,0.0,0,16.093,266.0
