,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid,clear-day,0.0344,0.04,rain,23.98,24.81,22.42,0.91,1010.4,1.45,1.9,224,0.09,10,16.093,260.2
1,2020-09-08 12:00:00,Humid,clear-day,0.0857,0.04,rain,25.21,26.11,23.26,0.89,1009.9,1.64,2.28,242,0.13,11,16.093,259.8
2,2020-09-08 13:00:00,Humid,clear-day,0.1862,0.06,rain,25.63,26.66,24.28,0.92,1009.2,1.65,2.31,252,0.26,10,14.662,260.9
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3281,0.08,rain,25.11,26.34,25.11,1.0,1008.4,1.58,2.19,251,0.41,8,8.889,262.3
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4377,0.1,rain,24.12,25.58,24.12,1.0,1007.9,1.46,2.01,235,0.51,5,5.46,263.0
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4634,0.1,rain,23.06,24.77,23.06,1.0,1007.8,1.27,1.8,217,0.56,3,4.897,263.0
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4352,0.1,rain,22.23,24.02,22.23,1.0,1008.0,1.05,1.58,334,0.57,1,6.024,262.6
7,2020-09-08 18:00:00,Partly Cloudy,partly-cloudy-day,0.3702,0.08,rain,21.07,22.78,21.07,1.0,1008.4,0.93,1.4,285,0.53,0,8.956,262.3
8,2020-09-08 19:00:00,Partly Cloudy,partly-cloudy-night,0.2666,0.06,rain,19.77,21.28,19.77,1.0,1009.4,0.94,1.27,15,0.43,0,14.45,262.1
9,2020-09-08 20:00:00,Partly Cloudy,partly-cloudy-night,0.1589,0.05,rain,18.38,19.6,18.38,1.0,1010.5,1.0,1.17,41,0.31,0,16.093,261.8
10,2020-09-08 21:00:00,Clear,clear-night,0.0805,0.04,rain,17.29,18.21,17.29,1.0,1011.3,1.04,1.13,35,0.25,0,16.093,261.8
11,2020-09-08 22:00:00,Clear,clear-night,0.0295,0.02,rain,16.74,17.39,16.74,1.0,1011.5,1.03,1.15,36,0.24,0,16.093,262.3
12,2020-09-08 23:00:00,Clear,clear-night,0.0041,0.01,rain,16.43,16.87,16.43,1.0,1011.4,1.02,1.23,40,0.29,0,16.093,262.9
13,2020-09-09 00:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,16.16,16.49,16.16,1.0,1011.0,1.05,1.31,44,0.4,0,16.093,263.3
14,2020-09-09 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,16.05,16.38,16.05,1.0,1010.8,1.11,1.41,45,0.6,0,16.093,263.4
15,2020-09-09 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,16.1,16.44,16.1,1.0,1010.7,1.19,1.53,45,0.83,0,16.093,263.5
16,2020-09-09 03:00:00,Overcast,cloudy,0.0,0.0,,16.29,16.59,16.29,1.0,1010.8,1.25,1.64,44,0.97,0,16.093,264.0
17,2020-09-09 04:00:00,Overcast,cloudy,0.0,0.0,,16.03,16.27,15.85,0.99,1011.4,1.31,1.76,38,0.99,0,16.093,265.2
