,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid,clear-day,0.0359,0.04,rain,24.28,25.16,23.04,0.93,1010.4,1.43,1.89,221,0.09,10,16.093,260.3
1,2020-09-08 12:00:00,Humid,clear-day,0.0891,0.04,rain,25.52,26.68,23.78,0.9,1009.9,1.62,2.27,240,0.13,11,16.093,259.9
2,2020-09-08 13:00:00,Humid,clear-day,0.192,0.06,rain,25.93,27.88,24.63,0.93,1009.2,1.64,2.3,249,0.26,10,14.779,261.0
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3368,0.08,rain,25.41,26.87,25.41,1.0,1008.4,1.57,2.18,248,0.41,7,8.926,262.4
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4487,0.1,rain,24.44,25.88,24.44,1.0,1007.9,1.45,2.01,233,0.51,5,5.492,263.1
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4764,0.1,rain,23.4,25.1,23.4,1.0,1007.8,1.25,1.8,219,0.55,3,5.037,263.1
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4494,0.1,rain,22.53,24.32,22.53,1.0,1007.9,1.02,1.58,331,0.56,1,6.297,262.7
7,2020-09-08 18:00:00,Partly Cloudy,partly-cloudy-day,0.3828,0.08,rain,21.39,23.12,21.39,1.0,1008.4,0.9,1.39,281,0.53,0,9.269,262.5
8,2020-09-08 19:00:00,Partly Cloudy,partly-cloudy-night,0.2743,0.06,rain,20.11,21.65,20.11,1.0,1009.4,0.91,1.26,19,0.43,0,14.665,262.2
9,2020-09-08 20:00:00,Clear,clear-night,0.1619,0.05,rain,18.76,20.03,18.76,1.0,1010.5,0.97,1.14,42,0.31,0,16.093,261.9
10,2020-09-08 21:00:00,Clear,clear-night,0.0814,0.04,rain,17.69,18.69,17.69,1.0,1011.2,1.01,1.1,35,0.24,0,16.093,261.9
11,2020-09-08 22:00:00,Clear,clear-night,0.0301,0.02,rain,17.09,17.83,17.09,1.0,1011.4,1.01,1.13,36,0.24,0,16.093,262.4
12,2020-09-08 23:00:00,Clear,clear-night,0.0045,0.01,rain,16.78,17.31,16.78,1.0,1011.4,1.0,1.21,41,0.28,0,16.093,263.0
