,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid,clear-day,0.0578,0.03,rain,26.54,29.42,24.83,0.9,1010.2,1.14,1.62,204,0.12,9,16.093,262.2
1,2020-09-08 12:00:00,Humid,clear-day,0.1371,0.04,rain,27.93,33.0,25.4,0.86,1010.0,1.39,1.93,221,0.19,10,16.093,261.9
2,2020-09-08 13:00:00,Humid,clear-day,0.2683,0.04,rain,28.7,35.51,26.37,0.87,1009.3,1.43,2.0,225,0.31,9,16.093,262.8
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4443,0.06,rain,28.83,37.2,27.4,0.92,1008.5,1.38,1.96,223,0.43,7,10.189,264.2
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.581,0.08,rain,28.35,38.16,28.35,1.0,1008.0,1.27,1.86,225,0.49,5,7.032,265.0
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6356,0.08,rain,27.66,38.43,27.66,1.0,1007.7,1.06,1.73,237,0.5,3,8.604,265.1
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6279,0.08,rain,26.75,35.74,26.75,1.0,1007.7,0.82,1.53,245,0.48,1,12.187,264.8
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5415,0.08,rain,25.72,28.67,25.72,1.0,1008.0,0.66,1.34,226,0.41,0,15.699,264.6
8,2020-09-08 19:00:00,Humid,clear-night,0.3674,0.06,rain,24.03,25.8,24.03,1.0,1008.8,0.6,1.11,166,0.3,0,16.093,264.2
9,2020-09-08 20:00:00,Humid,clear-night,0.1928,0.05,rain,22.35,24.04,22.35,1.0,1009.8,0.59,0.9,89,0.16,0,16.093,263.8
