,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid,clear-day,0.0346,0.03,rain,26.32,27.5,22.46,0.79,1010.2,1.36,1.94,193,0.29,9,16.093,262.2
1,2020-09-08 12:00:00,Humid,clear-day,0.0879,0.04,rain,27.8,31.2,23.33,0.77,1009.7,1.58,2.39,218,0.3,10,16.093,261.9
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.199,0.05,rain,28.41,32.82,24.25,0.78,1009.1,1.62,2.42,228,0.37,9,16.093,262.7
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3575,0.06,rain,28.16,33.28,25.22,0.84,1008.4,1.57,2.29,228,0.47,7,16.093,263.7
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4721,0.08,rain,27.38,32.62,26.28,0.94,1007.8,1.46,2.12,220,0.53,5,16.093,264.2
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4869,0.09,rain,26.36,29.85,26.36,1.0,1007.6,1.28,1.88,211,0.55,3,15.762,264.1
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.437,0.09,rain,25.4,26.99,25.4,1.0,1007.7,1.06,1.61,261,0.54,1,14.133,263.6
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3422,0.07,rain,24.19,25.81,24.19,1.0,1008.1,0.88,1.36,239,0.51,0,14.11,263.3
8,2020-09-08 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.2085,0.06,rain,22.52,24.11,22.52,1.0,1009.0,0.76,1.15,195,0.43,0,16.093,263.1
9,2020-09-08 20:00:00,Partly Cloudy,partly-cloudy-night,0.0951,0.04,rain,20.68,22.16,20.68,1.0,1010.0,0.67,0.99,63,0.34,0,16.093,262.9
10,2020-09-08 21:00:00,Partly Cloudy,partly-cloudy-night,0.04,0.02,rain,19.42,20.74,19.42,1.0,1010.6,0.66,0.95,46,0.32,0,16.093,263.1
11,2020-09-08 22:00:00,Partly Cloudy,partly-cloudy-night,0.0154,0.02,rain,18.95,19.99,18.95,1.0,1011.0,0.75,1.07,43,0.39,0,16.093,263.7
12,2020-09-08 23:00:00,Partly Cloudy,partly-cloudy-night,0.0047,0.01,rain,18.74,19.52,18.74,1.0,1010.9,0.9,1.27,44,0.49,0,16.093,264.4
13,2020-09-09 00:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,18.57,19.2,18.57,1.0,1011.0,1.03,1.45,45,0.61,0,16.093,264.9
14,2020-09-09 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,18.51,19.07,18.51,1.0,1011.0,1.14,1.62,44,0.76,0,16.093,265.1
15,2020-09-09 02:00:00,Overcast,cloudy,0.0,0.0,,18.54,19.05,18.47,1.0,1010.3,1.25,1.79,43,0.91,0,16.093,265.3
16,2020-09-09 03:00:00,Overcast,cloudy,0.0,0.0,,18.68,19.12,18.12,0.97,1010.2,1.34,1.93,42,0.99,0,16.093,265.8
17,2020-09-09 04:00:00,Overcast,cloudy,0.0,0.0,,18.41,18.79,17.6,0.95,1010.9,1.42,2.09,37,1.0,0,16.093,267.0
18,2020-09-09 05:00:00,Overcast,cloudy,0.0,0.0,,17.94,18.26,17.03,0.94,1010.9,1.46,2.18,34,1.0,0,16.093,268.2
19,2020-09-09 06:00:00,Overcast,cloudy,0.0073,0.02,rain,17.86,18.19,17.12,0.95,1011.0,1.39,2.05,43,0.92,0,16.093,268.9
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0055,0.01,rain,18.93,19.35,18.04,0.95,1011.2,1.13,1.55,65,0.65,0,16.093,268.9
21,2020-09-09 08:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,20.72,21.23,19.23,0.91,1011.4,0.83,0.98,80,0.34,2,16.093,268.5
