,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Partly Cloudy,partly-cloudy-day,0.0216,0.03,rain,20.53,21.34,20.53,1.0,1011.0,1.06,1.74,211,0.41,8,16.093,260.8
1,2020-09-08 12:00:00,Clear,clear-day,0.0507,0.04,rain,22.58,23.43,22.11,0.97,1010.4,1.32,2.36,229,0.31,10,16.093,260.4
2,2020-09-08 13:00:00,Humid,clear-day,0.1112,0.05,rain,23.26,24.3,23.26,1.0,1009.6,1.49,2.83,245,0.26,10,16.093,260.9
3,2020-09-08 14:00:00,Humid,clear-day,0.1923,0.07,rain,22.84,24.19,22.84,1.0,1008.7,1.6,3.22,256,0.23,8,16.093,261.6
4,2020-09-08 15:00:00,Clear,clear-day,0.2263,0.09,rain,21.74,23.37,21.74,1.0,1008.2,1.64,3.43,256,0.2,6,16.093,261.9
5,2020-09-08 16:00:00,Clear,clear-day,0.1769,0.09,rain,20.29,22.08,20.29,1.0,1008.1,1.62,3.44,253,0.19,3,16.093,261.8
6,2020-09-08 17:00:00,Clear,clear-day,0.1028,0.07,rain,18.54,20.29,18.54,1.0,1008.3,1.54,3.29,293,0.18,1,16.093,261.3
7,2020-09-08 18:00:00,Clear,clear-day,0.051,0.05,rain,16.51,18.08,16.51,1.0,1008.8,1.35,2.95,288,0.15,0,16.093,261.1
8,2020-09-08 19:00:00,Clear,clear-night,0.0184,0.03,rain,14.13,15.43,14.13,1.0,1009.9,1.03,2.35,307,0.09,0,16.093,260.9
9,2020-09-08 20:00:00,Clear,clear-night,0.0,0.0,,11.89,12.85,11.89,1.0,1011.2,0.7,1.66,353,0.03,0,16.093,260.8
10,2020-09-08 21:00:00,Clear,clear-night,0.0,0.0,,10.54,11.24,10.54,1.0,1011.8,0.52,1.17,0,0.04,0,14.476,260.9
11,2020-09-08 22:00:00,Clear,clear-night,0.0,0.0,,10.28,10.77,10.28,1.0,1012.2,0.49,0.94,7,0.13,0,14.128,261.3
12,2020-09-08 23:00:00,Clear,clear-night,0.0,0.0,,10.45,10.8,10.45,1.0,1012.6,0.49,0.84,17,0.27,0,14.457,261.6
13,2020-09-09 00:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,10.61,10.9,10.61,1.0,1012.6,0.49,0.82,26,0.44,0,15.073,262.1
14,2020-09-09 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,10.92,11.24,10.92,1.0,1012.3,0.51,0.88,35,0.65,0,16.051,262.6
15,2020-09-09 02:00:00,Overcast,cloudy,0.0,0.0,,11.22,11.57,11.22,1.0,1011.5,0.54,0.99,45,0.88,0,16.093,263.4
16,2020-09-09 03:00:00,Overcast,cloudy,0.0,0.0,,11.5,11.86,11.5,1.0,1011.7,0.57,1.09,47,1.0,0,16.093,264.2
17,2020-09-09 04:00:00,Overcast,cloudy,0.0,0.0,,11.23,11.56,11.23,1.0,1012.5,0.59,1.14,36,1.0,0,16.093,265.4
18,2020-09-09 05:00:00,Overcast,cloudy,0.005,0.01,rain,10.91,11.26,10.91,1.0,1012.8,0.61,1.18,25,1.0,0,16.093,266.6
19,2020-09-09 06:00:00,Overcast,cloudy,0.0073,0.03,rain,11.03,11.49,11.03,1.0,1012.8,0.6,1.12,28,0.92,0,16.093,267.2
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0055,0.02,rain,12.09,12.65,12.09,1.0,1012.9,0.54,0.89,53,0.69,0,16.093,267.3
21,2020-09-09 08:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,13.57,14.21,13.57,1.0,1012.9,0.5,0.66,80,0.42,2,16.093,267.0
22,2020-09-09 09:00:00,Clear,clear-day,0.0,0.0,,15.51,16.24,15.51,1.0,1012.7,0.59,0.76,178,0.24,4,16.093,266.3
23,2020-09-09 10:00:00,Clear,clear-day,0.0,0.0,,17.66,18.41,17.66,1.0,1011.8,0.89,1.24,224,0.17,7,16.093,264.9
24,2020-09-09 11:00:00,Clear,clear-day,0.0269,0.02,rain,19.98,20.7,19.98,1.0,1010.9,1.27,1.91,234,0.16,9,16.093,263.3
25,2020-09-09 12:00:00,Clear,clear-day,0.0486,0.03,rain,22.17,22.9,21.18,0.94,1009.8,1.55,2.46,239,0.15,11,16.093,261.9
26,2020-09-09 13:00:00,Clear,clear-day,0.0591,0.03,rain,23.43,24.24,22.15,0.93,1008.7,1.73,2.82,242,0.15,10,16.093,261.1
27,2020-09-09 14:00:00,Humid,clear-day,0.0617,0.03,rain,23.88,24.8,23.0,0.95,1007.7,1.86,3.09,248,0.15,9,16.093,260.3
28,2020-09-09 15:00:00,Humid,clear-day,0.054,0.03,rain,23.24,24.31,23.24,1.0,1006.9,1.89,3.27,261,0.15,6,16.093,259.9
29,2020-09-09 16:00:00,Clear,clear-day,0.0356,0.03,rain,21.81,23.13,21.81,1.0,1006.5,1.8,3.36,334,0.12,3,16.093,259.7
30,2020-09-09 17:00:00,Clear,clear-day,0.0195,0.02,rain,19.8,21.36,19.8,1.0,1006.5,1.64,3.32,231,0.1,1,16.093,259.5
31,2020-09-09 18:00:00,Clear,clear-day,0.0106,0.01,rain,17.87,19.42,17.87,1.0,1006.8,1.43,3.06,250,0.16,0,16.093,259.2
32,2020-09-09 19:00:00,Partly Cloudy,partly-cloudy-night,0.0042,0.01,rain,15.71,17.13,15.71,1.0,1007.8,1.13,2.48,226,0.33,0,16.093,258.8
33,2020-09-09 20:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,13.93,15.13,13.93,1.0,1008.9,0.81,1.77,153,0.54,0,16.093,258.1
34,2020-09-09 21:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,12.73,13.73,12.73,1.0,1009.6,0.58,1.25,81,0.67,0,16.093,257.4
35,2020-09-09 22:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,12.34,13.15,12.34,1.0,1009.8,0.47,0.99,53,0.7,0,16.093,256.7
36,2020-09-09 23:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,12.28,12.93,12.28,1.0,1009.4,0.41,0.84,51,0.68,0,16.093,255.9
37,2020-09-10 00:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,12.15,12.68,12.15,1.0,1009.3,0.39,0.78,57,0.63,0,16.093,255.4
38,2020-09-10 01:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,12.05,12.52,12.05,1.0,1009.6,0.41,0.84,53,0.52,0,16.093,255.0
39,2020-09-10 02:00:00,Partly Cloudy,partly-cloudy-night,0.0062,0.02,rain,12.02,12.42,12.02,1.0,1009.5,0.46,0.96,46,0.4,0,16.093,254.7
40,2020-09-10 03:00:00,Partly Cloudy,partly-cloudy-night,0.0082,0.03,rain,12.03,12.36,12.03,1.0,1009.3,0.49,1.05,41,0.33,0,16.093,254.9
41,2020-09-10 04:00:00,Partly Cloudy,partly-cloudy-night,0.0043,0.02,rain,11.43,11.69,11.43,1.0,1009.3,0.49,1.1,38,0.32,0,16.093,255.5
42,2020-09-10 05:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,10.78,11.06,10.78,1.0,1009.1,0.47,1.13,36,0.35,0,16.093,256.3
43,2020-09-10 06:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,10.89,11.24,10.89,1.0,1009.0,0.45,1.04,46,0.36,0,16.093,256.4
44,2020-09-10 07:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,12.39,12.84,12.39,1.0,1009.1,0.37,0.79,74,0.37,0,16.093,255.7
45,2020-09-10 08:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,14.55,15.12,14.55,1.0,1009.2,0.31,0.54,114,0.38,2,16.093,254.5
46,2020-09-10 09:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,16.94,17.61,16.94,1.0,1009.0,0.39,0.62,142,0.36,4,16.093,253.7
