,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6072,0.12,rain,28.85,34.64,25.36,0.81,1008.2,1.28,2.33,123,0.87,6,16.093,271.1
1,2020-09-08 12:15:00,Humid and Overcast,cloudy,0.4043,0.12,rain,29.54,35.93,25.43,0.79,1007.8,1.22,2.13,120,0.88,6,16.093,270.6
2,2020-09-08 13:15:00,Humid and Overcast,cloudy,0.3605,0.13,rain,30.11,36.85,25.4,0.76,1007.1,1.26,2.26,106,0.93,5,16.093,270.4
3,2020-09-08 14:15:00,Humid and Overcast,cloudy,0.2927,0.11,rain,30.38,37.3,25.4,0.75,1006.3,1.32,2.43,91,0.98,4,16.093,270.3
4,2020-09-08 15:15:00,Humid and Overcast,cloudy,0.2022,0.08,rain,30.21,37.26,25.59,0.76,1005.7,1.36,2.41,92,1.0,3,16.093,270.2
5,2020-09-08 16:15:00,Humid and Overcast,cloudy,0.1058,0.06,rain,29.59,36.26,25.63,0.79,1005.3,1.38,2.16,91,1.0,2,16.093,270.1
6,2020-09-08 17:15:00,Humid and Overcast,cloudy,0.0423,0.05,rain,28.79,34.58,25.41,0.82,1005.1,1.38,1.87,88,1.0,1,16.093,270.1
7,2020-09-08 18:15:00,Humid and Overcast,cloudy,0.0148,0.03,rain,28.03,32.84,25.1,0.84,1005.3,1.32,1.57,85,1.0,0,16.093,269.9
8,2020-09-08 19:15:00,Humid and Overcast,cloudy,0.0041,0.01,rain,27.3,31.14,24.7,0.86,1005.8,1.19,1.29,79,1.0,0,16.093,269.3
9,2020-09-08 20:15:00,Humid and Overcast,cloudy,0.0,0.0,,26.7,29.64,24.25,0.86,1006.3,1.09,1.11,75,1.0,0,16.093,268.9
10,2020-09-08 21:15:00,Humid and Overcast,cloudy,0.0,0.0,,26.3,28.61,23.86,0.86,1006.7,1.11,1.13,76,0.99,0,16.093,268.9
11,2020-09-08 22:15:00,Humid and Overcast,cloudy,0.0,0.0,,26.11,28.14,23.6,0.86,1006.8,1.25,1.28,82,0.98,0,16.093,269.2
12,2020-09-08 23:15:00,Humid and Overcast,cloudy,0.0,0.0,,25.96,27.82,23.38,0.86,1006.7,1.39,1.43,88,0.94,0,16.093,269.7
13,2020-09-09 00:15:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0036,0.01,rain,25.71,26.98,23.18,0.86,1006.7,1.41,1.51,88,0.76,0,16.093,270.1
14,2020-09-09 01:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0489,0.02,rain,25.47,26.28,23.05,0.87,1006.9,1.32,1.65,84,0.45,0,16.093,270.5
15,2020-09-09 02:15:00,Humid,clear-night,0.1352,0.03,rain,25.23,26.09,23.0,0.88,1006.9,1.23,1.86,80,0.16,0,16.093,270.8
16,2020-09-09 03:15:00,Humid,clear-night,0.1838,0.04,rain,24.91,25.78,22.98,0.89,1006.8,1.22,1.96,74,0.07,0,16.093,271.1
17,2020-09-09 04:15:00,Humid,clear-night,0.1797,0.06,rain,24.58,25.46,22.89,0.9,1006.8,1.28,1.93,67,0.18,0,16.093,271.3
18,2020-09-09 05:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.1813,0.08,rain,24.42,25.29,22.86,0.91,1007.0,1.34,1.9,62,0.36,0,16.093,271.4
19,2020-09-09 06:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.1983,0.08,rain,24.75,25.58,23.3,0.92,1007.3,1.35,1.98,65,0.54,0,16.093,271.3
20,2020-09-09 07:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2198,0.07,rain,25.72,27.37,24.03,0.9,1007.8,1.32,2.18,73,0.74,1,13.944,271.1
21,2020-09-09 08:15:00,Humid and Overcast,cloudy,0.2373,0.06,rain,26.97,30.3,24.57,0.87,1008.3,1.29,2.36,86,0.92,2,8.591,270.8
22,2020-09-09 09:15:00,Humid and Overcast,cloudy,0.2322,0.06,rain,28.27,33.17,24.94,0.82,1008.4,1.27,2.33,108,0.99,3,8.952,270.2
23,2020-09-09 10:15:00,Humid and Overcast,cloudy,0.202,0.06,rain,29.61,35.56,25.0,0.76,1008.2,1.27,2.1,140,0.97,5,15.015,269.5
24,2020-09-09 11:15:00,Humid and Overcast,cloudy,0.1588,0.07,rain,30.69,37.16,24.9,0.71,1007.7,1.29,1.92,170,0.9,5,16.093,268.7
25,2020-09-09 12:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0972,0.07,rain,31.6,38.5,24.9,0.68,1007.0,1.32,2.1,186,0.83,6,16.093,268.0
26,2020-09-09 13:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0327,0.05,rain,32.44,39.46,24.74,0.64,1006.0,1.34,2.65,217,0.74,6,16.093,267.6
27,2020-09-09 14:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0024,0.02,rain,32.9,39.82,24.53,0.61,1005.0,1.39,3.2,238,0.65,6,16.093,267.1
28,2020-09-09 15:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,32.81,40.0,24.75,0.63,1004.1,1.54,3.47,190,0.64,4,16.093,266.5
29,2020-09-09 16:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,32.03,39.47,25.16,0.67,1003.5,1.82,3.47,54,0.69,2,16.093,265.8
30,2020-09-09 17:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,30.89,38.07,25.38,0.73,1003.1,2.05,3.32,329,0.73,1,16.093,265.1
31,2020-09-09 18:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,29.71,35.98,25.21,0.77,1003.2,2.02,3.03,288,0.64,0,16.093,264.7
32,2020-09-09 19:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,,28.47,33.21,24.58,0.8,1003.8,1.74,2.57,297,0.41,0,16.093,264.6
33,2020-09-09 20:15:00,Humid,clear-night,0.0,0.0,,27.44,30.9,23.95,0.81,1004.5,1.41,2.08,326,0.19,0,16.093,264.4
34,2020-09-09 21:15:00,Humid,clear-night,0.0,0.0,,26.79,29.48,23.52,0.82,1004.8,1.22,1.74,350,0.07,0,16.093,264.3
35,2020-09-09 22:15:00,Humid,clear-night,0.0,0.0,,26.42,28.66,23.21,0.83,1004.8,1.12,1.52,13,0.04,0,16.093,264.2
36,2020-09-09 23:15:00,Humid,clear-night,0.0,0.0,,26.25,28.28,23.03,0.82,1004.6,1.08,1.37,35,0.06,0,16.093,264.3
37,2020-09-10 00:15:00,Humid,clear-night,0.0,0.0,,26.15,28.07,22.93,0.82,1004.5,1.1,1.27,46,0.08,0,16.093,264.5
38,2020-09-10 01:15:00,Humid,clear-night,0.0043,0.01,rain,26.07,27.91,22.87,0.83,1004.2,1.17,1.25,45,0.14,0,16.093,264.9
39,2020-09-10 02:15:00,Humid,clear-night,0.0131,0.01,rain,26.0,27.79,22.83,0.83,1003.9,1.27,1.3,44,0.2,0,16.093,265.3
40,2020-09-10 03:15:00,Humid,clear-night,0.0457,0.02,rain,25.73,26.98,22.77,0.84,1003.9,1.37,1.38,49,0.22,0,16.093,265.4
41,2020-09-10 04:15:00,Humid,clear-night,0.1877,0.04,rain,25.34,26.1,22.71,0.85,1004.0,1.48,1.5,58,0.2,0,16.093,265.2
42,2020-09-10 05:15:00,Humid,clear-night,0.399,0.07,rain,25.03,25.86,22.72,0.87,1004.1,1.58,1.59,68,0.18,0,16.093,264.9
43,2020-09-10 06:15:00,Humid,clear-day,0.4131,0.09,rain,25.15,25.92,23.08,0.88,1004.3,1.64,1.64,76,0.15,0,16.093,264.8
44,2020-09-10 07:15:00,Humid,clear-day,0.2236,0.06,rain,25.94,27.62,23.76,0.88,1004.8,1.65,1.65,80,0.11,1,16.093,264.7
45,2020-09-10 08:15:00,Humid,clear-day,0.0861,0.04,rain,27.08,30.47,24.39,0.85,1005.2,1.66,1.66,89,0.07,2,16.093,264.5
