,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:15:00,Humid and Mostly Cloudy,partly-cloudy-day,1.01,0.16,rain,28.66,34.87,25.91,0.85,1008.4,1.03,2.12,142,0.64,7,16.093,270.9
1,2020-09-08 12:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.814,0.16,rain,29.43,36.44,26.03,0.82,1008.1,0.96,2.03,128,0.67,7,16.093,270.4
2,2020-09-08 13:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5912,0.15,rain,30.24,37.81,25.97,0.78,1007.4,0.97,2.19,77,0.76,6,16.093,270.2
3,2020-09-08 14:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3867,0.12,rain,30.77,38.67,25.96,0.76,1006.6,1.0,2.35,36,0.85,5,16.093,270.2
4,2020-09-08 15:15:00,Humid and Overcast,cloudy,0.2434,0.09,rain,30.77,39.06,26.22,0.77,1006.0,1.07,2.31,56,0.9,3,16.093,270.1
5,2020-09-08 16:15:00,Humid and Overcast,cloudy,0.128,0.08,rain,30.22,38.41,26.43,0.8,1005.6,1.16,2.09,103,0.92,2,16.093,269.9
6,2020-09-08 17:15:00,Humid and Overcast,cloudy,0.0524,0.06,rain,29.33,36.6,26.31,0.84,1005.4,1.24,1.83,113,0.94,1,16.093,269.9
7,2020-09-08 18:15:00,Humid and Overcast,cloudy,0.0186,0.04,rain,28.43,34.52,25.98,0.87,1005.5,1.22,1.62,97,0.95,0,16.093,269.7
8,2020-09-08 19:15:00,Humid and Overcast,cloudy,0.0048,0.01,rain,27.64,32.52,25.48,0.88,1005.9,1.1,1.44,80,0.98,0,16.093,269.4
9,2020-09-08 20:15:00,Humid and Overcast,cloudy,0.0,0.0,,27.0,30.84,24.93,0.88,1006.5,0.99,1.33,67,0.99,0,16.093,269.1
10,2020-09-08 21:15:00,Humid and Overcast,cloudy,0.0,0.0,,26.61,29.64,24.49,0.88,1006.9,1.01,1.34,66,1.0,0,16.093,269.0
11,2020-09-08 22:15:00,Humid and Overcast,cloudy,0.0,0.0,,26.4,28.89,24.11,0.87,1007.0,1.18,1.48,74,1.0,0,16.093,269.2
12,2020-09-08 23:15:00,Humid and Overcast,cloudy,0.0,0.0,,26.24,28.48,23.82,0.87,1007.1,1.33,1.63,81,1.0,0,16.093,269.4
13,2020-09-09 00:15:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0061,0.01,rain,26.0,27.94,23.61,0.87,1007.2,1.35,1.73,79,0.86,0,16.093,269.7
14,2020-09-09 01:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0722,0.03,rain,25.74,27.04,23.5,0.87,1007.3,1.23,1.83,70,0.55,0,16.093,270.0
15,2020-09-09 02:15:00,Humid,clear-night,0.1891,0.04,rain,25.49,26.35,23.44,0.88,1007.2,1.09,1.93,60,0.27,0,16.093,270.4
16,2020-09-09 03:15:00,Humid,clear-night,0.2189,0.05,rain,25.1,26.01,23.33,0.9,1007.2,1.06,1.99,58,0.14,0,16.093,270.7
17,2020-09-09 04:15:00,Humid,clear-night,0.1425,0.06,rain,24.7,25.6,23.13,0.91,1007.2,1.11,2.0,61,0.18,0,16.093,271.1
18,2020-09-09 05:15:00,Humid,clear-night,0.0838,0.06,rain,24.48,25.38,23.07,0.92,1007.3,1.17,1.98,67,0.28,0,16.093,271.5
19,2020-09-09 06:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.08,0.06,rain,24.74,25.59,23.43,0.92,1007.6,1.19,1.93,77,0.42,0,16.093,271.4
20,2020-09-09 07:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1025,0.05,rain,25.71,27.39,24.14,0.91,1008.1,1.15,1.83,88,0.6,1,16.093,271.0
21,2020-09-09 08:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1276,0.04,rain,26.97,30.46,24.79,0.88,1008.6,1.12,1.75,101,0.77,2,13.95,270.5
22,2020-09-09 09:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1379,0.04,rain,28.28,33.39,25.15,0.83,1008.7,1.17,1.71,125,0.83,4,13.896,270.0
23,2020-09-09 10:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1337,0.04,rain,29.65,35.86,25.21,0.77,1008.5,1.29,1.72,157,0.8,5,16.093,269.3
24,2020-09-09 11:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1183,0.05,rain,30.91,37.78,25.14,0.71,1008.0,1.42,1.8,181,0.74,6,16.093,268.7
25,2020-09-09 12:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0784,0.05,rain,31.94,39.27,25.11,0.67,1007.3,1.48,2.07,195,0.7,7,16.093,268.1
26,2020-09-09 13:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0274,0.04,rain,32.66,40.04,24.94,0.64,1006.3,1.47,2.53,215,0.66,7,16.093,267.6
27,2020-09-09 14:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.002,0.02,rain,32.9,40.16,24.78,0.62,1005.2,1.44,2.99,227,0.64,6,16.093,267.1
28,2020-09-09 15:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,32.56,40.15,25.11,0.65,1004.4,1.51,3.3,176,0.67,4,16.093,266.6
29,2020-09-09 16:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0031,0.01,rain,31.63,39.45,25.57,0.7,1004.0,1.69,3.46,63,0.75,2,16.093,266.2
30,2020-09-09 17:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0077,0.02,rain,30.54,38.1,25.82,0.76,1003.8,1.84,3.46,330,0.8,1,16.093,265.8
31,2020-09-09 18:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0077,0.02,rain,29.46,36.04,25.64,0.8,1003.8,1.8,3.19,288,0.7,0,16.093,265.5
32,2020-09-09 19:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,,28.33,33.36,25.03,0.82,1004.2,1.58,2.6,301,0.45,0,16.093,265.1
33,2020-09-09 20:15:00,Humid,clear-night,0.0,0.0,,27.49,31.31,24.45,0.84,1004.8,1.34,1.99,335,0.18,0,16.093,264.8
34,2020-09-09 21:15:00,Humid,clear-night,0.0,0.0,,26.94,29.95,23.95,0.84,1005.0,1.22,1.65,4,0.05,0,16.093,264.6
35,2020-09-09 22:15:00,Humid,clear-night,0.0,0.0,,26.61,29.13,23.52,0.83,1005.0,1.22,1.57,24,0.03,0,16.093,264.3
36,2020-09-09 23:15:00,Humid,clear-night,0.0,0.0,,26.44,28.7,23.24,0.83,1004.8,1.25,1.57,40,0.04,0,16.093,264.2
37,2020-09-10 00:15:00,Humid,clear-night,0.0029,0.01,rain,26.28,28.36,23.13,0.83,1004.7,1.3,1.56,47,0.06,0,16.093,264.3
38,2020-09-10 01:15:00,Humid,clear-night,0.0421,0.03,rain,26.11,28.09,23.12,0.84,1004.7,1.35,1.58,45,0.09,0,16.093,264.7
39,2020-09-10 02:15:00,Humid,clear-night,0.1144,0.03,rain,25.94,27.28,23.14,0.85,1004.6,1.42,1.62,42,0.12,0,16.093,265.1
40,2020-09-10 03:15:00,Humid,clear-night,0.1556,0.03,rain,25.59,26.38,23.02,0.86,1004.3,1.47,1.62,43,0.14,0,16.093,265.3
41,2020-09-10 04:15:00,Humid,clear-night,0.185,0.04,rain,25.12,25.95,22.76,0.87,1004.3,1.52,1.61,47,0.15,0,16.093,265.3
42,2020-09-10 05:15:00,Humid,clear-night,0.2386,0.05,rain,24.72,25.55,22.6,0.88,1004.4,1.58,1.63,54,0.15,0,16.093,265.1
43,2020-09-10 06:15:00,Humid,clear-day,0.2196,0.05,rain,24.84,25.6,22.9,0.89,1004.7,1.62,1.63,63,0.12,0,16.093,264.9
44,2020-09-10 07:15:00,Humid,clear-day,0.1206,0.04,rain,25.77,27.38,23.66,0.88,1005.1,1.63,1.63,73,0.07,1,16.093,264.7
45,2020-09-10 08:15:00,Humid,clear-day,0.0522,0.02,rain,27.03,30.34,24.38,0.85,1005.6,1.65,1.65,86,0.02,2,16.093,264.3
46,2020-09-10 09:15:00,Humid,clear-day,0.0262,0.02,rain,28.19,32.87,24.78,0.82,1005.5,1.71,1.71,110,0.0,5,16.093,263.8
47,2020-09-10 10:15:00,Humid,clear-day,0.0145,0.02,rain,29.4,35.0,24.8,0.76,1005.2,1.8,1.89,143,0.0,8,16.093,263.2
48,2020-09-10 11:15:00,Humid,clear-day,0.021,0.03,rain,30.47,36.6,24.7,0.71,1005.0,1.9,2.3,171,0.0,10,16.093,262.5
