,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8392,0.14,rain,28.71,34.29,25.27,0.82,1007.7,1.25,2.36,125,0.62,7,16.093,271.0
1,2020-09-08 12:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6214,0.15,rain,29.42,35.63,25.34,0.79,1007.3,1.15,2.18,111,0.65,7,16.093,270.5
2,2020-09-08 13:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4279,0.14,rain,30.1,36.77,25.35,0.76,1006.6,1.22,2.33,72,0.75,6,16.093,270.4
3,2020-09-08 14:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2719,0.11,rain,30.5,37.51,25.41,0.74,1005.9,1.32,2.51,40,0.86,5,16.093,270.4
4,2020-09-08 15:15:00,Humid and Overcast,cloudy,0.1719,0.08,rain,30.44,37.74,25.67,0.76,1005.3,1.4,2.5,68,0.92,3,16.093,270.3
5,2020-09-08 16:15:00,Humid and Overcast,cloudy,0.0917,0.07,rain,29.87,36.94,25.79,0.79,1004.9,1.47,2.32,112,0.94,2,16.093,270.2
6,2020-09-08 17:15:00,Humid and Overcast,cloudy,0.0388,0.05,rain,29.02,35.19,25.59,0.82,1004.7,1.52,2.08,109,0.95,1,16.093,270.1
7,2020-09-08 18:15:00,Humid and Overcast,cloudy,0.0145,0.03,rain,28.17,33.25,25.27,0.84,1005.0,1.44,1.81,88,0.96,0,16.093,269.9
8,2020-09-08 19:15:00,Humid and Overcast,cloudy,0.0041,0.01,rain,27.41,31.49,24.88,0.86,1005.9,1.25,1.5,74,0.98,0,16.093,269.6
9,2020-09-08 20:15:00,Humid and Overcast,cloudy,0.0,0.0,,26.79,29.93,24.43,0.87,1006.4,1.07,1.26,66,1.0,0,16.093,269.3
10,2020-09-08 21:15:00,Humid and Overcast,cloudy,0.0,0.0,,26.36,28.78,24.01,0.87,1006.7,1.08,1.24,68,1.0,0,16.093,269.2
11,2020-09-08 22:15:00,Humid and Overcast,cloudy,0.0,0.0,,26.12,28.19,23.69,0.87,1006.8,1.27,1.43,77,1.0,0,16.093,269.2
12,2020-09-08 23:15:00,Humid and Overcast,cloudy,0.0,0.0,,25.94,27.79,23.43,0.86,1006.8,1.47,1.66,85,0.99,0,16.093,269.4
13,2020-09-09 00:15:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0068,0.01,rain,25.69,26.94,23.22,0.86,1006.8,1.5,1.81,85,0.84,0,16.093,269.8
14,2020-09-09 01:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0877,0.02,rain,25.46,26.28,23.13,0.87,1006.7,1.36,1.94,77,0.53,0,16.093,270.2
15,2020-09-09 02:15:00,Humid,clear-night,0.2294,0.04,rain,25.23,26.11,23.11,0.88,1006.4,1.21,2.06,69,0.24,0,16.093,270.7
16,2020-09-09 03:15:00,Humid,clear-night,0.2606,0.05,rain,24.92,25.81,23.07,0.89,1006.4,1.17,2.15,66,0.12,0,16.093,271.1
17,2020-09-09 04:15:00,Humid,clear-night,0.1633,0.06,rain,24.63,25.51,22.95,0.9,1006.4,1.23,2.21,69,0.19,0,16.093,271.5
18,2020-09-09 05:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0954,0.06,rain,24.51,25.39,22.94,0.91,1006.5,1.31,2.23,74,0.32,0,16.093,271.7
19,2020-09-09 06:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.0987,0.07,rain,24.83,25.66,23.34,0.91,1006.8,1.36,2.21,81,0.46,0,16.093,271.6
20,2020-09-09 07:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1353,0.06,rain,25.72,27.33,23.95,0.9,1007.4,1.37,2.15,89,0.64,1,16.093,271.2
21,2020-09-09 08:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1747,0.05,rain,26.88,30.07,24.45,0.87,1007.8,1.37,2.08,99,0.8,2,10.639,270.7
22,2020-09-09 09:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1937,0.06,rain,28.13,32.79,24.8,0.82,1007.9,1.38,1.98,122,0.87,3,10.567,270.1
23,2020-09-09 10:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1952,0.06,rain,29.42,35.13,24.88,0.77,1007.8,1.42,1.86,156,0.86,5,15.94,269.5
24,2020-09-09 11:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1809,0.07,rain,30.55,36.89,24.86,0.72,1007.4,1.46,1.81,183,0.82,6,16.093,268.8
25,2020-09-09 12:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1235,0.07,rain,31.49,38.33,24.9,0.68,1006.8,1.5,2.01,193,0.77,6,16.093,268.2
26,2020-09-09 13:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0436,0.05,rain,32.18,39.2,24.82,0.65,1005.9,1.52,2.49,222,0.7,6,16.093,267.6
27,2020-09-09 14:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0032,0.02,rain,32.42,39.36,24.68,0.64,1005.2,1.54,2.98,244,0.65,6,16.093,267.1
28,2020-09-09 15:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,32.11,39.25,24.92,0.66,1004.5,1.66,3.32,191,0.66,4,16.093,266.6
29,2020-09-09 16:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,31.2,38.31,25.21,0.71,1003.9,1.9,3.52,62,0.75,2,16.093,266.2
30,2020-09-09 17:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,30.1,36.7,25.29,0.75,1003.6,2.09,3.57,328,0.81,1,16.093,265.8
31,2020-09-09 18:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,29.07,34.75,25.08,0.79,1003.7,2.05,3.3,287,0.71,0,16.093,265.5
32,2020-09-09 19:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,,28.05,32.42,24.53,0.81,1004.3,1.77,2.7,295,0.46,0,16.093,265.1
33,2020-09-09 20:15:00,Humid,clear-night,0.0,0.0,,27.24,30.54,23.98,0.82,1004.8,1.44,2.07,320,0.19,0,16.093,264.7
34,2020-09-09 21:15:00,Humid,clear-night,0.0,0.0,,26.67,29.24,23.52,0.83,1004.9,1.26,1.71,346,0.05,0,16.093,264.5
35,2020-09-09 22:15:00,Humid,clear-night,0.0,0.0,,26.35,28.53,23.21,0.83,1004.9,1.2,1.61,13,0.03,0,16.093,264.4
36,2020-09-09 23:15:00,Humid,clear-night,0.0,0.0,,26.22,28.24,23.06,0.83,1004.7,1.19,1.59,36,0.04,0,16.093,264.3
37,2020-09-10 00:15:00,Humid,clear-night,0.0022,0.01,rain,26.13,28.05,22.99,0.83,1004.7,1.23,1.57,46,0.06,0,16.093,264.5
38,2020-09-10 01:15:00,Humid,clear-night,0.0312,0.02,rain,26.02,27.87,22.96,0.83,1004.3,1.33,1.6,45,0.08,0,16.093,264.9
39,2020-09-10 02:15:00,Humid,clear-night,0.0839,0.03,rain,25.88,27.16,22.94,0.84,1003.7,1.43,1.65,42,0.1,0,16.093,265.2
40,2020-09-10 03:15:00,Humid,clear-night,0.1134,0.03,rain,25.57,26.35,22.83,0.85,1003.5,1.51,1.63,43,0.11,0,16.093,265.4
41,2020-09-10 04:15:00,Humid,clear-night,0.1449,0.04,rain,25.17,25.98,22.65,0.86,1003.5,1.55,1.59,49,0.12,0,16.093,265.4
42,2020-09-10 05:15:00,Humid,clear-night,0.2033,0.05,rain,24.85,25.66,22.51,0.87,1003.6,1.61,1.63,57,0.11,0,16.093,265.3
43,2020-09-10 06:15:00,Humid,clear-day,0.1887,0.05,rain,24.98,25.73,22.82,0.88,1003.8,1.7,1.7,65,0.09,0,16.093,265.1
44,2020-09-10 07:15:00,Humid,clear-day,0.0936,0.03,rain,25.88,27.5,23.5,0.87,1004.3,1.8,1.8,74,0.05,1,16.093,264.9
45,2020-09-10 08:15:00,Humid,clear-day,0.0282,0.01,rain,27.13,30.45,24.16,0.84,1004.8,1.91,1.91,86,0.02,2,16.093,264.6
46,2020-09-10 09:15:00,Humid,clear-day,0.01,0.01,rain,28.3,32.88,24.54,0.8,1005.2,2.0,2.0,112,0.0,5,16.093,264.1
47,2020-09-10 10:15:00,Humid,clear-day,0.0079,0.01,rain,29.48,34.84,24.53,0.75,1005.1,2.08,2.13,150,0.0,8,16.093,263.4
48,2020-09-10 11:15:00,Humid,clear-day,0.016,0.02,rain,30.5,36.37,24.47,0.7,1004.6,2.14,2.41,182,0.0,10,16.093,262.8
