,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8466,0.13,rain,28.04,33.05,25.31,0.85,1008.7,1.06,1.85,160,0.48,7,16.093,270.7
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.838,0.15,rain,28.7,34.45,25.46,0.83,1008.4,1.03,1.98,167,0.43,8,16.093,270.0
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6559,0.15,rain,29.6,36.15,25.51,0.79,1007.8,1.07,2.12,112,0.38,8,16.093,269.8
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4614,0.13,rain,30.29,37.32,25.53,0.76,1007.0,1.15,2.25,31,0.34,7,16.093,270.0
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3209,0.11,rain,30.58,38.08,25.76,0.76,1006.4,1.19,2.3,11,0.33,5,16.093,270.1
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.174,0.08,rain,30.18,37.78,26.02,0.78,1005.9,1.18,2.25,42,0.38,3,16.093,270.1
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0591,0.06,rain,29.41,36.32,25.95,0.82,1005.6,1.15,2.13,82,0.45,1,16.093,270.3
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.017,0.03,rain,28.48,34.31,25.72,0.85,1005.8,1.12,1.97,102,0.56,0,16.093,270.2
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.017,0.01,rain,27.7,32.42,25.28,0.87,1006.2,1.06,1.7,86,0.73,0,16.093,270.0
9,2020-09-08 20:00:00,Humid and Overcast,cloudy,0.0285,0.01,rain,26.96,30.54,24.76,0.88,1006.9,1.01,1.44,63,0.9,0,16.093,269.7
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.0302,0.01,rain,26.52,29.22,24.28,0.88,1007.4,1.02,1.39,54,1.0,0,16.093,269.4
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.0,0.0,,26.25,28.52,23.9,0.87,1007.4,1.11,1.54,65,1.0,0,16.093,269.3
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.0,0.0,,26.06,28.06,23.61,0.86,1007.4,1.23,1.77,80,1.0,0,16.093,269.2
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.0,0.0,,25.9,27.53,23.44,0.86,1007.2,1.27,1.92,85,0.98,0,16.093,269.3
14,2020-09-09 01:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0,0.0,,25.71,26.54,23.35,0.87,1007.3,1.2,1.92,76,0.81,0,16.093,269.7
15,2020-09-09 02:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0332,0.01,rain,25.56,26.46,23.34,0.88,1007.5,1.08,1.87,65,0.62,0,16.093,270.2
