,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9341,0.15,rain,28.1,34.02,26.06,0.89,1008.8,0.95,1.73,176,0.46,7,16.093,270.4
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9101,0.16,rain,28.76,35.48,26.26,0.86,1008.6,0.96,1.86,184,0.45,8,16.093,269.7
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7682,0.15,rain,29.79,37.42,26.27,0.81,1007.9,0.92,1.97,136,0.41,8,16.093,269.6
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5851,0.13,rain,30.62,38.86,26.26,0.78,1007.2,0.88,2.06,17,0.36,7,16.093,269.7
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4139,0.12,rain,31.0,39.82,26.48,0.77,1006.6,0.87,2.06,358,0.36,5,16.093,269.8
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2239,0.09,rain,30.63,39.66,26.78,0.8,1006.1,0.91,1.97,34,0.39,3,16.093,269.9
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.078,0.07,rain,29.86,38.24,26.76,0.84,1005.8,0.96,1.82,91,0.46,1,16.093,269.9
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0279,0.04,rain,28.92,36.2,26.57,0.87,1005.9,0.98,1.69,117,0.56,0,16.093,269.9
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0383,0.02,rain,28.09,34.0,26.06,0.89,1006.4,0.95,1.57,92,0.73,0,16.093,269.7
9,2020-09-08 20:00:00,Humid and Overcast,cloudy,0.0691,0.01,rain,27.24,31.68,25.37,0.9,1007.1,0.92,1.47,63,0.91,0,16.093,269.4
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.0735,0.02,rain,26.81,30.4,24.89,0.89,1007.6,0.95,1.5,52,1.0,0,16.093,269.2
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.0327,0.01,rain,26.58,29.43,24.5,0.88,1007.8,1.05,1.64,61,1.0,0,16.093,269.2
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.0026,0.01,rain,26.45,29.03,24.19,0.87,1007.5,1.17,1.82,75,1.0,0,16.093,269.2
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.0,0.0,,26.26,28.55,23.96,0.87,1007.4,1.2,1.94,78,0.98,0,16.093,269.3
14,2020-09-09 01:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0147,0.01,rain,25.98,27.9,23.78,0.88,1007.5,1.12,1.94,68,0.86,0,16.093,269.6
15,2020-09-09 02:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0538,0.02,rain,25.75,27.29,23.69,0.88,1007.8,1.0,1.89,55,0.71,0,16.093,270.0
16,2020-09-09 03:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0758,0.03,rain,25.37,26.25,23.58,0.9,1007.7,0.92,1.85,54,0.58,0,16.093,270.4
17,2020-09-09 04:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0516,0.03,rain,24.88,25.81,23.36,0.91,1007.7,0.9,1.82,66,0.5,0,16.093,270.8
18,2020-09-09 05:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0369,0.04,rain,24.53,25.45,23.23,0.93,1007.7,0.9,1.78,85,0.42,0,16.093,271.2
19,2020-09-09 06:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0519,0.03,rain,24.56,25.48,23.45,0.94,1008.0,0.92,1.67,105,0.35,0,16.093,271.3
20,2020-09-09 07:00:00,Humid,clear-day,0.08,0.05,rain,25.29,26.58,24.2,0.94,1008.5,0.93,1.45,118,0.27,0,16.093,271.0
21,2020-09-09 08:00:00,Humid,clear-day,0.1117,0.05,rain,26.54,29.59,25.05,0.92,1009.0,0.95,1.21,130,0.19,2,16.093,270.5
22,2020-09-09 09:00:00,Humid,clear-day,0.1176,0.05,rain,27.59,32.41,25.42,0.88,1009.2,1.02,1.13,145,0.15,4,16.093,270.0
23,2020-09-09 10:00:00,Humid,clear-day,0.0848,0.05,rain,28.92,35.06,25.65,0.83,1009.0,1.16,1.22,167,0.13,7,16.093,269.4
24,2020-09-09 11:00:00,Humid,clear-day,0.0535,0.05,rain,30.17,37.23,25.62,0.77,1008.6,1.33,1.39,184,0.13,9,16.093,268.7
25,2020-09-09 12:00:00,Humid,clear-day,0.0355,0.04,rain,31.38,39.01,25.52,0.71,1007.9,1.44,1.63,191,0.19,10,16.093,268.1
26,2020-09-09 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0158,0.04,rain,32.2,40.07,25.42,0.67,1006.9,1.45,1.96,194,0.37,8,16.093,267.4
27,2020-09-09 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0045,0.03,rain,32.58,40.38,25.26,0.65,1006.1,1.41,2.34,204,0.59,6,16.093,266.9
28,2020-09-09 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,32.28,40.17,25.4,0.67,1005.4,1.37,2.58,188,0.73,4,16.093,266.6
29,2020-09-09 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0105,0.01,rain,31.58,39.74,25.82,0.72,1004.7,1.34,2.67,108,0.77,2,16.093,266.7
30,2020-09-09 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0149,0.02,rain,30.57,38.59,26.13,0.77,1004.4,1.31,2.65,344,0.76,1,16.093,267.0
31,2020-09-09 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0138,0.02,rain,29.76,37.34,26.26,0.82,1004.3,1.25,2.48,296,0.71,0,16.093,267.0
32,2020-09-09 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0063,0.01,rain,28.6,34.55,25.73,0.84,1004.6,1.15,2.07,310,0.61,0,16.093,266.5
33,2020-09-09 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,,27.58,31.93,25.02,0.86,1005.1,1.03,1.6,353,0.5,0,16.093,266.0
34,2020-09-09 21:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,,26.89,30.11,24.35,0.86,1005.5,1.01,1.35,27,0.39,0,16.093,265.4
35,2020-09-09 22:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,,26.54,29.11,23.88,0.85,1005.6,1.13,1.42,39,0.32,0,16.093,264.7
36,2020-09-09 23:00:00,Humid,clear-night,0.0,0.0,,26.28,28.5,23.54,0.85,1005.4,1.29,1.61,48,0.25,0,16.093,264.0
37,2020-09-10 00:00:00,Humid,clear-night,0.0,0.0,,26.0,27.71,23.29,0.85,1005.3,1.39,1.71,54,0.2,0,16.093,263.7
38,2020-09-10 01:00:00,Humid,clear-night,0.027,0.02,rain,25.66,26.45,23.12,0.86,1005.2,1.4,1.71,56,0.17,0,16.093,263.8
39,2020-09-10 02:00:00,Humid,clear-night,0.0934,0.03,rain,25.42,26.29,23.11,0.87,1005.2,1.39,1.66,55,0.15,0,16.093,264.2
40,2020-09-10 03:00:00,Humid,clear-night,0.125,0.03,rain,25.07,25.94,23.05,0.89,1004.9,1.41,1.63,56,0.13,0,16.093,264.6
41,2020-09-10 04:00:00,Humid,clear-night,0.0681,0.03,rain,24.59,25.44,22.76,0.9,1004.9,1.47,1.66,55,0.14,0,16.093,265.1
42,2020-09-10 05:00:00,Humid,clear-night,0.0217,0.02,rain,24.22,25.06,22.54,0.9,1004.8,1.55,1.72,56,0.13,0,16.093,265.5
43,2020-09-10 06:00:00,Humid,clear-night,0.0215,0.02,rain,24.31,25.14,22.73,0.91,1005.0,1.58,1.71,59,0.11,0,16.093,265.5
44,2020-09-10 07:00:00,Humid,clear-day,0.0277,0.02,rain,25.23,26.43,23.59,0.91,1005.5,1.52,1.57,63,0.07,0,16.093,264.9
45,2020-09-10 08:00:00,Humid,clear-day,0.0315,0.02,rain,26.59,29.43,24.49,0.88,1005.9,1.43,1.43,70,0.02,2,16.093,263.9
46,2020-09-10 09:00:00,Humid,clear-day,0.0331,0.02,rain,27.62,31.94,24.91,0.85,1006.1,1.43,1.43,86,0.0,4,16.093,263.1
47,2020-09-10 10:00:00,Humid,clear-day,0.0362,0.03,rain,28.67,33.99,25.05,0.81,1006.0,1.55,1.59,114,0.0,7,16.093,262.7
48,2020-09-10 11:00:00,Humid,clear-day,0.0535,0.03,rain,29.72,35.71,24.96,0.76,1005.7,1.7,1.83,138,0.01,10,16.093,262.3
