,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid,clear-day,0.4272,0.09,rain,28.87,35.39,26.02,0.85,1009.3,1.23,1.46,185,0.22,9,16.093,268.9
1,2020-09-08 12:00:00,Humid,clear-day,0.4576,0.1,rain,29.77,36.91,25.9,0.8,1009.0,1.44,1.73,211,0.24,9,16.093,268.5
2,2020-09-08 13:00:00,Humid,clear-day,0.4682,0.1,rain,30.24,37.68,25.87,0.78,1008.4,1.41,1.91,200,0.29,9,16.093,268.3
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4776,0.11,rain,30.16,37.57,25.89,0.78,1007.7,1.3,2.05,195,0.34,7,16.093,268.4
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4346,0.11,rain,29.81,37.24,26.1,0.81,1007.1,1.16,1.98,206,0.36,5,16.093,268.5
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.311,0.1,rain,29.24,36.69,26.49,0.85,1006.7,0.97,1.59,211,0.34,3,16.093,268.8
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1897,0.09,rain,28.74,36.0,26.68,0.89,1006.5,0.78,1.12,207,0.32,1,16.093,269.2
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1194,0.07,rain,28.09,34.8,26.68,0.92,1006.6,0.69,0.91,182,0.37,0,16.093,269.3
8,2020-09-08 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.068,0.04,rain,27.23,32.29,26.12,0.94,1007.1,0.7,1.07,132,0.54,0,16.093,269.0
9,2020-09-08 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0418,0.03,rain,26.22,28.8,25.24,0.94,1007.9,0.76,1.37,84,0.73,0,16.093,268.7
10,2020-09-08 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.038,0.02,rain,25.63,27.13,24.65,0.94,1008.4,0.81,1.61,56,0.86,0,16.093,268.7
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.0328,0.02,rain,25.4,26.39,24.25,0.93,1008.6,0.9,1.73,48,0.89,0,16.093,268.9
