,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9014,0.15,rain,27.88,33.4,25.88,0.89,1008.9,1.06,1.67,175,0.46,7,16.093,270.3
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.891,0.16,rain,28.55,34.95,26.15,0.87,1008.6,1.12,1.89,188,0.42,8,15.66,269.6
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7924,0.15,rain,29.51,36.69,26.11,0.82,1008.0,1.07,1.95,138,0.37,8,16.093,269.5
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6657,0.15,rain,30.26,37.96,26.04,0.78,1007.2,0.98,1.95,31,0.32,7,16.093,269.6
4,2020-09-08 15:00:00,Humid,clear-day,0.5086,0.13,rain,30.61,38.76,26.21,0.77,1006.6,0.92,1.9,4,0.3,5,16.093,269.7
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2784,0.1,rain,30.25,38.44,26.42,0.8,1006.2,0.87,1.76,37,0.32,3,16.093,269.8
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0919,0.07,rain,29.55,37.09,26.36,0.83,1005.9,0.84,1.59,85,0.36,1,16.093,269.9
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0272,0.04,rain,28.71,35.33,26.22,0.86,1005.9,0.85,1.49,111,0.47,0,16.093,269.9
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0324,0.02,rain,27.89,33.25,25.73,0.88,1006.5,0.89,1.47,93,0.66,0,16.093,269.7
9,2020-09-08 20:00:00,Humid and Overcast,cloudy,0.0574,0.01,rain,27.1,31.13,25.07,0.89,1007.2,0.96,1.5,63,0.88,0,16.093,269.4
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.061,0.01,rain,26.69,29.93,24.59,0.88,1007.7,1.03,1.6,51,1.0,0,16.093,269.3
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.0271,0.01,rain,26.45,29.04,24.23,0.88,1007.9,1.11,1.74,58,1.0,0,16.093,269.2
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.0022,0.01,rain,26.29,28.62,23.96,0.87,1007.6,1.19,1.9,70,1.0,0,16.093,269.2
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.0,0.0,,26.1,28.19,23.77,0.87,1007.5,1.2,2.01,74,0.98,0,16.093,269.4
14,2020-09-09 01:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0,0.0,,25.86,27.47,23.64,0.88,1007.6,1.15,2.0,67,0.87,0,16.093,269.7
15,2020-09-09 02:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.018,0.01,rain,25.66,26.52,23.6,0.88,1007.5,1.06,1.94,58,0.73,0,16.093,270.2
