,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1765,0.05,rain,23.19,24.32,23.19,1.0,1009.8,0.93,1.2,175,0.73,7,11.844,265.2
1,2020-09-08 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3098,0.06,rain,24.64,25.74,24.52,0.99,1009.2,1.06,1.44,198,0.72,7,9.318,264.5
2,2020-09-08 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4325,0.06,rain,25.41,26.62,24.91,0.97,1008.4,1.18,1.62,207,0.68,7,11.418,264.0
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.541,0.07,rain,25.54,27.04,25.21,0.98,1007.6,1.3,1.75,221,0.63,6,15.083,263.7
4,2020-09-08 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.58,0.07,rain,24.81,26.06,24.81,1.0,1007.0,1.33,1.82,220,0.61,4,16.093,264.0
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5188,0.08,rain,23.73,25.15,23.73,1.0,1006.7,1.21,1.79,209,0.6,2,16.093,265.0
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4254,0.08,rain,22.48,24.01,22.48,1.0,1006.6,1.02,1.71,259,0.6,1,16.093,266.3
7,2020-09-08 18:00:00,Mostly Cloudy,partly-cloudy-day,0.3607,0.07,rain,21.62,23.16,21.62,1.0,1006.9,0.84,1.58,231,0.63,0,16.093,266.9
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.3226,0.07,rain,20.73,22.2,20.73,1.0,1007.8,0.65,1.39,212,0.69,0,16.093,266.9
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.2917,0.07,rain,19.9,21.21,19.9,1.0,1008.9,0.48,1.18,17,0.75,0,12.873,266.5
