,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1639,0.05,rain,24.62,25.75,23.73,0.95,1009.4,0.93,1.11,152,0.68,7,12.189,265.3
1,2020-09-08 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3022,0.06,rain,26.23,28.48,24.28,0.89,1008.8,1.07,1.34,214,0.68,8,9.617,264.6
2,2020-09-08 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4314,0.06,rain,27.26,31.18,24.79,0.86,1007.9,1.19,1.56,224,0.63,7,11.556,264.1
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5486,0.07,rain,27.53,32.28,25.42,0.88,1007.1,1.26,1.75,235,0.57,6,15.279,263.7
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5963,0.07,rain,26.8,30.98,25.81,0.94,1006.5,1.25,1.86,229,0.53,5,16.093,264.0
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5417,0.08,rain,25.74,27.87,25.74,1.0,1006.1,1.16,1.85,212,0.52,2,16.093,264.9
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.45,0.08,rain,24.62,25.94,24.62,1.0,1006.0,0.98,1.78,288,0.53,1,16.093,266.1
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3847,0.07,rain,23.81,25.24,23.81,1.0,1006.3,0.82,1.67,245,0.57,0,16.093,266.8
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.3488,0.06,rain,22.68,24.05,22.68,1.0,1007.3,0.67,1.48,233,0.64,0,16.05,266.8
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.3194,0.06,rain,21.75,22.97,21.75,1.0,1008.4,0.52,1.28,10,0.72,0,12.482,266.4
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.2857,0.06,rain,21.03,22.12,21.03,1.0,1009.2,0.42,1.14,11,0.79,0,11.649,265.9
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.24,0.07,rain,20.66,21.67,20.66,1.0,1009.5,0.38,1.07,80,0.82,0,14.823,265.5
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.2048,0.09,rain,20.4,21.34,20.4,1.0,1009.5,0.38,1.04,112,0.85,0,16.093,264.8
13,2020-09-09 00:00:00,Overcast,cloudy,0.2012,0.1,rain,20.14,21.02,20.14,1.0,1009.5,0.37,1.0,118,0.88,0,16.093,264.0
14,2020-09-09 01:00:00,Overcast,cloudy,0.2335,0.1,rain,19.84,20.66,19.84,1.0,1009.3,0.38,0.95,110,0.92,0,16.093,262.9
15,2020-09-09 02:00:00,Overcast,cloudy,0.2837,0.09,rain,19.56,20.32,19.56,1.0,1009.1,0.41,0.9,91,0.96,0,16.093,261.9
16,2020-09-09 03:00:00,Overcast,cloudy,0.3088,0.09,rain,19.45,20.2,19.45,1.0,1009.0,0.42,0.87,74,0.97,0,16.093,261.7
