,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1569,0.05,rain,23.95,24.99,23.95,1.0,1009.8,0.88,1.17,166,0.73,7,12.75,265.2
1,2020-09-08 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2838,0.06,rain,25.6,27.01,24.78,0.95,1009.2,1.02,1.41,187,0.72,7,10.218,264.5
2,2020-09-08 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4113,0.06,rain,26.58,29.91,25.31,0.93,1008.4,1.15,1.59,204,0.67,7,11.945,264.0
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5323,0.07,rain,26.84,31.17,25.78,0.94,1007.6,1.26,1.75,219,0.62,6,15.306,263.7
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5828,0.07,rain,26.1,28.57,26.1,1.0,1007.0,1.27,1.83,218,0.58,4,16.093,264.0
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5291,0.08,rain,25.0,25.81,25.0,1.0,1006.7,1.17,1.81,205,0.56,2,16.093,265.0
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4409,0.08,rain,23.8,25.38,23.8,1.0,1006.6,1.0,1.73,264,0.56,1,16.093,266.2
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3782,0.07,rain,23.01,24.6,23.01,1.0,1006.9,0.84,1.6,231,0.59,0,16.093,266.9
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.339,0.07,rain,21.9,23.41,21.9,1.0,1007.8,0.66,1.4,214,0.66,0,16.093,266.8
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.3029,0.07,rain,20.99,22.34,20.99,1.0,1009.0,0.48,1.19,347,0.75,0,13.101,266.4
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.2669,0.06,rain,20.37,21.57,20.37,1.0,1009.7,0.36,1.04,342,0.81,0,12.207,265.8
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.2267,0.07,rain,20.0,21.1,20.0,1.0,1010.0,0.31,0.97,56,0.84,0,14.851,265.3
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.1963,0.1,rain,19.71,20.73,19.71,1.0,1010.0,0.3,0.95,103,0.86,0,16.093,264.6
13,2020-09-09 00:00:00,Overcast,cloudy,0.1976,0.11,rain,19.46,20.4,19.46,1.0,1010.0,0.3,0.92,111,0.89,0,16.093,263.9
14,2020-09-09 01:00:00,Overcast,cloudy,0.2399,0.11,rain,19.21,20.08,19.21,1.0,1009.8,0.32,0.89,98,0.93,0,16.093,262.8
15,2020-09-09 02:00:00,Overcast,cloudy,0.301,0.09,rain,19.14,19.98,19.14,1.0,1009.6,0.37,0.86,76,0.97,0,16.009,261.7
16,2020-09-09 03:00:00,Overcast,cloudy,0.3313,0.1,rain,19.14,19.97,19.14,1.0,1009.5,0.39,0.84,61,0.98,0,15.778,261.6
17,2020-09-09 04:00:00,Overcast,cloudy,0.3153,0.11,rain,18.87,19.66,18.87,1.0,1009.6,0.38,0.82,68,0.96,0,16.093,262.6
18,2020-09-09 05:00:00,Overcast,cloudy,0.3037,0.13,rain,18.48,19.26,18.48,1.0,1009.7,0.37,0.82,88,0.92,0,16.093,263.9
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.2976,0.12,rain,18.23,19.02,18.23,1.0,1010.0,0.39,0.84,96,0.83,0,16.093,264.9
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.271,0.11,rain,18.9,19.72,18.9,1.0,1010.4,0.44,0.87,96,0.68,1,16.093,265.3
21,2020-09-09 08:00:00,Partly Cloudy,partly-cloudy-day,0.2367,0.09,rain,20.14,21.04,20.14,1.0,1010.8,0.53,0.93,120,0.51,2,16.093,265.4
22,2020-09-09 09:00:00,Partly Cloudy,partly-cloudy-day,0.2163,0.08,rain,21.46,22.42,21.46,1.0,1010.8,0.66,1.07,144,0.41,5,14.975,264.8
23,2020-09-09 10:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2243,0.07,rain,22.58,23.6,22.58,1.0,1010.3,0.83,1.32,155,0.41,7,10.613,263.2
24,2020-09-09 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2837,0.07,rain,23.91,24.96,23.88,1.0,1009.6,1.01,1.6,165,0.45,9,6.614,261.1
25,2020-09-09 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3972,0.07,rain,24.98,26.08,24.55,0.97,1008.8,1.13,1.83,185,0.53,9,6.27,259.9
26,2020-09-09 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5767,0.08,rain,25.45,26.57,24.89,0.97,1007.9,1.18,1.96,204,0.69,7,11.191,259.8
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7836,0.09,rain,25.08,26.27,25.08,1.0,1006.9,1.18,2.06,219,0.87,5,16.093,260.0
28,2020-09-09 15:00:00,Humid and Overcast,cloudy,0.8558,0.09,rain,24.26,25.55,24.26,1.0,1006.1,1.16,2.1,216,0.98,4,16.093,260.0
29,2020-09-09 16:00:00,Humid and Overcast,cloudy,0.715,0.09,rain,23.47,24.9,23.47,1.0,1005.6,1.09,2.1,190,1.0,2,16.093,259.9
30,2020-09-09 17:00:00,Humid and Overcast,cloudy,0.5222,0.09,rain,23.18,24.71,23.18,1.0,1005.3,1.0,2.05,175,0.99,1,16.093,259.8
31,2020-09-09 18:00:00,Humid and Overcast,cloudy,0.4204,0.08,rain,22.6,24.15,22.6,1.0,1005.5,0.91,1.97,189,0.98,0,16.093,259.7
32,2020-09-09 19:00:00,Overcast,cloudy,0.4068,0.08,rain,21.8,23.27,21.8,1.0,1006.4,0.81,1.84,66,0.97,0,13.813,259.6
33,2020-09-09 20:00:00,Overcast,cloudy,0.4049,0.08,rain,20.88,22.2,20.88,1.0,1007.5,0.73,1.67,344,0.95,0,11.211,259.5
34,2020-09-09 21:00:00,Overcast,cloudy,0.3627,0.1,rain,20.23,21.39,20.23,1.0,1008.2,0.68,1.56,318,0.94,0,11.411,259.1
35,2020-09-09 22:00:00,Overcast,cloudy,0.2755,0.11,rain,19.78,20.78,19.78,1.0,1008.2,0.69,1.52,325,0.95,0,15.633,258.3
36,2020-09-09 23:00:00,Overcast,cloudy,0.1858,0.11,rain,19.37,20.22,19.37,1.0,1008.0,0.73,1.5,341,0.96,0,16.093,257.2
