,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1467,0.05,rain,24.22,25.09,23.02,0.93,1009.9,0.81,1.02,147,0.65,7,12.185,265.4
1,2020-09-08 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2867,0.05,rain,25.85,27.11,23.64,0.88,1009.3,0.91,1.25,217,0.64,8,9.938,264.7
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4227,0.06,rain,26.77,29.73,24.12,0.85,1008.5,1.01,1.5,223,0.57,8,12.23,264.2
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5513,0.07,rain,27.04,30.44,24.49,0.86,1007.6,1.13,1.75,241,0.5,7,15.79,263.8
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6104,0.07,rain,26.32,28.84,24.7,0.91,1007.1,1.18,1.89,237,0.46,5,16.093,264.0
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5639,0.08,rain,25.23,26.51,25.0,0.99,1006.7,1.1,1.91,214,0.45,2,16.093,264.9
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4756,0.07,rain,24.01,25.22,24.01,1.0,1006.6,0.95,1.85,306,0.46,1,16.093,266.0
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4105,0.06,rain,23.13,24.36,23.13,1.0,1007.0,0.81,1.73,256,0.51,0,16.093,266.6
8,2020-09-08 19:00:00,Partly Cloudy,partly-cloudy-night,0.3759,0.06,rain,22.0,23.18,22.0,1.0,1007.9,0.68,1.56,252,0.59,0,15.277,266.6
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.346,0.06,rain,20.99,22.01,20.99,1.0,1009.1,0.56,1.37,2,0.7,0,12.237,266.4
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.3065,0.06,rain,20.24,21.13,20.24,1.0,1009.9,0.47,1.22,352,0.77,0,11.919,265.9
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.2489,0.07,rain,19.83,20.65,19.83,1.0,1010.1,0.42,1.13,71,0.81,0,15.577,265.5
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.2021,0.08,rain,19.55,20.33,19.55,1.0,1010.2,0.4,1.06,111,0.84,0,16.093,264.8
13,2020-09-09 00:00:00,Mostly Cloudy,partly-cloudy-night,0.1933,0.09,rain,19.26,20.0,19.26,1.0,1010.2,0.38,1.0,116,0.87,0,16.093,264.1
14,2020-09-09 01:00:00,Overcast,cloudy,0.2275,0.09,rain,18.97,19.66,18.97,1.0,1010.0,0.38,0.91,107,0.91,0,16.093,263.0
15,2020-09-09 02:00:00,Overcast,cloudy,0.2792,0.08,rain,18.83,19.48,18.83,1.0,1009.8,0.41,0.85,90,0.95,0,16.093,261.9
16,2020-09-09 03:00:00,Overcast,cloudy,0.2961,0.08,rain,18.82,19.44,18.82,1.0,1009.7,0.42,0.81,76,0.97,0,16.093,261.7
17,2020-09-09 04:00:00,Overcast,cloudy,0.2619,0.09,rain,18.52,19.1,18.52,1.0,1009.8,0.4,0.8,78,0.96,0,16.093,262.6
18,2020-09-09 05:00:00,Overcast,cloudy,0.2376,0.09,rain,18.09,18.64,18.09,1.0,1009.9,0.39,0.82,87,0.93,0,16.093,263.9
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.2308,0.1,rain,17.82,18.37,17.82,1.0,1010.2,0.39,0.82,85,0.84,0,16.093,264.8
