,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Overcast,cloudy,0.1381,0.05,rain,23.6,24.84,23.6,1,1009.8,0.76,1.17,254,0.89,6,16.093,261.5
1,2020-09-08 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1938,0.05,rain,24.94,26.17,24.94,1,1009.1,0.88,1.28,230,0.8,7,16.093,261.1
2,2020-09-08 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2648,0.06,rain,25.25,26.53,25.25,1,1008.4,1.01,1.52,236,0.61,7,13.753,261.9
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3669,0.08,rain,24.69,26.1,24.69,1,1007.7,1.13,1.76,244,0.38,7,10.839,263.1
4,2020-09-08 15:00:00,Humid,clear-day,0.4401,0.09,rain,23.75,25.34,23.75,1,1007.2,1.14,1.8,257,0.26,5,9.494,264.0
5,2020-09-08 16:00:00,Humid,clear-day,0.4281,0.1,rain,22.69,24.47,22.69,1,1007.2,0.97,1.51,284,0.28,2,10.329,264.6
6,2020-09-08 17:00:00,Partly Cloudy,partly-cloudy-day,0.3811,0.1,rain,21.68,23.48,21.68,1,1007.3,0.75,1.15,312,0.36,1,11.93,265.1
7,2020-09-08 18:00:00,Partly Cloudy,partly-cloudy-day,0.3403,0.1,rain,20.83,22.58,20.83,1,1007.9,0.7,1.03,339,0.47,0,12.705,265.2
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.3103,0.08,rain,20.25,21.81,20.25,1,1009.0,0.86,1.29,26,0.62,0,12.138,264.8
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.282,0.08,rain,19.73,21.07,19.73,1,1010.3,1.08,1.64,21,0.78,0,11.333,264.1
