,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid,clear-day,0.3516,0.07,rain,30.55,36.96,24.92,0.72,1009.3,1.18,1.24,291,0.17,9,16.093,268.4
1,2020-09-08 12:00:00,Humid,clear-day,0.4221,0.09,rain,31.46,37.76,24.48,0.67,1008.9,1.41,1.46,267,0.21,10,16.093,267.4
2,2020-09-08 13:00:00,Humid,clear-day,0.3429,0.08,rain,31.71,37.82,24.25,0.65,1008.3,1.48,1.79,261,0.29,9,16.093,267.2
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2428,0.08,rain,31.4,37.64,24.45,0.67,1007.5,1.46,2.29,267,0.39,7,16.093,267.2
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2058,0.09,rain,30.93,37.24,24.69,0.69,1007.0,1.32,2.4,281,0.46,5,16.093,267.4
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2337,0.09,rain,30.72,37.15,24.87,0.71,1006.4,1.03,1.97,324,0.49,2,16.093,267.7
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2875,0.09,rain,30.47,36.72,24.82,0.72,1006.0,0.69,1.38,76,0.51,1,16.093,268.1
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3117,0.09,rain,29.82,35.61,24.74,0.74,1006.1,0.53,1.16,91,0.54,0,16.093,268.6
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.2719,0.07,rain,28.67,33.52,24.53,0.78,1006.9,0.62,1.47,83,0.6,0,16.093,269.2
9,2020-09-08 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.2474,0.06,rain,27.42,30.88,23.98,0.82,1007.9,0.79,1.92,63,0.66,0,16.093,269.8
10,2020-09-08 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.3138,0.06,rain,26.55,28.98,23.46,0.83,1008.6,0.89,2.12,54,0.71,0,14.121,269.9
11,2020-09-08 22:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.5374,0.07,rain,26.33,28.53,23.39,0.84,1008.9,0.89,1.94,62,0.74,0,10.14,269.1
12,2020-09-08 23:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.8944,0.09,rain,26.25,28.4,23.37,0.84,1009.0,0.86,1.63,51,0.77,0,6.292,268.1
13,2020-09-09 00:00:00,Humid and Mostly Cloudy,partly-cloudy-night,1.1608,0.1,rain,26.07,27.83,23.29,0.85,1009.0,0.84,1.4,38,0.81,0,5.346,267.2
14,2020-09-09 01:00:00,Humid and Overcast,cloudy,1.1864,0.11,rain,25.7,26.48,23.03,0.85,1008.8,0.84,1.26,30,0.88,0,8.386,266.5
15,2020-09-09 02:00:00,Humid and Overcast,cloudy,1.0984,0.1,rain,25.23,26.04,22.61,0.85,1008.6,0.86,1.16,25,0.96,0,13.001,265.9
16,2020-09-09 03:00:00,Overcast,cloudy,0.9805,0.09,rain,24.68,25.45,22.21,0.86,1008.5,0.88,1.12,21,1.0,0,16.093,265.8
17,2020-09-09 04:00:00,Overcast,cloudy,0.8406,0.09,rain,24.2,24.96,21.98,0.87,1008.5,0.9,1.16,15,1.0,0,16.093,266.4
18,2020-09-09 05:00:00,Overcast,cloudy,0.6856,0.11,rain,23.76,24.51,21.84,0.89,1008.5,0.92,1.24,11,1.0,0,16.093,267.2
19,2020-09-09 06:00:00,Overcast,cloudy,0.55,0.11,rain,23.78,24.55,21.97,0.9,1008.8,0.91,1.26,12,1.0,0,16.093,267.8
20,2020-09-09 07:00:00,Humid and Overcast,cloudy,0.4208,0.08,rain,24.66,25.42,22.57,0.88,1009.3,0.82,1.17,17,0.96,0,16.093,268.0
21,2020-09-09 08:00:00,Humid and Overcast,cloudy,0.3208,0.07,rain,26.15,27.5,23.35,0.85,1009.8,0.73,1.08,30,0.93,2,11.145,267.9
22,2020-09-09 09:00:00,Humid and Overcast,cloudy,0.2829,0.06,rain,27.8,31.59,23.95,0.8,1009.9,0.73,1.16,56,0.89,3,9.614,267.6
23,2020-09-09 10:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3163,0.06,rain,29.5,34.23,23.88,0.72,1009.5,0.85,1.45,94,0.85,5,13.479,266.7
24,2020-09-09 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3934,0.07,rain,31.2,36.03,23.27,0.63,1008.8,1.01,1.84,137,0.81,6,16.093,265.6
25,2020-09-09 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4597,0.08,rain,32.5,37.17,22.75,0.57,1008.1,1.21,2.23,168,0.8,6,16.093,264.6
26,2020-09-09 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5041,0.08,rain,33.19,38.3,22.98,0.55,1007.2,1.52,2.65,183,0.84,6,16.093,263.6
27,2020-09-09 14:00:00,Humid and Overcast,cloudy,0.5569,0.08,rain,33.17,39.23,23.8,0.58,1006.2,1.83,3.02,189,0.9,5,15.361,262.7
28,2020-09-09 15:00:00,Humid and Overcast,cloudy,0.5734,0.1,rain,32.65,39.75,24.74,0.63,1005.5,1.94,3.02,189,0.94,4,13.643,262.5
29,2020-09-09 16:00:00,Humid and Overcast,cloudy,0.5155,0.11,rain,31.94,39.95,25.59,0.69,1004.9,1.78,2.48,184,0.95,2,14.789,263.2
30,2020-09-09 17:00:00,Humid and Overcast,cloudy,0.4495,0.11,rain,31.14,39.45,26.09,0.75,1004.6,1.52,1.78,179,0.96,1,16.093,264.3
31,2020-09-09 18:00:00,Humid and Overcast,cloudy,0.4315,0.11,rain,30.16,38.27,26.41,0.8,1004.7,1.28,1.41,161,0.96,0,16.093,264.7
32,2020-09-09 19:00:00,Humid and Overcast,cloudy,0.4745,0.1,rain,29.16,36.42,26.4,0.85,1005.4,1.11,1.52,111,0.98,0,13.215,264.5
33,2020-09-09 20:00:00,Humid and Overcast,cloudy,0.5442,0.09,rain,28.04,33.76,25.93,0.88,1006.4,0.98,1.79,17,0.99,0,9.634,263.9
34,2020-09-09 21:00:00,Humid and Overcast,cloudy,0.5632,0.09,rain,27.22,31.58,25.31,0.89,1006.9,0.91,1.9,350,1.0,0,9.531,263.2
35,2020-09-09 22:00:00,Humid and Overcast,cloudy,0.4964,0.09,rain,26.93,30.63,24.86,0.89,1006.9,0.9,1.82,16,0.99,0,14.57,262.3
36,2020-09-09 23:00:00,Humid and Overcast,cloudy,0.3974,0.09,rain,26.8,30.1,24.55,0.88,1006.7,0.92,1.66,15,0.99,0,16.093,261.5
37,2020-09-10 00:00:00,Humid and Overcast,cloudy,0.2963,0.09,rain,26.54,29.2,24.13,0.87,1006.5,0.94,1.56,10,0.98,0,16.093,261.1
38,2020-09-10 01:00:00,Humid and Overcast,cloudy,0.1894,0.08,rain,26.18,28.28,23.51,0.85,1006.1,0.94,1.52,14,0.95,0,16.093,261.3
39,2020-09-10 02:00:00,Humid and Overcast,cloudy,0.1085,0.07,rain,25.72,27.15,22.8,0.84,1005.8,0.96,1.51,22,0.92,0,16.093,261.7
40,2020-09-10 03:00:00,Overcast,cloudy,0.0729,0.06,rain,25.19,25.89,22.21,0.84,1005.6,0.97,1.52,25,0.9,0,16.093,262.0
41,2020-09-10 04:00:00,Overcast,cloudy,0.0678,0.06,rain,24.59,25.32,21.86,0.85,1005.6,1.02,1.55,20,0.91,0,16.093,262.2
42,2020-09-10 05:00:00,Overcast,cloudy,0.0746,0.07,rain,23.98,24.7,21.6,0.87,1005.8,1.06,1.59,14,0.92,0,16.093,262.4
43,2020-09-10 06:00:00,Overcast,cloudy,0.0689,0.05,rain,23.94,24.62,21.52,0.86,1006.0,1.02,1.54,11,0.89,0,16.093,262.7
44,2020-09-10 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0383,0.04,rain,25.22,26.17,21.72,0.81,1006.2,0.84,1.34,10,0.81,0,16.093,262.9
45,2020-09-10 08:00:00,Mostly Cloudy,partly-cloudy-day,0.0155,0.02,rain,27.24,29.57,22.02,0.73,1006.2,0.66,1.13,12,0.71,2,16.093,263.0
46,2020-09-10 09:00:00,Mostly Cloudy,partly-cloudy-day,0.0093,0.02,rain,29.28,32.34,21.96,0.65,1006.0,0.66,1.1,41,0.64,4,16.093,262.8
47,2020-09-10 10:00:00,Mostly Cloudy,partly-cloudy-day,0.0126,0.02,rain,31.4,34.87,21.8,0.57,1005.7,0.88,1.27,103,0.62,6,16.093,262.3
48,2020-09-10 11:00:00,Mostly Cloudy,partly-cloudy-day,0.0253,0.03,rain,33.37,37.04,21.52,0.5,1005.1,1.2,1.55,164,0.62,7,16.093,261.7
