,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4711,0.09,rain,29.22,33.9,23.96,0.73,1008.2,1.2,1.59,6,0.43,8,16.093,269.2
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5469,0.1,rain,29.96,34.93,23.88,0.7,1007.9,1.39,1.71,291,0.4,9,16.093,268.1
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4581,0.11,rain,30.32,35.27,23.71,0.68,1007.3,1.5,2.18,261,0.38,8,16.093,267.7
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3435,0.11,rain,30.16,34.84,23.5,0.68,1006.6,1.56,2.79,281,0.38,7,16.093,267.4
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.274,0.11,rain,29.81,34.24,23.4,0.69,1006.0,1.52,3.0,303,0.4,5,16.093,267.5
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2256,0.11,rain,29.33,33.55,23.39,0.7,1005.4,1.34,2.6,33,0.43,2,16.093,268.0
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1936,0.09,rain,28.99,33.01,23.35,0.72,1004.9,1.12,2.02,102,0.47,1,16.093,268.6
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1621,0.07,rain,28.29,31.95,23.36,0.75,1005.0,0.96,1.7,177,0.52,0,16.093,269.2
8,2020-09-08 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0988,0.05,rain,27.27,30.13,23.07,0.78,1005.7,0.89,1.76,178,0.58,0,16.093,269.7
9,2020-09-08 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0519,0.03,rain,26.16,27.92,22.73,0.81,1006.7,0.86,1.93,157,0.65,0,16.093,270.3
10,2020-09-08 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0579,0.03,rain,25.47,26.18,22.66,0.85,1007.4,0.86,2.03,161,0.7,0,16.093,270.2
11,2020-09-08 22:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1404,0.04,rain,25.13,25.94,22.63,0.86,1007.6,0.91,2.0,129,0.72,0,16.093,269.5
12,2020-09-08 23:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.3041,0.05,rain,24.92,25.73,22.5,0.86,1007.7,1.0,1.94,91,0.75,0,15.028,268.5
13,2020-09-09 00:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4558,0.07,rain,24.8,25.6,22.45,0.87,1007.6,1.06,1.86,66,0.79,0,12.34,267.7
