,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Overcast,cloudy,0.6958,0.1,rain,26.46,30.02,26.23,0.99,1009.3,1.57,2.1,198,0.99,5,16.093,268.8
1,2020-09-08 12:00:00,Humid and Overcast,cloudy,0.8384,0.11,rain,26.86,31.68,26.01,0.95,1009.0,1.75,2.5,209,1.0,5,16.093,268.4
2,2020-09-08 13:00:00,Humid and Overcast,cloudy,0.7332,0.11,rain,27.09,32.21,26.16,0.95,1008.4,1.71,2.86,219,1.0,5,16.093,268.1
3,2020-09-08 14:00:00,Humid and Overcast,cloudy,0.6283,0.12,rain,26.99,32.58,26.68,0.98,1007.6,1.56,3.15,225,1.0,5,16.093,267.9
4,2020-09-08 15:00:00,Humid and Overcast,cloudy,0.5495,0.1,rain,26.75,32.14,26.75,1.0,1007.0,1.42,3.16,225,1.0,4,16.093,267.7
5,2020-09-08 16:00:00,Humid and Overcast,cloudy,0.3861,0.08,rain,26.58,30.79,26.58,1.0,1006.6,1.29,2.78,218,1.0,2,16.093,267.6
6,2020-09-08 17:00:00,Humid and Overcast,cloudy,0.2274,0.07,rain,26.46,30.49,26.46,1.0,1006.3,1.15,2.24,223,1.0,1,16.093,267.6
7,2020-09-08 18:00:00,Humid and Overcast,cloudy,0.1385,0.06,rain,25.99,28.58,25.99,1.0,1006.5,1.03,1.8,222,1.0,0,16.093,267.4
8,2020-09-08 19:00:00,Humid and Overcast,cloudy,0.0752,0.04,rain,25.41,26.7,25.41,1.0,1007.1,0.89,1.47,176,1.0,0,16.093,267.0
9,2020-09-08 20:00:00,Humid and Overcast,cloudy,0.0396,0.03,rain,24.97,26.25,24.97,1.0,1007.8,0.78,1.2,84,1.0,0,16.093,266.6
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.0288,0.02,rain,24.65,25.83,24.65,1.0,1008.3,0.75,1.08,62,1.0,0,16.093,266.4
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.0181,0.02,rain,24.45,25.55,24.37,1.0,1008.2,0.83,1.15,56,1.0,0,16.093,266.9
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.0126,0.03,rain,24.35,25.38,23.94,0.98,1008.1,0.96,1.32,57,1.0,0,16.093,267.4
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.0113,0.03,rain,24.14,25.14,23.62,0.97,1008.0,1.06,1.44,57,0.97,0,16.093,267.7
14,2020-09-09 01:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0067,0.02,rain,23.78,24.75,23.3,0.97,1007.9,1.1,1.48,54,0.85,0,16.093,267.5
15,2020-09-09 02:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0,0.0,,23.3,24.24,22.91,0.98,1007.6,1.13,1.51,50,0.7,0,16.093,267.3
16,2020-09-09 03:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0074,0.02,rain,22.75,23.66,22.57,0.99,1007.5,1.1,1.54,42,0.59,0,16.093,267.3
17,2020-09-09 04:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0227,0.04,rain,22.24,23.15,22.24,1.0,1007.7,1.0,1.59,29,0.54,0,16.093,267.9
18,2020-09-09 05:00:00,Partly Cloudy,partly-cloudy-night,0.0528,0.06,rain,21.94,22.86,21.94,1.0,1008.3,0.87,1.61,20,0.5,0,16.093,268.6
19,2020-09-09 06:00:00,Partly Cloudy,partly-cloudy-night,0.0731,0.07,rain,22.05,23.03,22.05,1.0,1008.5,0.77,1.51,35,0.44,0,16.093,268.9
20,2020-09-09 07:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0634,0.07,rain,22.84,23.87,22.84,1.0,1009.0,0.7,1.2,84,0.34,0,16.093,268.6
21,2020-09-09 08:00:00,Humid,clear-day,0.0447,0.06,rain,24.3,25.37,24.3,1.0,1009.5,0.66,0.89,147,0.23,2,16.093,268.1
22,2020-09-09 09:00:00,Humid,clear-day,0.0363,0.05,rain,25.58,27.01,24.96,0.96,1009.6,0.76,0.95,190,0.16,4,16.093,267.6
23,2020-09-09 10:00:00,Humid,clear-day,0.0421,0.04,rain,26.69,29.97,25.18,0.91,1009.3,1.08,1.43,203,0.12,7,16.093,267.0
24,2020-09-09 11:00:00,Humid,clear-day,0.059,0.04,rain,27.95,32.65,25.0,0.84,1008.9,1.46,2.15,206,0.09,10,16.093,266.3
25,2020-09-09 12:00:00,Humid,clear-day,0.0667,0.04,rain,28.89,33.81,24.45,0.77,1008.3,1.7,2.69,210,0.18,10,16.093,265.9
26,2020-09-09 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0628,0.04,rain,29.8,34.95,24.13,0.72,1007.4,1.78,3.01,218,0.41,8,16.093,265.9
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0843,0.03,rain,30.02,35.29,24.15,0.71,1006.6,1.79,3.24,226,0.7,6,16.093,266.0
28,2020-09-09 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1201,0.03,rain,29.79,35.09,24.29,0.72,1005.9,1.72,3.41,233,0.87,4,16.093,265.8
29,2020-09-09 16:00:00,Humid and Overcast,cloudy,0.1467,0.04,rain,29.35,34.97,24.83,0.77,1005.3,1.55,3.56,245,0.91,2,16.093,264.9
30,2020-09-09 17:00:00,Humid and Overcast,cloudy,0.1675,0.05,rain,28.92,34.55,25.15,0.8,1004.9,1.33,3.6,261,0.89,1,16.093,263.9
31,2020-09-09 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1617,0.05,rain,27.82,32.26,24.85,0.84,1004.9,1.22,3.3,237,0.77,0,16.093,263.2
32,2020-09-09 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.112,0.03,rain,26.52,29.21,24.21,0.87,1005.5,1.24,2.52,173,0.53,0,16.093,263.0
33,2020-09-09 20:00:00,Humid,clear-night,0.0594,0.02,rain,24.94,25.7,23.33,0.91,1006.3,1.3,1.64,83,0.24,0,16.093,263.0
34,2020-09-09 21:00:00,Humid,clear-night,0.0289,0.01,rain,23.91,24.76,22.48,0.92,1006.6,1.34,1.34,32,0.07,0,16.093,262.8
35,2020-09-09 22:00:00,Clear,clear-night,0.0124,0.01,rain,23.61,24.4,22.03,0.91,1006.3,1.35,1.41,26,0.06,0,16.093,262.3
36,2020-09-09 23:00:00,Clear,clear-night,0.0048,0.01,rain,23.59,24.36,21.89,0.9,1006.0,1.36,1.51,37,0.12,0,16.093,261.9
37,2020-09-10 00:00:00,Clear,clear-night,0.0,0.0,,23.51,24.27,21.78,0.9,1005.8,1.34,1.58,43,0.17,0,16.093,261.8
38,2020-09-10 01:00:00,Clear,clear-night,0.0,0.0,,23.28,24.01,21.52,0.9,1005.4,1.29,1.56,40,0.22,0,16.093,262.3
39,2020-09-10 02:00:00,Clear,clear-night,0.0,0.0,,22.95,23.63,21.09,0.89,1005.0,1.23,1.51,36,0.26,0,16.093,263.0
