,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Overcast,cloudy,2.5863,0.2,rain,27.39,32.73,26.04,0.92,1009.0,1.43,2.13,152,1.0,5,16.093,270.3
1,2020-09-08 12:00:00,Humid and Overcast,cloudy,2.9457,0.22,rain,27.86,33.15,25.69,0.88,1008.7,1.43,2.35,172,1.0,5,16.093,269.8
2,2020-09-08 13:00:00,Humid and Overcast,cloudy,2.0661,0.22,rain,28.43,34.21,25.73,0.85,1008.1,1.47,2.93,171,1.0,5,16.093,269.5
3,2020-09-08 14:00:00,Humid and Overcast,cloudy,1.0551,0.19,rain,28.72,35.04,25.97,0.85,1007.3,1.51,3.56,70,1.0,5,16.093,269.1
4,2020-09-08 15:00:00,Humid and Overcast,cloudy,0.5528,0.13,rain,28.86,35.75,26.32,0.86,1006.6,1.44,3.68,54,1.0,4,16.093,269.0
5,2020-09-08 16:00:00,Humid and Overcast,cloudy,0.3478,0.1,rain,28.97,36.79,26.92,0.89,1006.2,1.21,3.09,153,1.0,2,16.093,269.0
6,2020-09-08 17:00:00,Humid and Overcast,cloudy,0.2578,0.09,rain,28.81,36.74,27.11,0.91,1005.9,0.95,2.24,135,1.0,1,16.093,269.0
7,2020-09-08 18:00:00,Humid and Overcast,cloudy,0.2136,0.07,rain,28.09,34.94,26.82,0.93,1006.0,0.81,1.66,153,1.0,0,16.093,268.8
8,2020-09-08 19:00:00,Humid and Overcast,cloudy,0.1258,0.05,rain,27.41,33.08,26.38,0.94,1006.5,0.85,1.42,98,1.0,0,16.093,268.2
9,2020-09-08 20:00:00,Humid and Overcast,cloudy,0.0503,0.04,rain,26.79,31.19,25.9,0.95,1007.3,0.96,1.31,61,1.0,0,16.093,267.7
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.022,0.03,rain,26.39,29.25,25.29,0.94,1007.7,1.05,1.27,41,1.0,0,16.093,267.4
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.012,0.02,rain,26.24,28.77,24.86,0.92,1007.7,1.1,1.29,38,1.0,0,16.093,267.9
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.0074,0.02,rain,26.14,28.44,24.53,0.91,1007.7,1.14,1.35,42,1.0,0,16.093,268.4
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.0049,0.02,rain,26.0,28.05,24.27,0.9,1007.5,1.18,1.42,44,0.96,0,16.093,268.8
14,2020-09-09 01:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0,0.0,,25.73,27.3,24.0,0.9,1007.3,1.24,1.48,44,0.79,0,16.093,268.8
15,2020-09-09 02:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0,0.0,,25.35,26.24,23.66,0.9,1007.1,1.29,1.54,44,0.6,0,16.093,268.6
16,2020-09-09 03:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,,24.86,25.78,23.33,0.91,1006.7,1.28,1.55,42,0.48,0,16.093,268.6
17,2020-09-09 04:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,,24.34,25.25,23.1,0.93,1006.9,1.21,1.5,36,0.49,0,16.093,269.0
18,2020-09-09 05:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0226,0.03,rain,23.97,24.9,23.1,0.95,1007.1,1.11,1.43,33,0.53,0,16.093,269.5
19,2020-09-09 06:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0377,0.03,rain,24.13,25.08,23.49,0.96,1007.8,1.03,1.36,47,0.5,0,16.093,269.7
20,2020-09-09 07:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0364,0.04,rain,25.14,26.44,24.16,0.94,1008.2,0.94,1.24,79,0.39,0,16.093,269.5
21,2020-09-09 08:00:00,Humid,clear-day,0.0337,0.03,rain,26.62,29.59,24.75,0.9,1008.8,0.88,1.18,112,0.26,2,15.76,269.2
22,2020-09-09 09:00:00,Humid,clear-day,0.0504,0.04,rain,27.74,32.29,25.04,0.85,1009.0,0.93,1.38,137,0.17,4,14.472,268.7
23,2020-09-09 10:00:00,Humid,clear-day,0.1114,0.04,rain,28.87,34.44,25.13,0.8,1008.9,1.18,1.87,165,0.12,7,16.093,268.0
24,2020-09-09 11:00:00,Humid,clear-day,0.1988,0.06,rain,29.88,35.77,24.78,0.74,1008.4,1.47,2.53,180,0.12,9,16.093,267.2
25,2020-09-09 12:00:00,Humid,clear-day,0.2155,0.06,rain,30.86,36.72,24.33,0.68,1007.7,1.63,3.04,180,0.21,10,16.093,266.6
26,2020-09-09 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1172,0.05,rain,32.19,38.27,24.08,0.62,1006.8,1.66,3.35,186,0.44,8,16.093,266.5
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0391,0.03,rain,33.07,39.36,24.0,0.59,1005.8,1.63,3.59,290,0.72,6,16.093,266.3
