,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Overcast,cloudy,1.3602,0.16,rain,26.09,28.55,25.7,0.98,1009.3,1.53,2.12,197,1.0,5,16.093,269.2
1,2020-09-08 12:00:00,Humid and Overcast,cloudy,1.7369,0.18,rain,26.53,29.98,25.74,0.95,1009.0,1.68,2.65,214,1.0,5,14.882,268.7
2,2020-09-08 13:00:00,Humid and Overcast,cloudy,1.4465,0.18,rain,26.7,31.29,25.94,0.96,1008.4,1.61,3.08,224,1.0,5,15.585,268.4
3,2020-09-08 14:00:00,Humid and Overcast,cloudy,1.029,0.17,rain,26.64,31.34,26.52,0.99,1007.6,1.44,3.41,228,1.0,5,16.093,268.0
4,2020-09-08 15:00:00,Humid and Overcast,cloudy,0.7491,0.13,rain,26.47,30.11,26.47,1.0,1007.0,1.29,3.39,230,1.0,4,16.093,267.9
5,2020-09-08 16:00:00,Humid and Overcast,cloudy,0.4868,0.1,rain,26.4,30.19,26.4,1.0,1006.6,1.18,2.9,234,1.0,2,16.093,267.9
6,2020-09-08 17:00:00,Humid and Overcast,cloudy,0.2757,0.08,rain,26.3,29.84,26.3,1.0,1006.3,1.05,2.21,234,1.0,1,16.093,268.0
7,2020-09-08 18:00:00,Humid and Overcast,cloudy,0.1684,0.07,rain,25.96,28.47,25.96,1.0,1006.4,0.97,1.72,217,1.0,0,16.093,267.9
8,2020-09-08 19:00:00,Humid and Overcast,cloudy,0.0958,0.04,rain,25.36,26.63,25.36,1.0,1007.0,0.93,1.47,159,1.0,0,16.093,267.4
9,2020-09-08 20:00:00,Humid and Overcast,cloudy,0.0546,0.04,rain,24.68,25.91,24.68,1.0,1007.8,0.92,1.33,85,1.0,0,16.093,266.9
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.0413,0.03,rain,24.25,25.37,24.25,1.0,1008.3,0.94,1.27,42,1.0,0,16.093,266.7
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.0239,0.03,rain,24.16,25.21,23.94,0.99,1008.5,0.99,1.29,33,1.0,0,16.093,267.1
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.0128,0.02,rain,24.1,25.09,23.55,0.97,1008.1,1.06,1.37,41,1.0,0,16.093,267.5
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.0087,0.03,rain,23.92,24.88,23.24,0.96,1007.9,1.13,1.45,44,0.99,0,16.093,267.6
14,2020-09-09 01:00:00,Humid and Overcast,cloudy,0.004,0.02,rain,23.58,24.5,22.89,0.96,1007.7,1.18,1.51,41,0.93,0,16.093,267.5
15,2020-09-09 02:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0,0.0,,23.19,24.08,22.52,0.96,1007.5,1.22,1.56,38,0.86,0,16.093,267.2
16,2020-09-09 03:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0,0.0,,22.79,23.66,22.3,0.97,1007.3,1.22,1.61,34,0.79,0,16.093,267.3
17,2020-09-09 04:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0,0.0,,22.46,23.34,22.27,0.99,1007.4,1.18,1.7,25,0.74,0,16.093,267.8
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0065,0.01,rain,22.22,23.12,22.22,1.0,1007.4,1.1,1.75,21,0.68,0,16.093,268.5
19,2020-09-09 06:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0102,0.02,rain,22.35,23.28,22.35,1.0,1007.7,0.99,1.63,42,0.58,0,16.093,268.8
20,2020-09-09 07:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0109,0.04,rain,23.14,24.09,22.95,0.99,1008.2,0.83,1.19,95,0.4,0,16.093,268.6
21,2020-09-09 08:00:00,Humid,clear-day,0.0146,0.04,rain,24.54,25.45,23.5,0.94,1008.8,0.68,0.75,161,0.21,2,16.093,268.2
22,2020-09-09 09:00:00,Humid,clear-day,0.0229,0.04,rain,25.88,27.22,24.08,0.9,1009.3,0.73,0.79,205,0.09,4,15.697,267.8
23,2020-09-09 10:00:00,Humid,clear-day,0.035,0.04,rain,26.95,30.17,24.32,0.86,1009.3,1.07,1.36,216,0.03,7,16.093,267.1
24,2020-09-09 11:00:00,Humid,clear-day,0.0519,0.04,rain,28.03,32.19,24.27,0.8,1008.7,1.49,2.23,214,0.02,10,16.093,266.4
25,2020-09-09 12:00:00,Humid,clear-day,0.0647,0.04,rain,28.95,33.43,23.93,0.74,1008.2,1.75,2.84,216,0.12,11,16.093,266.0
26,2020-09-09 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0702,0.04,rain,30.2,34.8,23.39,0.67,1007.4,1.82,3.13,229,0.36,9,16.093,266.1
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0822,0.04,rain,30.89,35.53,23.19,0.64,1006.5,1.8,3.28,239,0.65,6,16.093,266.1
28,2020-09-09 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1044,0.04,rain,30.89,35.51,23.17,0.64,1005.7,1.72,3.4,232,0.83,4,16.093,265.9
29,2020-09-09 16:00:00,Humid and Overcast,cloudy,0.1472,0.05,rain,30.27,35.16,23.67,0.68,1005.2,1.56,3.56,221,0.89,2,16.093,264.9
30,2020-09-09 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.204,0.06,rain,29.5,34.57,24.23,0.73,1004.8,1.36,3.62,288,0.86,1,16.093,263.6
31,2020-09-09 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2132,0.06,rain,28.16,32.41,24.24,0.79,1004.8,1.27,3.38,241,0.76,0,16.093,262.9
32,2020-09-09 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1431,0.03,rain,26.69,29.24,23.71,0.84,1005.4,1.32,2.68,198,0.54,0,16.093,262.8
33,2020-09-09 20:00:00,Humid,clear-night,0.0644,0.03,rain,25.25,25.94,22.86,0.87,1006.2,1.42,1.87,50,0.28,0,16.093,263.0
34,2020-09-09 21:00:00,Clear,clear-night,0.0251,0.02,rain,24.39,25.17,22.17,0.87,1006.5,1.48,1.49,21,0.16,0,16.093,262.9
35,2020-09-09 22:00:00,Clear,clear-night,0.0103,0.02,rain,24.23,24.97,21.86,0.87,1006.2,1.48,1.54,21,0.21,0,16.093,262.3
36,2020-09-09 23:00:00,Partly Cloudy,partly-cloudy-night,0.0054,0.01,rain,24.18,24.91,21.76,0.86,1005.9,1.46,1.56,28,0.33,0,16.093,261.8
37,2020-09-10 00:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,23.96,24.68,21.64,0.87,1005.6,1.42,1.67,33,0.41,0,16.093,261.7
38,2020-09-10 01:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,23.54,24.24,21.38,0.88,1005.2,1.36,1.67,32,0.44,0,16.093,262.1
39,2020-09-10 02:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,23.21,23.88,21.1,0.88,1004.8,1.29,1.67,32,0.45,0,16.093,262.8
40,2020-09-10 03:00:00,Partly Cloudy,partly-cloudy-night,0.01,0.02,rain,22.94,23.6,20.95,0.89,1004.7,1.25,1.68,29,0.43,0,16.093,263.1
41,2020-09-10 04:00:00,Partly Cloudy,partly-cloudy-night,0.0205,0.02,rain,22.72,23.38,20.93,0.9,1004.9,1.26,1.73,25,0.37,0,16.093,263.0
42,2020-09-10 05:00:00,Clear,clear-night,0.0342,0.03,rain,22.47,23.15,20.94,0.91,1005.5,1.27,1.76,23,0.28,0,16.093,262.7
43,2020-09-10 06:00:00,Clear,clear-night,0.0397,0.03,rain,22.55,23.25,21.13,0.92,1005.7,1.15,1.63,37,0.2,0,16.093,262.4
44,2020-09-10 07:00:00,Clear,clear-day,0.0314,0.03,rain,23.37,24.11,21.57,0.9,1006.0,0.81,1.25,72,0.11,0,16.093,262.2
45,2020-09-10 08:00:00,Humid,clear-day,0.0198,0.02,rain,24.77,25.5,22.28,0.86,1006.1,0.47,0.85,119,0.04,2,16.093,262.0
46,2020-09-10 09:00:00,Humid,clear-day,0.0136,0.02,rain,26.17,27.41,23.03,0.83,1006.1,0.45,0.86,154,0.01,5,16.093,261.4
47,2020-09-10 10:00:00,Humid,clear-day,0.0135,0.02,rain,27.55,30.85,23.45,0.78,1005.8,0.87,1.41,182,0.04,8,16.093,260.6
48,2020-09-10 11:00:00,Humid,clear-day,0.0172,0.02,rain,28.78,32.82,23.52,0.73,1005.4,1.44,2.17,205,0.11,10,16.093,259.6
