,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Overcast,cloudy,0.6693,0.12,rain,26.04,28.86,26.04,1.0,1009.3,1.37,1.92,209,0.99,5,16.093,268.9
1,2020-09-08 12:00:00,Humid and Overcast,cloudy,0.6899,0.13,rain,26.46,30.71,26.46,1.0,1009.0,1.56,2.26,214,0.99,5,16.093,268.4
2,2020-09-08 13:00:00,Humid and Overcast,cloudy,0.5545,0.12,rain,27.02,33.52,27.02,1.0,1008.4,1.56,2.61,225,0.99,5,16.093,268.2
3,2020-09-08 14:00:00,Humid and Overcast,cloudy,0.4482,0.11,rain,27.31,34.09,27.31,1.0,1007.6,1.48,2.9,234,1.0,5,16.093,268.0
4,2020-09-08 15:00:00,Humid and Overcast,cloudy,0.3837,0.1,rain,27.31,34.14,27.31,1.0,1007.0,1.38,2.94,229,1.0,4,16.093,267.8
5,2020-09-08 16:00:00,Humid and Overcast,cloudy,0.2555,0.08,rain,27.1,34.2,27.1,1.0,1006.6,1.27,2.63,222,1.0,2,16.093,267.6
6,2020-09-08 17:00:00,Humid and Overcast,cloudy,0.129,0.08,rain,26.89,33.61,26.89,1.0,1006.4,1.14,2.18,247,1.0,1,16.093,267.5
7,2020-09-08 18:00:00,Humid and Overcast,cloudy,0.0667,0.07,rain,26.31,29.92,26.31,1.0,1006.5,1.0,1.79,225,1.0,0,16.093,267.3
8,2020-09-08 19:00:00,Humid and Overcast,cloudy,0.0394,0.04,rain,25.7,27.8,25.7,1.0,1007.0,0.84,1.47,179,1.0,0,16.093,266.9
9,2020-09-08 20:00:00,Humid and Overcast,cloudy,0.0272,0.03,rain,25.0,26.32,25.0,1.0,1007.8,0.69,1.19,86,1.0,0,16.093,266.6
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.0219,0.03,rain,24.59,25.85,24.59,1.0,1008.1,0.65,1.09,69,1.0,0,16.093,266.6
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.0174,0.03,rain,24.46,25.64,24.46,1.0,1008.3,0.77,1.2,65,1.0,0,16.093,267.0
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.0166,0.03,rain,24.4,25.52,24.4,1.0,1008.4,0.94,1.42,65,1.0,0,16.093,267.6
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.0153,0.03,rain,24.19,25.29,24.19,1.0,1008.2,1.05,1.56,64,0.96,0,16.093,267.9
14,2020-09-09 01:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0083,0.02,rain,23.82,24.89,23.82,1.0,1007.9,1.06,1.59,61,0.81,0,16.093,267.7
15,2020-09-09 02:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0,0.0,,23.32,24.35,23.32,1.0,1007.6,1.04,1.59,56,0.62,0,16.093,267.4
16,2020-09-09 03:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0081,0.02,rain,22.79,23.8,22.79,1.0,1007.5,1.0,1.6,47,0.49,0,16.093,267.5
17,2020-09-09 04:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0264,0.05,rain,22.43,23.45,22.43,1.0,1007.9,0.91,1.64,30,0.42,0,16.093,268.1
18,2020-09-09 05:00:00,Partly Cloudy,partly-cloudy-night,0.0647,0.08,rain,22.12,23.15,22.12,1.0,1008.4,0.8,1.66,15,0.39,0,16.093,268.9
19,2020-09-09 06:00:00,Partly Cloudy,partly-cloudy-night,0.0916,0.09,rain,22.14,23.21,22.14,1.0,1008.6,0.71,1.53,27,0.37,0,16.093,269.2
20,2020-09-09 07:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0807,0.08,rain,22.65,23.75,22.65,1.0,1009.1,0.65,1.17,76,0.36,0,16.093,268.9
21,2020-09-09 08:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0576,0.07,rain,23.94,25.08,23.94,1.0,1009.5,0.62,0.81,140,0.37,2,16.093,268.4
22,2020-09-09 09:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0433,0.06,rain,25.3,26.72,25.3,1.0,1009.6,0.73,0.85,186,0.36,4,16.093,267.8
23,2020-09-09 10:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.038,0.05,rain,26.45,29.53,25.55,0.95,1009.4,1.05,1.29,200,0.32,6,16.093,267.2
24,2020-09-09 11:00:00,Humid,clear-day,0.0382,0.05,rain,27.79,32.96,25.56,0.88,1008.9,1.44,2.01,204,0.27,9,16.093,266.5
25,2020-09-09 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0337,0.04,rain,28.95,34.8,25.36,0.81,1008.2,1.7,2.58,207,0.32,9,16.093,266.1
