,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Clear,clear-day,0.0515,0.04,rain,21.56,23.14,21.56,1,1010.5,1.61,1.9,238,0.02,10,16.093,260.0
1,2020-09-08 12:00:00,Humid,clear-day,0.1126,0.05,rain,22.73,24.33,22.73,1,1010.0,1.76,2.14,238,0.11,11,15.167,259.5
2,2020-09-08 13:00:00,Humid,clear-day,0.2064,0.07,rain,23.17,24.89,23.17,1,1009.4,1.7,2.05,243,0.29,10,16.093,260.0
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3228,0.08,rain,22.69,24.66,22.69,1,1008.6,1.56,1.87,249,0.51,7,16.093,260.7
4,2020-09-08 15:00:00,Mostly Cloudy,partly-cloudy-day,0.3829,0.1,rain,21.73,24.01,21.73,1,1008.1,1.39,1.64,256,0.64,5,16.093,261.4
5,2020-09-08 16:00:00,Mostly Cloudy,partly-cloudy-day,0.3441,0.09,rain,20.66,23.26,20.66,1,1008.0,1.19,1.36,266,0.66,3,11.416,262.0
6,2020-09-08 17:00:00,Mostly Cloudy,partly-cloudy-day,0.264,0.08,rain,19.73,22.42,19.73,1,1008.1,0.97,1.13,275,0.63,1,3.811,262.5
7,2020-09-08 18:00:00,Foggy,fog,0.1837,0.07,rain,18.7,21.33,18.7,1,1008.4,0.85,1.08,262,0.57,0,2.077,262.8
8,2020-09-08 19:00:00,Partly Cloudy,partly-cloudy-night,0.1076,0.06,rain,17.82,20.33,17.82,1,1009.3,0.83,1.18,112,0.46,0,8.785,262.6
9,2020-09-08 20:00:00,Partly Cloudy,partly-cloudy-night,0.0478,0.04,rain,16.87,19.12,16.87,1,1010.2,0.86,1.31,75,0.34,0,16.093,262.0
10,2020-09-08 21:00:00,Clear,clear-night,0.0193,0.02,rain,16.1,18.04,16.1,1,1011.1,0.89,1.37,41,0.25,0,16.093,261.6
11,2020-09-08 22:00:00,Clear,clear-night,0.0102,0.02,rain,15.65,17.25,15.65,1,1011.3,0.93,1.34,37,0.21,0,16.093,261.3
12,2020-09-08 23:00:00,Clear,clear-night,0.0064,0.01,rain,15.49,16.76,15.49,1,1011.2,0.98,1.28,46,0.19,0,16.093,261.0
13,2020-09-09 00:00:00,Clear,clear-night,0.0,0.0,,15.31,16.34,15.31,1,1011.3,1.02,1.31,51,0.19,0,16.093,261.0
14,2020-09-09 01:00:00,Clear,clear-night,0.0,0.0,,15.15,15.99,15.15,1,1011.2,1.06,1.42,52,0.21,0,16.093,261.3
15,2020-09-09 02:00:00,Clear,clear-night,0.0,0.0,,15.09,15.79,15.09,1,1010.5,1.11,1.56,53,0.24,0,16.093,261.9
16,2020-09-09 03:00:00,Clear,clear-night,0.0,0.0,,15.36,15.92,15.36,1,1010.5,1.14,1.67,52,0.28,0,16.093,262.6
17,2020-09-09 04:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,15.38,15.83,15.38,1,1011.2,1.19,1.74,48,0.33,0,16.093,263.5
18,2020-09-09 05:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,15.26,15.67,15.26,1,1011.5,1.23,1.77,46,0.38,0,16.093,264.7
19,2020-09-09 06:00:00,Partly Cloudy,partly-cloudy-night,0.0073,0.02,rain,15.28,15.8,15.28,1,1011.6,1.21,1.69,60,0.38,0,16.093,265.6
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.0055,0.01,rain,16.08,16.84,16.08,1,1011.7,1.1,1.43,94,0.33,0,16.093,266.5
21,2020-09-09 08:00:00,Clear,clear-day,0.0,0.0,,17.25,18.26,17.25,1,1011.7,0.98,1.15,131,0.25,2,16.093,267.1
22,2020-09-09 09:00:00,Clear,clear-day,0.0,0.0,,18.7,19.89,18.7,1,1011.6,1.03,1.13,239,0.21,4,16.093,267.0
23,2020-09-09 10:00:00,Clear,clear-day,0.0,0.0,,19.94,21.26,19.94,1,1010.9,1.33,1.55,233,0.21,7,16.093,265.9
24,2020-09-09 11:00:00,Clear,clear-day,0.0305,0.02,rain,21.48,22.83,21.48,1,1010.5,1.68,2.15,234,0.22,9,16.093,264.6
25,2020-09-09 12:00:00,Humid,clear-day,0.0739,0.03,rain,22.43,23.86,22.43,1,1009.7,1.84,2.42,236,0.28,10,16.093,263.4
26,2020-09-09 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1478,0.04,rain,22.67,24.22,22.67,1,1008.9,1.77,2.26,242,0.41,9,15.797,262.4
27,2020-09-09 14:00:00,Partly Cloudy,partly-cloudy-day,0.2418,0.05,rain,22.01,23.81,22.01,1,1008.0,1.58,1.93,247,0.55,7,15.514,261.5
