,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:15:00,Humid,clear-day,0.0958,0.04,rain,25.67,28.06,25.67,1,1010.4,1.53,1.7,218,0.03,10,16.093,262.9
1,2020-09-08 12:15:00,Humid,clear-day,0.174,0.04,rain,26.97,32.44,26.97,1,1010.0,1.71,1.94,218,0.06,11,16.093,262.5
2,2020-09-08 13:15:00,Humid,clear-day,0.2583,0.05,rain,27.68,35.43,27.68,1,1009.2,1.75,1.97,217,0.11,10,16.093,262.5
3,2020-09-08 14:15:00,Humid,clear-day,0.3353,0.06,rain,27.59,36.05,27.59,1,1008.5,1.7,1.92,214,0.17,8,16.093,262.6
4,2020-09-08 15:15:00,Humid,clear-day,0.3795,0.08,rain,26.92,34.21,26.92,1,1008.0,1.54,1.76,215,0.23,5,15.865,263.2
5,2020-09-08 16:15:00,Humid,clear-day,0.3899,0.09,rain,25.95,28.59,25.95,1,1007.8,1.27,1.52,219,0.3,2,13.705,264.3
6,2020-09-08 17:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.3693,0.09,rain,24.88,24.46,24.88,1,1007.9,0.98,1.28,218,0.36,1,12.212,265.2
7,2020-09-08 18:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.2971,0.07,rain,23.63,24.85,23.63,1,1008.4,0.77,1.13,193,0.37,0,13.619,265.5
8,2020-09-08 19:15:00,Partly Cloudy,partly-cloudy-night,0.1859,0.06,rain,22.05,24.59,22.05,1,1009.2,0.63,1.07,147,0.34,0,16.093,265.1
9,2020-09-08 20:15:00,Clear,clear-night,0.0939,0.04,rain,20.58,22.82,20.58,1,1010.0,0.53,1.05,99,0.3,0,16.093,264.5
10,2020-09-08 21:15:00,Clear,clear-night,0.0477,0.04,rain,19.72,21.75,19.72,1,1010.5,0.52,1.06,71,0.25,0,16.093,263.9
11,2020-09-08 22:15:00,Clear,clear-night,0.0358,0.04,rain,19.54,21.35,19.54,1,1010.8,0.59,1.08,65,0.21,0,16.093,263.3
12,2020-09-08 23:15:00,Clear,clear-night,0.0481,0.05,rain,19.52,21.1,19.52,1,1011.0,0.68,1.13,62,0.17,0,16.093,262.8
13,2020-09-09 00:15:00,Clear,clear-night,0.0949,0.05,rain,19.36,20.75,19.36,1,1011.2,0.72,1.18,54,0.13,0,16.093,262.8
14,2020-09-09 01:15:00,Clear,clear-night,0.1934,0.05,rain,19.12,20.41,19.12,1,1011.4,0.72,1.22,43,0.1,0,16.093,263.3
15,2020-09-09 02:15:00,Clear,clear-night,0.2873,0.05,rain,19.05,20.26,19.05,1,1011.4,0.72,1.26,34,0.07,0,16.093,264.0
16,2020-09-09 03:15:00,Clear,clear-night,0.243,0.04,rain,19.09,20.22,19.09,1,1011.4,0.73,1.32,29,0.07,0,16.093,264.7
17,2020-09-09 04:15:00,Clear,clear-night,0.0981,0.04,rain,19.0,20.04,19.0,1,1011.4,0.77,1.4,26,0.07,0,16.093,265.6
18,2020-09-09 05:15:00,Clear,clear-night,0.0184,0.03,rain,18.75,19.76,18.75,1,1011.1,0.81,1.44,33,0.08,0,16.093,266.5
19,2020-09-09 06:15:00,Clear,clear-day,0.0073,0.03,rain,18.81,19.89,18.81,1,1011.0,0.79,1.29,66,0.08,0,16.093,267.4
20,2020-09-09 07:15:00,Clear,clear-day,0.0031,0.01,rain,19.67,20.88,19.67,1,1011.4,0.71,0.97,122,0.07,1,16.093,268.2
21,2020-09-09 08:15:00,Clear,clear-day,0.0,0.0,,21.03,22.36,21.03,1,1011.6,0.69,0.74,181,0.06,2,16.093,268.7
22,2020-09-09 09:15:00,Humid,clear-day,0.0029,0.01,rain,22.31,23.72,22.31,1,1011.3,0.86,0.87,216,0.05,5,16.093,268.4
