,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid,clear-day,0.1918,0.04,rain,28.99,33.39,23.78,0.74,1009.9,1.25,1.5,234,0.29,9,16.093,266.4
1,2020-09-08 12:00:00,Humid,clear-day,0.306,0.05,rain,29.85,34.66,23.78,0.7,1009.4,1.47,1.81,244,0.29,10,15.163,265.6
2,2020-09-08 13:00:00,Humid,clear-day,0.3997,0.06,rain,29.98,35.12,24.05,0.71,1008.7,1.52,1.96,249,0.29,9,12.87,265.4
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4837,0.06,rain,29.4,34.76,24.57,0.75,1008.0,1.47,2.02,248,0.31,7,10.717,265.3
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5209,0.07,rain,28.62,34.01,25.14,0.81,1007.5,1.36,1.98,248,0.34,5,9.767,265.6
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4885,0.07,rain,28.16,34.18,26.11,0.89,1007.1,1.15,1.81,252,0.38,2,10.304,266.0
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4371,0.07,rain,27.98,34.51,26.63,0.92,1006.8,0.9,1.58,252,0.42,1,11.685,266.6
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4228,0.07,rain,27.08,32.15,26.3,0.95,1007.1,0.73,1.46,241,0.48,0,13.504,266.9
8,2020-09-08 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.4498,0.07,rain,26.25,28.97,25.57,0.96,1008.0,0.67,1.46,186,0.57,0,15.924,267.2
9,2020-09-08 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4752,0.06,rain,25.36,26.61,24.68,0.96,1009.1,0.65,1.51,88,0.66,0,16.093,267.3
