,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2355,0.05,rain,26.92,30.56,25.37,0.91,1009.7,0.91,1.23,244,0.46,8,11.065,265.8
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4098,0.06,rain,28.13,33.02,25.05,0.83,1009.2,1.15,1.55,274,0.48,9,8.902,264.9
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5452,0.07,rain,28.71,34.34,25.32,0.82,1008.5,1.33,1.74,272,0.48,8,11.011,264.4
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6469,0.08,rain,28.64,34.62,25.72,0.84,1007.7,1.47,1.88,273,0.49,7,14.813,264.1
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6589,0.08,rain,27.94,33.87,26.17,0.9,1007.2,1.47,1.96,267,0.52,5,16.093,264.3
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.546,0.08,rain,27.09,32.47,26.69,0.98,1006.8,1.3,1.97,248,0.56,2,16.093,265.0
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4,0.07,rain,26.19,29.1,26.19,1.0,1006.7,1.04,1.93,294,0.61,1,16.093,266.0
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3123,0.07,rain,25.08,25.93,25.08,1.0,1006.9,0.85,1.85,279,0.66,0,16.093,266.8
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.28,0.06,rain,24.0,25.25,24.0,1.0,1007.8,0.74,1.69,337,0.71,0,16.093,267.0
9,2020-09-08 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.2707,0.05,rain,23.09,24.24,23.09,1.0,1009.0,0.67,1.51,81,0.77,0,15.085,266.9
10,2020-09-08 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.258,0.06,rain,22.4,23.49,22.4,1.0,1009.7,0.65,1.42,129,0.81,0,13.372,266.7
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.2282,0.07,rain,22.03,23.05,22.03,1.0,1010.0,0.69,1.45,143,0.84,0,15.611,266.3
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.2144,0.08,rain,21.92,22.91,21.92,1.0,1010.0,0.74,1.54,146,0.86,0,16.093,265.7
13,2020-09-09 00:00:00,Overcast,cloudy,0.2077,0.09,rain,21.83,22.79,21.83,1.0,1010.0,0.75,1.55,145,0.88,0,16.093,264.9
14,2020-09-09 01:00:00,Overcast,cloudy,0.1832,0.08,rain,21.71,22.65,21.71,1.0,1009.9,0.71,1.47,139,0.9,0,16.093,263.8
15,2020-09-09 02:00:00,Overcast,cloudy,0.1727,0.07,rain,21.46,22.37,21.46,1.0,1009.7,0.64,1.37,130,0.92,0,16.093,262.6
16,2020-09-09 03:00:00,Overcast,cloudy,0.1984,0.07,rain,20.99,21.85,20.99,1.0,1009.6,0.61,1.31,123,0.93,0,16.093,262.3
17,2020-09-09 04:00:00,Overcast,cloudy,0.2648,0.09,rain,20.46,21.27,20.46,1.0,1009.6,0.63,1.29,126,0.91,0,16.093,263.0
18,2020-09-09 05:00:00,Overcast,cloudy,0.3659,0.12,rain,20.03,20.82,20.03,1.0,1009.8,0.66,1.27,126,0.88,0,16.093,264.2
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.4293,0.13,rain,19.79,20.6,19.79,1.0,1010.0,0.65,1.2,113,0.78,0,16.093,264.9
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.414,0.11,rain,20.66,21.54,20.66,1.0,1010.4,0.56,1.03,80,0.58,1,16.093,265.2
21,2020-09-09 08:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.367,0.09,rain,22.29,23.29,22.29,1.0,1010.8,0.46,0.87,41,0.36,2,16.093,265.2
22,2020-09-09 09:00:00,Humid,clear-day,0.3184,0.08,rain,23.69,24.78,23.69,1.0,1010.8,0.48,0.92,21,0.23,5,13.201,264.7
23,2020-09-09 10:00:00,Humid,clear-day,0.2835,0.07,rain,24.82,25.97,24.73,0.99,1010.3,0.67,1.27,45,0.21,8,10.391,263.3
24,2020-09-09 11:00:00,Humid,clear-day,0.2996,0.06,rain,25.89,27.78,24.92,0.94,1009.6,0.91,1.72,28,0.26,9,8.073,261.8
25,2020-09-09 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3803,0.06,rain,27.18,31.05,24.72,0.86,1008.8,1.04,1.98,289,0.38,9,7.056,260.7
26,2020-09-09 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5325,0.07,rain,28.06,32.81,25.02,0.84,1007.8,1.03,2.0,282,0.6,8,7.52,260.4
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7129,0.08,rain,28.36,33.69,25.32,0.84,1006.8,0.96,1.93,269,0.85,5,9.05,260.4
28,2020-09-09 15:00:00,Humid and Overcast,cloudy,0.7555,0.08,rain,27.86,33.24,25.75,0.88,1006.0,0.91,1.91,256,1.0,4,11.656,260.4
29,2020-09-09 16:00:00,Humid and Overcast,cloudy,0.5751,0.07,rain,27.17,32.39,26.44,0.96,1005.5,0.91,1.99,246,1.0,2,15.975,260.6
