,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3085,0.08,rain,27.83,34.01,26.38,0.92,1009.7,1.27,1.76,198,0.64,7,12.413,264.8
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4452,0.1,rain,28.81,35.93,26.53,0.88,1009.1,1.52,2.13,206,0.57,8,11.347,264.5
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5997,0.11,rain,29.28,37.26,26.84,0.87,1008.4,1.71,2.45,208,0.54,8,12.818,265.3
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7519,0.13,rain,29.23,38.07,27.46,0.9,1007.6,1.84,2.7,204,0.53,6,15.257,266.4
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8091,0.13,rain,28.72,38.34,28.26,0.97,1007.1,1.84,2.82,202,0.55,4,16.093,267.2
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7301,0.14,rain,28.21,38.79,28.21,1.0,1006.9,1.65,2.75,207,0.6,2,16.093,267.6
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6076,0.16,rain,27.3,35.92,27.3,1.0,1006.9,1.38,2.58,210,0.67,0,16.093,267.6
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5229,0.15,rain,26.27,30.11,26.27,1.0,1007.3,1.14,2.35,195,0.74,0,16.093,267.5
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4707,0.15,rain,25.38,26.74,25.38,1.0,1008.3,0.92,2.06,152,0.79,0,16.011,266.9
9,2020-09-08 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.428,0.13,rain,24.62,26.1,24.62,1.0,1009.4,0.72,1.74,87,0.85,0,14.607,266.1
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.3973,0.12,rain,24.15,25.56,24.15,1.0,1010.1,0.59,1.47,0,0.89,0,13.913,265.2
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.3866,0.13,rain,23.91,25.26,23.91,1.0,1010.3,0.52,1.29,315,0.91,0,14.047,263.9
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.3809,0.15,rain,23.73,25.0,23.73,1.0,1010.2,0.5,1.15,358,0.93,0,14.744,262.7
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.3343,0.14,rain,23.51,24.71,23.51,1.0,1010.1,0.49,1.03,29,0.95,0,16.093,262.0
14,2020-09-09 01:00:00,Humid and Overcast,cloudy,0.2314,0.12,rain,23.28,24.43,23.28,1.0,1009.8,0.49,0.95,38,0.98,0,16.093,262.2
15,2020-09-09 02:00:00,Humid and Overcast,cloudy,0.1402,0.1,rain,23.0,24.1,23.0,1.0,1009.4,0.5,0.9,43,1.0,0,16.093,262.8
16,2020-09-09 03:00:00,Humid and Overcast,cloudy,0.0942,0.09,rain,22.61,23.66,22.61,1.0,1009.1,0.52,0.89,38,0.99,0,16.093,263.3
17,2020-09-09 04:00:00,Overcast,cloudy,0.0702,0.09,rain,21.86,22.85,21.86,1.0,1009.2,0.55,0.95,28,0.95,0,16.093,264.0
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0565,0.08,rain,21.14,22.11,21.14,1.0,1009.4,0.58,1.03,23,0.87,0,16.093,264.6
