,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid,clear-day,0.0877,0.07,rain,29.24,35.71,25.69,0.81,1008.9,1.38,1.86,163,0.19,9,16.093,268.0
1,2020-09-08 12:00:00,Humid,clear-day,0.1184,0.07,rain,30.13,37.33,25.75,0.77,1008.5,1.49,1.71,186,0.24,10,16.093,267.1
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1813,0.09,rain,30.43,38.05,25.91,0.77,1007.9,1.42,1.77,215,0.31,9,16.093,267.1
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2828,0.12,rain,30.16,37.94,26.18,0.79,1007.2,1.27,1.88,240,0.4,7,16.093,267.5
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3756,0.16,rain,29.56,37.31,26.5,0.84,1006.6,1.14,1.95,228,0.46,4,16.093,268.0
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4297,0.2,rain,28.72,35.99,26.7,0.89,1006.2,1.04,1.96,170,0.48,2,16.093,268.7
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4692,0.22,rain,28.02,34.57,26.63,0.92,1006.0,0.97,1.96,90,0.49,1,16.093,269.5
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4817,0.23,rain,27.32,32.94,26.39,0.95,1006.1,1.0,2.0,43,0.54,0,16.093,269.8
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.472,0.19,rain,26.68,30.86,25.78,0.95,1006.9,1.21,2.11,47,0.63,0,16.093,269.5
9,2020-09-08 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4557,0.12,rain,26.21,28.74,25.14,0.94,1007.8,1.46,2.22,63,0.74,0,16.093,268.9
10,2020-09-08 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.37,0.08,rain,25.94,27.97,24.68,0.93,1008.3,1.53,2.2,72,0.82,0,16.093,268.2
11,2020-09-08 22:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1905,0.07,rain,25.77,27.51,24.33,0.92,1008.5,1.34,1.99,66,0.86,0,16.093,267.5
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.0569,0.06,rain,25.67,27.12,24.07,0.91,1008.4,1.06,1.73,57,0.88,0,16.093,266.7
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.0239,0.06,rain,25.6,26.54,23.94,0.91,1008.1,0.9,1.53,47,0.91,0,16.093,266.0
14,2020-09-09 01:00:00,Humid and Overcast,cloudy,0.0255,0.06,rain,25.47,26.44,23.86,0.91,1007.8,0.9,1.43,35,0.95,0,16.093,265.3
15,2020-09-09 02:00:00,Humid and Overcast,cloudy,0.0326,0.06,rain,25.34,26.31,23.82,0.91,1007.7,0.95,1.35,23,0.98,0,16.093,264.7
