,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.016,0.06,rain,29.37,35.54,25.33,0.79,1008.3,1.78,2.09,123,0.39,8,16.093,268.4
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0232,0.06,rain,30.15,36.92,25.4,0.76,1008.0,1.63,1.67,146,0.41,9,16.093,267.7
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0473,0.08,rain,30.75,37.9,25.41,0.73,1007.3,1.48,1.8,176,0.47,8,16.093,268.2
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1125,0.12,rain,31.0,38.33,25.44,0.72,1006.5,1.35,2.13,201,0.55,6,14.239,269.1
4,2020-09-08 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1898,0.14,rain,30.82,38.21,25.57,0.74,1006.0,1.28,2.28,195,0.59,4,10.58,269.9
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2461,0.15,rain,30.14,37.43,25.81,0.78,1005.6,1.27,2.16,142,0.58,2,8.371,270.3
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3057,0.15,rain,29.19,35.84,25.89,0.82,1005.5,1.31,1.98,70,0.55,1,7.375,270.6
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3731,0.16,rain,28.3,34.15,25.86,0.87,1005.7,1.41,1.96,33,0.59,0,8.961,270.5
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4815,0.15,rain,27.71,32.78,25.59,0.88,1006.4,1.63,2.14,39,0.71,0,14.199,269.8
9,2020-09-08 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.5957,0.11,rain,27.18,31.4,25.18,0.89,1007.3,1.85,2.39,59,0.86,0,16.093,268.8
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.5388,0.09,rain,26.8,30.32,24.84,0.89,1007.8,1.91,2.53,75,0.95,0,16.093,267.9
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.2497,0.06,rain,26.55,29.37,24.56,0.89,1008.0,1.76,2.52,83,0.96,0,16.093,267.1
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.0362,0.04,rain,26.4,29.0,24.36,0.89,1007.8,1.52,2.46,90,0.97,0,16.093,266.4
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.0007,0.01,rain,26.34,28.82,24.27,0.88,1007.4,1.37,2.36,91,0.97,0,16.093,265.7
14,2020-09-09 01:00:00,Humid and Overcast,cloudy,0.0059,0.01,rain,26.19,28.46,24.19,0.89,1007.1,1.31,2.24,84,0.98,0,16.093,265.0
15,2020-09-09 02:00:00,Humid and Overcast,cloudy,0.0083,0.01,rain,26.04,28.13,24.15,0.89,1006.8,1.29,2.09,74,0.99,0,16.093,264.4
16,2020-09-09 03:00:00,Humid and Overcast,cloudy,0.01,0.02,rain,25.77,27.37,24.04,0.9,1006.7,1.26,1.95,69,1.0,0,16.093,264.5
17,2020-09-09 04:00:00,Humid and Overcast,cloudy,0.0142,0.06,rain,25.54,26.48,24.03,0.91,1006.8,1.22,1.8,73,1.0,0,16.093,265.2
18,2020-09-09 05:00:00,Humid and Overcast,cloudy,0.0287,0.09,rain,25.41,26.4,24.13,0.93,1007.1,1.19,1.67,81,1.0,0,16.093,266.3
19,2020-09-09 06:00:00,Humid and Overcast,cloudy,0.0494,0.1,rain,25.57,26.78,24.26,0.92,1007.5,1.28,1.68,86,1.0,0,16.093,266.8
20,2020-09-09 07:00:00,Humid and Overcast,cloudy,0.0843,0.1,rain,26.22,28.8,24.8,0.92,1008.0,1.52,1.88,90,1.0,1,16.093,267.0
21,2020-09-09 08:00:00,Humid and Overcast,cloudy,0.1547,0.09,rain,27.19,31.42,25.16,0.89,1008.5,1.81,2.16,91,1.0,2,16.093,266.9
22,2020-09-09 09:00:00,Humid and Overcast,cloudy,0.2416,0.1,rain,28.13,33.29,25.36,0.85,1008.7,2.03,2.38,105,1.0,3,16.093,266.5
23,2020-09-09 10:00:00,Humid and Overcast,cloudy,0.3508,0.12,rain,29.09,35.2,25.48,0.81,1008.4,2.16,2.46,142,0.97,5,16.093,265.9
24,2020-09-09 11:00:00,Humid and Overcast,cloudy,0.4746,0.14,rain,29.86,36.27,25.26,0.76,1007.9,2.27,2.56,177,0.94,5,16.093,265.0
25,2020-09-09 12:00:00,Humid and Overcast,cloudy,0.4613,0.16,rain,30.69,37.46,25.15,0.72,1007.3,2.42,2.94,175,0.9,6,16.093,264.0
26,2020-09-09 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2479,0.12,rain,31.54,38.78,25.18,0.69,1006.3,2.68,3.8,135,0.85,6,16.093,263.0
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0895,0.08,rain,32.1,39.68,25.24,0.67,1005.3,2.91,4.71,105,0.8,5,16.093,262.1
28,2020-09-09 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0683,0.02,rain,32.12,39.78,25.3,0.67,1004.5,2.86,5.04,152,0.74,4,16.093,261.5
29,2020-09-09 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0805,0.04,rain,31.59,39.25,25.47,0.7,1003.9,2.44,4.53,113,0.64,2,16.093,261.3
30,2020-09-09 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.119,0.08,rain,30.74,37.9,25.42,0.73,1003.6,1.9,3.7,58,0.55,1,15.84,261.3
31,2020-09-09 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1607,0.09,rain,29.72,36.06,25.26,0.77,1003.7,1.54,3.08,39,0.55,0,14.27,261.2
32,2020-09-09 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1713,0.1,rain,28.6,33.65,24.8,0.8,1004.4,1.43,2.78,49,0.69,0,16.093,261.2
33,2020-09-09 20:00:00,Humid and Overcast,cloudy,0.1949,0.11,rain,27.55,31.39,24.39,0.83,1005.4,1.43,2.56,63,0.88,0,16.093,261.2
34,2020-09-09 21:00:00,Humid and Overcast,cloudy,0.2353,0.1,rain,26.87,29.89,24.11,0.85,1005.9,1.48,2.35,71,0.99,0,16.093,260.5
35,2020-09-09 22:00:00,Humid and Overcast,cloudy,0.2721,0.1,rain,26.5,29.03,23.83,0.85,1005.9,1.62,2.13,72,0.98,0,16.093,259.1
36,2020-09-09 23:00:00,Humid and Overcast,cloudy,0.3088,0.14,rain,26.34,28.67,23.76,0.86,1005.5,1.77,1.95,70,0.99,0,16.093,257.4
37,2020-09-10 00:00:00,Humid and Overcast,cloudy,0.3544,0.16,rain,26.19,28.35,23.72,0.86,1005.2,1.84,1.87,70,0.99,0,16.093,256.8
38,2020-09-10 01:00:00,Humid and Overcast,cloudy,0.4216,0.21,rain,26.02,27.99,23.73,0.87,1004.8,1.76,1.8,75,0.99,0,16.093,257.5
39,2020-09-10 02:00:00,Possible Light Rain and Humid,rain,0.5029,0.28,rain,25.86,27.5,23.77,0.88,1004.4,1.62,1.68,80,1.0,0,16.093,258.7
40,2020-09-10 03:00:00,Possible Light Rain and Humid,rain,0.5559,0.31,rain,25.66,26.54,23.75,0.89,1004.2,1.52,1.6,77,1.0,0,16.093,259.6
41,2020-09-10 04:00:00,Possible Light Rain and Humid,rain,0.5532,0.31,rain,25.52,26.49,23.84,0.9,1004.2,1.43,1.48,63,1.0,0,16.093,259.7
