,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2144,0.06,rain,24.67,26.3,24.67,1,1009.6,1.57,1.68,224,0.44,8,14.414,262.9
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3585,0.07,rain,25.68,27.26,25.68,1,1009.0,1.65,1.79,222,0.52,9,11.759,262.0
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4768,0.08,rain,26.32,31.03,26.32,1,1008.2,1.66,1.79,225,0.56,8,11.253,261.7
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5764,0.09,rain,26.41,31.7,26.41,1,1007.5,1.61,1.72,227,0.59,6,11.639,261.7
4,2020-09-08 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6184,0.1,rain,25.87,28.61,25.87,1,1006.9,1.48,1.61,228,0.61,4,11.969,262.1
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5768,0.1,rain,25.09,25.34,25.09,1,1006.7,1.27,1.43,230,0.62,2,11.938,263.3
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4901,0.1,rain,23.87,26.57,23.87,1,1006.7,1.01,1.27,228,0.62,1,12.182,264.8
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4025,0.1,rain,22.97,25.57,22.97,1,1007.1,0.79,1.15,214,0.61,0,13.295,265.4
8,2020-09-08 19:00:00,Partly Cloudy,partly-cloudy-night,0.3178,0.08,rain,21.92,24.45,21.92,1,1008.2,0.62,1.08,182,0.58,0,15.623,265.0
9,2020-09-08 20:00:00,Partly Cloudy,partly-cloudy-night,0.2352,0.07,rain,20.94,23.27,20.94,1,1009.4,0.48,1.03,143,0.55,0,16.093,264.2
10,2020-09-08 21:00:00,Partly Cloudy,partly-cloudy-night,0.164,0.06,rain,20.21,22.34,20.21,1,1010.1,0.42,1.02,18,0.56,0,16.093,263.5
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.1006,0.06,rain,19.84,21.73,19.84,1,1010.3,0.46,1.07,85,0.61,0,16.093,262.8
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.055,0.06,rain,19.58,21.26,19.58,1,1010.2,0.55,1.14,62,0.69,0,16.093,262.2
13,2020-09-09 00:00:00,Mostly Cloudy,partly-cloudy-night,0.0329,0.07,rain,19.41,21.0,19.41,1,1010.1,0.6,1.16,53,0.77,0,16.093,261.5
14,2020-09-09 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0308,0.06,rain,19.38,20.86,19.38,1,1010.0,0.6,1.1,47,0.83,0,16.093,260.4
15,2020-09-09 02:00:00,Overcast,cloudy,0.0378,0.06,rain,19.46,20.84,19.46,1,1009.7,0.59,1.02,42,0.9,0,16.093,259.4
16,2020-09-09 03:00:00,Overcast,cloudy,0.0398,0.06,rain,19.67,21.0,19.67,1,1009.7,0.58,0.97,37,0.93,0,16.093,259.3
17,2020-09-09 04:00:00,Overcast,cloudy,0.0332,0.06,rain,19.6,20.9,19.6,1,1009.8,0.57,0.96,27,0.95,0,16.093,260.5
18,2020-09-09 05:00:00,Overcast,cloudy,0.0338,0.06,rain,19.3,20.6,19.3,1,1009.9,0.56,0.96,24,0.94,0,16.093,262.0
19,2020-09-09 06:00:00,Overcast,cloudy,0.0378,0.05,rain,19.22,20.62,19.22,1,1010.1,0.62,0.95,49,0.91,0,16.093,263.0
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0365,0.05,rain,20.1,21.58,20.1,1,1010.4,0.77,0.95,109,0.82,1,16.093,263.1
21,2020-09-09 08:00:00,Mostly Cloudy,partly-cloudy-day,0.0396,0.04,rain,21.7,23.27,21.7,1,1010.6,0.96,0.98,180,0.71,2,16.093,262.8
22,2020-09-09 09:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0596,0.05,rain,23.12,24.86,23.12,1,1010.5,1.16,1.18,227,0.62,4,16.093,262.1
23,2020-09-09 10:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.121,0.05,rain,24.3,25.64,24.3,1,1010.2,1.41,1.46,234,0.57,6,13.359,261.0
24,2020-09-09 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2463,0.06,rain,25.38,25.91,25.38,1,1009.4,1.65,1.84,227,0.55,8,7.71,259.7
25,2020-09-09 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4032,0.08,rain,26.11,29.98,26.11,1,1008.5,1.76,2.1,223,0.57,8,5.435,258.8
26,2020-09-09 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5728,0.09,rain,26.17,30.49,26.17,1,1007.6,1.7,2.01,227,0.67,7,7.953,258.3
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7392,0.11,rain,25.66,27.83,25.66,1,1006.7,1.55,1.81,232,0.79,6,12.137,258.1
28,2020-09-09 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8185,0.13,rain,24.82,24.55,24.82,1,1006.0,1.36,1.62,236,0.87,4,14.366,257.8
29,2020-09-09 16:00:00,Humid and Overcast,cloudy,0.7688,0.14,rain,24.19,24.72,24.19,1,1005.5,1.14,1.37,242,0.89,2,13.544,257.6
30,2020-09-09 17:00:00,Humid and Overcast,cloudy,0.6522,0.13,rain,23.39,26.15,23.39,1,1005.4,0.89,1.1,244,0.89,1,12.085,257.5
31,2020-09-09 18:00:00,Humid and Overcast,cloudy,0.5297,0.13,rain,22.72,25.29,22.72,1,1005.6,0.69,0.93,221,0.9,0,12.272,257.4
32,2020-09-09 19:00:00,Overcast,cloudy,0.4071,0.13,rain,21.86,24.33,21.86,1,1006.7,0.53,0.86,171,0.94,0,14.941,257.6
33,2020-09-09 20:00:00,Overcast,cloudy,0.3211,0.12,rain,20.89,23.16,20.89,1,1007.9,0.42,0.84,59,0.98,0,16.093,257.7
34,2020-09-09 21:00:00,Overcast,cloudy,0.2785,0.11,rain,20.17,22.27,20.17,1,1008.6,0.37,0.86,277,1.0,0,16.093,257.3
35,2020-09-09 22:00:00,Overcast,cloudy,0.2459,0.12,rain,19.92,21.81,19.92,1,1008.6,0.4,0.94,329,1.0,0,16.093,256.1
36,2020-09-09 23:00:00,Overcast,cloudy,0.2287,0.12,rain,19.8,21.5,19.8,1,1008.4,0.48,1.04,26,0.99,0,16.093,254.6
37,2020-09-10 00:00:00,Overcast,cloudy,0.2315,0.13,rain,19.64,21.26,19.64,1,1008.1,0.52,1.01,40,0.98,0,16.093,253.7
38,2020-09-10 01:00:00,Overcast,cloudy,0.2399,0.15,rain,19.51,21.07,19.51,1,1007.8,0.5,0.8,57,0.99,0,16.093,253.6
39,2020-09-10 02:00:00,Overcast,cloudy,0.2517,0.17,rain,19.42,20.93,19.42,1,1007.4,0.46,0.59,68,0.99,0,16.093,253.9
40,2020-09-10 03:00:00,Overcast,cloudy,0.2573,0.17,rain,19.53,20.98,19.53,1,1007.3,0.47,0.54,66,1.0,0,16.093,254.5
41,2020-09-10 04:00:00,Overcast,cloudy,0.2585,0.15,rain,19.43,20.87,19.43,1,1007.3,0.49,0.55,55,1.0,0,16.093,255.4
42,2020-09-10 05:00:00,Overcast,cloudy,0.2606,0.16,rain,19.14,20.59,19.14,1,1007.5,0.55,0.59,36,1.0,0,16.093,256.6
43,2020-09-10 06:00:00,Overcast,cloudy,0.2431,0.15,rain,19.02,20.53,19.02,1,1007.7,0.65,0.71,49,0.98,0,16.093,257.3
44,2020-09-10 07:00:00,Overcast,cloudy,0.1931,0.13,rain,19.83,21.38,19.83,1,1007.8,0.83,0.94,102,0.92,1,16.093,257.4
45,2020-09-10 08:00:00,Mostly Cloudy,partly-cloudy-day,0.1612,0.1,rain,21.3,22.89,21.3,1,1007.9,1.03,1.24,171,0.83,2,16.093,257.3
46,2020-09-10 09:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1738,0.08,rain,22.72,24.39,22.72,1,1007.8,1.21,1.5,219,0.76,4,16.093,257.1
47,2020-09-10 10:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2235,0.08,rain,23.82,25.57,23.82,1,1007.2,1.38,1.67,221,0.71,6,14.616,256.6
48,2020-09-10 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3044,0.08,rain,25.16,27.05,25.16,1,1006.4,1.53,1.79,217,0.66,7,8.391,256.1
