,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid,clear-day,0.3858,0.07,rain,24.54,25.8,24.54,1.0,1009.3,0.88,1.07,201,0.23,9,16.093,264.8
1,2020-09-08 12:00:00,Humid,clear-day,0.5465,0.08,rain,25.46,26.92,25.46,1.0,1009.0,1.04,1.25,212,0.25,10,16.093,264.9
2,2020-09-08 13:00:00,Humid,clear-day,0.6265,0.08,rain,25.71,27.45,25.71,1.0,1008.3,1.08,1.52,220,0.28,10,16.093,265.6
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6601,0.08,rain,25.16,26.05,25.16,1.0,1007.6,1.08,1.81,223,0.31,8,16.093,266.6
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6432,0.08,rain,24.33,25.98,24.33,1.0,1007.1,1.07,1.96,225,0.33,6,16.093,267.2
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5729,0.08,rain,23.71,25.44,23.71,1.0,1006.7,1.04,1.92,228,0.34,3,16.093,267.3
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4646,0.09,rain,23.67,25.47,23.67,1.0,1006.5,0.98,1.81,234,0.33,1,16.093,267.1
7,2020-09-08 18:00:00,Humid,clear-day,0.33,0.08,rain,23.16,24.93,23.16,1.0,1006.7,0.89,1.64,226,0.3,0,16.093,266.8
8,2020-09-08 19:00:00,Humid,clear-night,0.176,0.05,rain,22.46,24.19,22.46,1.0,1007.3,0.75,1.39,211,0.24,0,16.093,266.3
9,2020-09-08 20:00:00,Clear,clear-night,0.0705,0.04,rain,21.52,23.16,21.52,1.0,1008.5,0.6,1.14,192,0.16,0,16.093,265.7
10,2020-09-08 21:00:00,Clear,clear-night,0.0339,0.03,rain,20.83,22.34,20.83,1.0,1009.1,0.51,1.02,175,0.12,0,16.093,265.5
11,2020-09-08 22:00:00,Clear,clear-night,0.0233,0.03,rain,20.4,21.79,20.4,1.0,1009.4,0.51,1.1,156,0.11,0,16.093,265.9
12,2020-09-08 23:00:00,Clear,clear-night,0.032,0.03,rain,20.08,21.34,20.08,1.0,1009.6,0.53,1.25,131,0.12,0,16.093,266.5
13,2020-09-09 00:00:00,Clear,clear-night,0.0443,0.04,rain,19.78,20.93,19.78,1.0,1009.7,0.57,1.33,111,0.19,0,16.093,266.9
14,2020-09-09 01:00:00,Partly Cloudy,partly-cloudy-night,0.0406,0.04,rain,19.51,20.58,19.51,1.0,1009.6,0.6,1.29,91,0.36,0,16.093,267.1
15,2020-09-09 02:00:00,Partly Cloudy,partly-cloudy-night,0.035,0.04,rain,19.31,20.32,19.31,1.0,1009.6,0.64,1.25,72,0.55,0,16.093,267.3
16,2020-09-09 03:00:00,Mostly Cloudy,partly-cloudy-night,0.0276,0.04,rain,19.25,20.25,19.25,1.0,1009.5,0.66,1.23,57,0.66,0,16.093,267.8
17,2020-09-09 04:00:00,Mostly Cloudy,partly-cloudy-night,0.0175,0.03,rain,18.99,19.97,18.99,1.0,1009.5,0.66,1.24,37,0.67,0,16.093,268.8
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0199,0.02,rain,18.71,19.69,18.71,1.0,1009.6,0.66,1.25,8,0.62,0,16.093,270.0
19,2020-09-09 06:00:00,Partly Cloudy,partly-cloudy-night,0.03,0.03,rain,18.68,19.66,18.68,1.0,1009.7,0.62,1.21,19,0.52,0,16.093,270.5
