,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Clear,clear-day,0.0732,0.03,rain,20.89,21.37,19.06,0.89,1010.4,1.07,1.55,187,0.2,10,16.093,263.0
1,2020-09-08 12:00:00,Clear,clear-day,0.1591,0.03,rain,22.25,22.74,19.57,0.85,1009.8,1.35,1.91,211,0.24,11,16.093,262.7
2,2020-09-08 13:00:00,Partly Cloudy,partly-cloudy-day,0.2712,0.04,rain,22.96,23.54,20.36,0.85,1009.1,1.4,2.0,218,0.33,10,16.093,263.7
3,2020-09-08 14:00:00,Partly Cloudy,partly-cloudy-day,0.4079,0.05,rain,23.07,23.79,21.38,0.9,1008.3,1.36,1.98,214,0.43,8,12.848,265.1
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5268,0.06,rain,22.4,23.33,22.4,1.0,1007.8,1.26,1.88,210,0.49,5,9.546,265.8
5,2020-09-08 16:00:00,Partly Cloudy,partly-cloudy-day,0.6152,0.07,rain,21.47,22.66,21.47,1.0,1007.5,1.09,1.7,210,0.5,3,8.917,265.7
6,2020-09-08 17:00:00,Partly Cloudy,partly-cloudy-day,0.657,0.08,rain,20.57,22.06,20.57,1.0,1007.5,0.87,1.47,214,0.48,1,9.761,265.4
7,2020-09-08 18:00:00,Partly Cloudy,partly-cloudy-day,0.5854,0.08,rain,19.47,21.01,19.47,1.0,1007.8,0.71,1.28,200,0.42,0,12.068,265.0
8,2020-09-08 19:00:00,Clear,clear-night,0.3796,0.07,rain,18.12,19.69,18.12,1.0,1008.6,0.61,1.13,167,0.3,0,16.093,264.6
9,2020-09-08 20:00:00,Clear,clear-night,0.1764,0.05,rain,16.86,18.39,16.86,1.0,1009.6,0.56,1.01,111,0.16,0,16.093,264.3
10,2020-09-08 21:00:00,Clear,clear-night,0.071,0.04,rain,15.94,17.31,15.94,1.0,1010.3,0.55,0.96,73,0.09,0,16.093,264.4
11,2020-09-08 22:00:00,Clear,clear-night,0.0302,0.03,rain,15.5,16.58,15.5,1.0,1010.5,0.59,1.01,60,0.11,0,16.093,265.0
12,2020-09-08 23:00:00,Clear,clear-night,0.0147,0.03,rain,15.3,16.06,15.3,1.0,1010.1,0.67,1.1,52,0.18,0,16.093,265.8
13,2020-09-09 00:00:00,Partly Cloudy,partly-cloudy-night,0.0094,0.03,rain,15.27,15.8,15.27,1.0,1010.1,0.74,1.16,45,0.32,0,16.093,266.3
14,2020-09-09 01:00:00,Partly Cloudy,partly-cloudy-night,0.0037,0.01,rain,15.29,15.64,15.29,1.0,1010.0,0.8,1.17,37,0.57,0,16.093,266.3
15,2020-09-09 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,15.41,15.66,15.41,1.0,1009.1,0.85,1.17,33,0.84,0,16.093,266.3
16,2020-09-09 03:00:00,Overcast,cloudy,0.0,0.0,,15.61,15.73,14.96,0.96,1008.7,0.89,1.21,28,0.98,0,16.093,266.7
17,2020-09-09 04:00:00,Overcast,cloudy,0.0,0.0,,15.42,15.46,14.32,0.93,1009.4,0.96,1.33,18,0.96,0,16.093,267.8
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,14.96,14.96,13.84,0.93,1010.1,1.01,1.43,13,0.87,0,16.093,269.1
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-night,0.0073,0.02,rain,14.85,14.86,13.94,0.94,1010.2,0.95,1.36,31,0.74,0,16.093,269.8
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.0055,0.01,rain,15.66,15.72,14.6,0.93,1010.4,0.71,1.02,81,0.54,0,16.093,269.8
21,2020-09-09 08:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,17.0,17.16,15.69,0.92,1010.6,0.46,0.62,139,0.33,2,16.093,269.4
22,2020-09-09 09:00:00,Clear,clear-day,0.0,0.0,,18.34,18.54,16.39,0.88,1010.3,0.42,0.54,184,0.19,4,16.093,268.7
23,2020-09-09 10:00:00,Clear,clear-day,0.0095,0.02,rain,19.76,19.96,16.76,0.83,1010.2,0.7,0.88,199,0.14,7,16.093,267.7
24,2020-09-09 11:00:00,Clear,clear-day,0.0392,0.02,rain,21.39,21.56,16.95,0.76,1010.2,1.09,1.38,204,0.15,10,16.093,266.5
25,2020-09-09 12:00:00,Clear,clear-day,0.0942,0.03,rain,22.77,22.98,17.46,0.72,1009.5,1.34,1.7,206,0.19,11,16.093,265.2
26,2020-09-09 13:00:00,Clear,clear-day,0.1874,0.03,rain,23.39,23.72,18.46,0.74,1008.5,1.41,1.81,209,0.27,10,16.093,263.8
27,2020-09-09 14:00:00,Partly Cloudy,partly-cloudy-day,0.3225,0.04,rain,23.25,23.75,19.79,0.81,1007.6,1.4,1.83,211,0.38,8,16.093,262.4
28,2020-09-09 15:00:00,Partly Cloudy,partly-cloudy-day,0.4438,0.06,rain,22.51,23.23,21.24,0.93,1006.8,1.31,1.78,211,0.48,5,16.093,261.7
29,2020-09-09 16:00:00,Partly Cloudy,partly-cloudy-day,0.529,0.07,rain,21.41,22.43,21.41,1.0,1006.4,1.15,1.69,212,0.55,3,16.093,261.7
30,2020-09-09 17:00:00,Mostly Cloudy,partly-cloudy-day,0.5817,0.07,rain,20.52,21.87,20.52,1.0,1006.2,0.94,1.54,217,0.62,1,16.093,261.9
31,2020-09-09 18:00:00,Mostly Cloudy,partly-cloudy-day,0.5314,0.06,rain,19.37,20.84,19.37,1.0,1006.3,0.79,1.38,203,0.7,0,16.093,262.1
