,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid,clear-day,0.1284,0.03,rain,28.16,33.9,25.8,0.87,1010.2,0.84,1.21,170,0.26,9,16.093,263.6
1,2020-09-08 12:00:00,Humid,clear-day,0.2541,0.04,rain,29.54,36.92,26.24,0.82,1009.7,1.09,1.52,203,0.27,10,16.093,263.4
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3635,0.04,rain,30.29,39.3,26.94,0.82,1009.0,1.18,1.71,213,0.33,9,16.093,264.5
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4637,0.05,rain,30.4,40.89,27.8,0.86,1008.3,1.18,1.83,212,0.39,7,14.018,265.8
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5462,0.06,rain,29.89,41.75,28.82,0.94,1007.7,1.15,1.85,210,0.43,5,12.019,266.6
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6238,0.07,rain,29.34,42.96,29.34,1.0,1007.4,1.04,1.75,209,0.43,3,11.077,266.6
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6667,0.08,rain,28.68,43.13,28.68,1.0,1007.3,0.89,1.58,205,0.4,1,11.033,266.2
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5931,0.09,rain,27.68,39.09,27.68,1.0,1007.5,0.75,1.41,197,0.34,0,12.681,265.8
8,2020-09-08 19:00:00,Humid,clear-night,0.3761,0.07,rain,26.04,30.24,26.04,1.0,1008.3,0.62,1.23,184,0.22,0,16.093,265.4
9,2020-09-08 20:00:00,Humid,clear-night,0.1654,0.05,rain,24.3,25.9,24.3,1.0,1009.2,0.5,1.05,166,0.09,0,16.093,264.9
10,2020-09-08 21:00:00,Humid,clear-night,0.0614,0.04,rain,23.08,24.8,23.08,1.0,1009.8,0.43,0.95,139,0.03,0,16.093,264.9
11,2020-09-08 22:00:00,Humid,clear-night,0.0261,0.04,rain,22.62,24.19,22.62,1.0,1009.9,0.44,0.96,105,0.04,0,16.093,265.5
12,2020-09-08 23:00:00,Humid,clear-night,0.0174,0.04,rain,22.49,23.96,22.49,1.0,1010.0,0.48,1.01,74,0.1,0,16.093,266.4
13,2020-09-09 00:00:00,Humid,clear-night,0.0158,0.04,rain,22.25,23.57,22.25,1.0,1010.0,0.53,1.03,51,0.24,0,16.093,266.9
14,2020-09-09 01:00:00,Partly Cloudy,partly-cloudy-night,0.0093,0.02,rain,21.93,23.07,21.93,1.0,1009.9,0.59,1.0,36,0.49,0,16.093,267.0
15,2020-09-09 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,21.66,22.67,21.66,1.0,1009.9,0.65,0.96,26,0.77,0,16.093,267.0
16,2020-09-09 03:00:00,Overcast,cloudy,0.0,0.0,,21.46,22.37,21.46,1.0,1009.9,0.69,0.97,17,0.9,0,16.093,267.3
17,2020-09-09 04:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,21.03,21.89,21.03,1.0,1010.0,0.74,1.04,4,0.86,0,16.093,268.5
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,20.51,21.33,20.51,1.0,1009.9,0.77,1.12,357,0.73,0,16.093,269.7
19,2020-09-09 06:00:00,Partly Cloudy,partly-cloudy-night,0.0056,0.02,rain,20.34,21.15,20.34,1.0,1010.1,0.71,1.08,19,0.58,0,16.093,270.3
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,21.15,21.99,21.15,1.0,1010.4,0.5,0.83,81,0.41,0,16.093,270.2
21,2020-09-09 08:00:00,Humid,clear-day,0.0,0.0,,22.94,23.8,22.47,0.97,1010.7,0.28,0.55,160,0.24,2,16.093,269.8
22,2020-09-09 09:00:00,Humid,clear-day,0.0,0.0,,24.88,26.01,23.19,0.9,1010.6,0.24,0.49,205,0.13,4,16.093,269.1
23,2020-09-09 10:00:00,Humid,clear-day,0.029,0.02,rain,26.78,29.3,23.31,0.81,1010.4,0.45,0.75,213,0.09,7,16.093,268.1
24,2020-09-09 11:00:00,Humid,clear-day,0.0838,0.03,rain,28.66,32.77,23.66,0.74,1010.0,0.77,1.13,204,0.1,9,16.093,266.9
25,2020-09-09 12:00:00,Humid,clear-day,0.163,0.03,rain,30.31,35.89,24.29,0.7,1009.3,1.01,1.41,198,0.16,10,16.093,265.6
26,2020-09-09 13:00:00,Humid,clear-day,0.2686,0.04,rain,31.08,38.1,25.18,0.71,1008.4,1.13,1.57,203,0.26,9,16.093,264.2
27,2020-09-09 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.409,0.04,rain,31.03,39.41,26.18,0.75,1007.5,1.21,1.68,208,0.4,7,16.093,262.7
28,2020-09-09 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5289,0.05,rain,30.43,40.39,27.46,0.84,1006.8,1.22,1.74,212,0.51,5,16.093,262.0
29,2020-09-09 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6108,0.06,rain,29.7,41.7,29.01,0.96,1006.3,1.15,1.78,212,0.59,3,16.093,262.1
30,2020-09-09 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.667,0.07,rain,28.87,42.29,28.87,1.0,1006.0,1.02,1.76,210,0.65,1,16.093,262.5
31,2020-09-09 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6164,0.07,rain,27.73,38.59,27.73,1.0,1006.1,0.89,1.64,202,0.69,0,16.093,262.9
32,2020-09-09 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4049,0.06,rain,26.14,30.0,26.14,1.0,1006.8,0.78,1.37,189,0.71,0,16.093,262.8
33,2020-09-09 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1932,0.05,rain,24.54,24.5,24.54,1.0,1007.7,0.65,1.05,167,0.71,0,16.093,262.7
34,2020-09-09 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0901,0.04,rain,23.37,25.18,23.37,1.0,1008.3,0.55,0.87,138,0.68,0,16.093,262.4
35,2020-09-09 22:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.063,0.04,rain,22.83,24.4,22.83,1.0,1008.5,0.49,0.87,101,0.6,0,16.093,261.5
36,2020-09-09 23:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0681,0.03,rain,22.58,24.08,22.58,1.0,1008.6,0.46,0.94,64,0.5,0,16.093,260.6
37,2020-09-10 00:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0768,0.03,rain,22.31,23.71,22.31,1.0,1008.5,0.47,1.0,37,0.44,0,16.093,259.7
38,2020-09-10 01:00:00,Partly Cloudy,partly-cloudy-night,0.0697,0.03,rain,21.94,23.2,21.94,1.0,1008.2,0.54,1.05,23,0.44,0,16.093,258.9
39,2020-09-10 02:00:00,Partly Cloudy,partly-cloudy-night,0.055,0.02,rain,21.67,22.78,21.67,1.0,1007.8,0.64,1.1,16,0.46,0,16.093,258.3
40,2020-09-10 03:00:00,Partly Cloudy,partly-cloudy-night,0.0424,0.02,rain,21.38,22.4,21.38,1.0,1007.4,0.71,1.16,8,0.45,0,16.093,258.2
41,2020-09-10 04:00:00,Partly Cloudy,partly-cloudy-night,0.0282,0.02,rain,21.02,21.97,21.02,1.0,1007.3,0.76,1.23,354,0.4,0,16.093,258.7
42,2020-09-10 05:00:00,Partly Cloudy,partly-cloudy-night,0.0165,0.02,rain,20.51,21.41,20.51,1.0,1007.2,0.79,1.29,349,0.34,0,16.093,259.5
43,2020-09-10 06:00:00,Clear,clear-night,0.0115,0.01,rain,20.39,21.26,20.39,1.0,1007.0,0.73,1.2,14,0.28,0,16.093,259.8
44,2020-09-10 07:00:00,Clear,clear-day,0.012,0.01,rain,21.13,22.01,21.13,1.0,1007.3,0.55,0.91,86,0.23,0,16.093,259.3
45,2020-09-10 08:00:00,Humid,clear-day,0.014,0.01,rain,22.81,23.72,22.7,0.99,1007.5,0.34,0.58,181,0.18,2,16.093,258.6
46,2020-09-10 09:00:00,Humid,clear-day,0.0152,0.01,rain,24.46,25.55,23.5,0.94,1007.6,0.32,0.5,234,0.15,4,16.093,258.0
47,2020-09-10 10:00:00,Humid,clear-day,0.029,0.01,rain,26.27,28.42,23.76,0.86,1007.3,0.55,0.77,227,0.15,7,16.093,257.3
48,2020-09-10 11:00:00,Humid,clear-day,0.0762,0.01,rain,27.99,32.15,24.33,0.81,1007.0,0.87,1.18,210,0.17,9,16.093,256.7
