,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Clear,clear-day,0.2054,0.05,rain,27.83,30.14,21.47,0.68,1010.1,1.08,1.33,229,0.09,10,16.093,267.5
1,2020-09-08 12:00:00,Clear,clear-day,0.2625,0.06,rain,29.07,31.72,21.45,0.64,1009.5,1.26,1.57,238,0.13,10,16.093,267.0
2,2020-09-08 13:00:00,Clear,clear-day,0.2701,0.06,rain,29.81,32.77,21.63,0.62,1008.9,1.3,1.72,239,0.2,9,16.093,266.8
3,2020-09-08 14:00:00,Clear,clear-day,0.2834,0.06,rain,29.87,33.22,22.11,0.63,1008.2,1.26,1.82,236,0.29,7,16.093,266.9
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3209,0.07,rain,29.24,32.7,22.52,0.67,1007.6,1.17,1.83,234,0.36,5,16.093,267.1
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3713,0.07,rain,28.52,31.97,22.9,0.72,1007.1,1.03,1.73,241,0.4,2,15.647,267.4
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4276,0.06,rain,27.79,30.9,22.95,0.75,1006.8,0.84,1.57,246,0.43,1,13.825,267.7
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4924,0.06,rain,27.02,29.55,22.73,0.77,1007.0,0.67,1.45,229,0.5,0,13.276,268.0
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.5724,0.06,rain,25.94,27.45,22.08,0.79,1007.9,0.51,1.37,169,0.62,0,14.402,268.2
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.6393,0.07,rain,24.93,25.49,21.2,0.8,1009.0,0.37,1.31,90,0.75,0,16.093,268.3
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.6269,0.07,rain,24.18,24.75,20.57,0.8,1009.7,0.32,1.28,18,0.84,0,16.093,268.2
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.5182,0.06,rain,23.82,24.36,20.27,0.8,1010.0,0.41,1.26,20,0.87,0,16.093,267.7
12,2020-09-08 23:00:00,Overcast,cloudy,0.4191,0.05,rain,23.62,24.15,20.11,0.81,1010.1,0.56,1.26,42,0.88,0,16.093,267.1
13,2020-09-09 00:00:00,Mostly Cloudy,partly-cloudy-night,0.3882,0.05,rain,23.32,23.83,19.94,0.81,1010.1,0.67,1.29,36,0.87,0,16.093,266.6
14,2020-09-09 01:00:00,Mostly Cloudy,partly-cloudy-night,0.3981,0.05,rain,22.82,23.3,19.61,0.82,1010.0,0.73,1.37,41,0.82,0,16.093,266.0
15,2020-09-09 02:00:00,Mostly Cloudy,partly-cloudy-night,0.4163,0.05,rain,22.34,22.79,19.25,0.83,1009.9,0.76,1.46,51,0.77,0,16.093,265.6
16,2020-09-09 03:00:00,Mostly Cloudy,partly-cloudy-night,0.4165,0.05,rain,22.04,22.49,19.17,0.84,1009.8,0.76,1.46,54,0.74,0,15.782,265.5
17,2020-09-09 04:00:00,Mostly Cloudy,partly-cloudy-night,0.397,0.05,rain,21.6,22.05,19.04,0.85,1009.9,0.73,1.32,48,0.76,0,16.093,265.9
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.3628,0.05,rain,21.21,21.64,18.86,0.86,1010.0,0.68,1.14,42,0.81,0,16.093,266.6
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.3028,0.05,rain,21.16,21.59,18.83,0.87,1010.2,0.61,1.0,53,0.82,0,16.093,267.2
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.2081,0.04,rain,21.99,22.43,19.1,0.84,1010.6,0.49,0.89,90,0.79,1,16.093,267.8
21,2020-09-09 08:00:00,Mostly Cloudy,partly-cloudy-day,0.1253,0.03,rain,23.51,23.98,19.85,0.8,1010.9,0.38,0.83,145,0.74,2,16.093,268.4
22,2020-09-09 09:00:00,Mostly Cloudy,partly-cloudy-day,0.085,0.03,rain,25.04,25.76,20.49,0.76,1010.9,0.43,0.89,184,0.68,4,16.093,268.3
23,2020-09-09 10:00:00,Partly Cloudy,partly-cloudy-day,0.0719,0.03,rain,26.6,28.26,20.87,0.71,1010.4,0.68,1.11,199,0.58,6,16.093,267.3
