,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 10:45:00,Clear,clear-day,0.1947,0.04,rain,18.85,20.84,18.85,1,1010.2,1.33,1.48,284,0.25,9,5.71,263.1
1,2020-09-08 11:45:00,Partly Cloudy,partly-cloudy-day,0.3808,0.06,rain,19.85,21.94,19.85,1,1009.5,1.42,1.87,278,0.35,10,3.282,262.7
2,2020-09-08 12:45:00,Foggy,fog,0.4617,0.07,rain,20.39,22.6,20.39,1,1008.8,1.46,1.97,279,0.43,9,2.391,262.3
3,2020-09-08 13:45:00,Foggy,fog,0.4772,0.08,rain,20.14,22.64,20.14,1,1008.1,1.46,1.91,283,0.52,7,1.692,262.1
4,2020-09-08 14:45:00,Foggy,fog,0.4669,0.08,rain,19.49,22.26,19.49,1,1007.5,1.42,1.77,290,0.6,5,1.355,262.0
5,2020-09-08 15:45:00,Foggy,fog,0.4235,0.08,rain,18.65,21.71,18.65,1,1007.1,1.3,1.46,297,0.64,3,1.09,262.5
6,2020-09-08 16:45:00,Foggy,fog,0.3554,0.07,rain,18.31,21.38,18.31,1,1006.9,1.17,1.31,305,0.67,1,1.184,263.1
7,2020-09-08 17:45:00,Foggy,fog,0.3138,0.06,rain,17.83,20.76,17.83,1,1007.1,1.12,1.26,330,0.69,0,1.792,263.7
8,2020-09-08 18:45:00,Mostly Cloudy,partly-cloudy-night,0.3159,0.06,rain,17.3,19.88,17.3,1,1008.0,1.21,1.36,51,0.72,0,4.055,263.9
9,2020-09-08 19:45:00,Mostly Cloudy,partly-cloudy-night,0.3322,0.06,rain,16.64,18.81,16.64,1,1009.2,1.37,1.67,37,0.73,0,7.279,264.0
10,2020-09-08 20:45:00,Mostly Cloudy,partly-cloudy-night,0.3039,0.06,rain,16.15,18.0,16.15,1,1010.2,1.5,2.08,14,0.73,0,10.927,263.9
11,2020-09-08 21:45:00,Mostly Cloudy,partly-cloudy-night,0.1978,0.05,rain,15.91,17.59,15.91,1,1010.7,1.58,2.23,9,0.71,0,15.465,263.7
12,2020-09-08 22:45:00,Mostly Cloudy,partly-cloudy-night,0.0879,0.03,rain,15.64,17.08,15.64,1,1011.3,1.65,2.25,17,0.67,0,16.093,263.0
13,2020-09-08 23:45:00,Mostly Cloudy,partly-cloudy-night,0.0347,0.03,rain,15.37,16.63,15.37,1,1011.3,1.68,2.23,19,0.61,0,16.093,262.6
14,2020-09-09 00:45:00,Partly Cloudy,partly-cloudy-night,0.0241,0.03,rain,15.31,16.42,15.31,1,1011.1,1.66,2.17,19,0.52,0,16.093,262.3
15,2020-09-09 01:45:00,Partly Cloudy,partly-cloudy-night,0.0272,0.01,rain,15.23,16.26,15.23,1,1010.9,1.6,2.05,19,0.42,0,16.093,262.0
16,2020-09-09 02:45:00,Partly Cloudy,partly-cloudy-night,0.0331,0.01,rain,15.37,16.28,15.37,1,1010.9,1.53,1.92,18,0.35,0,16.093,262.0
17,2020-09-09 03:45:00,Partly Cloudy,partly-cloudy-night,0.0402,0.01,rain,15.33,16.13,15.33,1,1011.0,1.46,1.77,15,0.34,0,16.093,262.2
18,2020-09-09 04:45:00,Partly Cloudy,partly-cloudy-night,0.051,0.03,rain,15.08,15.84,15.08,1,1011.2,1.37,1.6,12,0.37,0,16.093,262.5
19,2020-09-09 05:45:00,Partly Cloudy,partly-cloudy-night,0.054,0.03,rain,14.55,15.39,14.55,1,1011.3,1.3,1.43,16,0.38,0,16.093,263.0
20,2020-09-09 06:45:00,Partly Cloudy,partly-cloudy-day,0.0376,0.03,rain,14.76,15.83,14.76,1,1011.6,1.24,1.31,35,0.35,0,16.093,263.5
21,2020-09-09 07:45:00,Clear,clear-day,0.0175,0.02,rain,15.33,16.75,15.33,1,1011.6,1.2,1.26,56,0.31,2,16.093,264.2
22,2020-09-09 08:45:00,Clear,clear-day,0.0078,0.02,rain,16.29,18.04,16.29,1,1011.1,1.21,1.27,11,0.29,4,16.093,264.2
