,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Overcast,cloudy,0.5751,0.09,rain,26.08,26.84,20.38,0.71,1009.6,0.98,1.13,170,1.0,5,16.093,268.1
1,2020-09-08 12:00:00,Overcast,cloudy,0.6802,0.1,rain,27.22,29.21,21.07,0.69,1009.2,1.08,1.35,191,0.97,6,16.093,267.5
2,2020-09-08 13:00:00,Overcast,cloudy,0.6177,0.1,rain,27.39,29.72,21.87,0.72,1008.5,1.17,1.61,195,0.88,6,16.093,266.9
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5361,0.11,rain,26.68,28.95,22.72,0.79,1007.8,1.24,1.86,184,0.78,6,16.093,266.4
4,2020-09-08 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5253,0.11,rain,25.79,27.42,23.41,0.87,1007.2,1.24,1.92,176,0.73,4,14.437,266.2
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5612,0.11,rain,25.18,26.09,23.83,0.92,1006.8,1.16,1.74,187,0.76,2,13.86,266.4
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5733,0.1,rain,25.0,26.0,23.87,0.93,1006.5,1.04,1.47,198,0.82,1,14.08,266.7
7,2020-09-08 18:00:00,Humid and Overcast,cloudy,0.4845,0.09,rain,24.35,25.32,23.46,0.95,1006.7,0.95,1.34,197,0.88,0,15.484,266.7
8,2020-09-08 19:00:00,Humid and Overcast,cloudy,0.2856,0.06,rain,23.63,24.59,23.16,0.97,1007.4,0.89,1.39,127,0.92,0,16.093,266.3
9,2020-09-08 20:00:00,Humid and Overcast,cloudy,0.116,0.05,rain,22.81,23.76,22.81,1.0,1008.4,0.87,1.51,44,0.96,0,16.093,265.9
10,2020-09-08 21:00:00,Overcast,cloudy,0.0444,0.04,rain,22.14,23.0,22.02,0.99,1009.0,0.89,1.56,1,0.98,0,16.093,265.6
11,2020-09-08 22:00:00,Overcast,cloudy,0.0164,0.03,rain,21.79,22.5,20.9,0.95,1009.1,0.96,1.54,355,0.98,0,16.093,265.9
12,2020-09-08 23:00:00,Overcast,cloudy,0.004,0.02,rain,21.48,22.03,19.71,0.9,1008.6,1.06,1.49,2,0.99,0,16.093,266.3
13,2020-09-09 00:00:00,Overcast,cloudy,0.0,0.0,,21.2,21.64,18.9,0.87,1008.5,1.14,1.47,6,0.98,0,16.093,266.5
14,2020-09-09 01:00:00,Overcast,cloudy,0.0,0.0,,20.86,21.21,18.22,0.85,1008.2,1.17,1.52,4,0.92,0,16.093,266.6
15,2020-09-09 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,20.8,21.12,17.93,0.84,1007.4,1.18,1.57,2,0.85,0,16.093,266.6
16,2020-09-09 03:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,20.76,21.06,17.77,0.83,1007.6,1.2,1.61,0,0.79,0,16.093,266.6
17,2020-09-09 04:00:00,Mostly Cloudy,partly-cloudy-night,0.0031,0.01,rain,20.51,20.8,17.65,0.84,1008.2,1.26,1.65,356,0.75,0,16.093,266.8
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0111,0.04,rain,20.18,20.47,17.56,0.85,1008.5,1.3,1.66,356,0.71,0,16.093,267.0
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.021,0.04,rain,20.07,20.36,17.51,0.85,1009.0,1.25,1.54,8,0.68,0,16.093,267.2
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0384,0.04,rain,20.88,21.15,17.6,0.82,1009.7,1.04,1.22,33,0.65,0,16.093,267.2
21,2020-09-09 08:00:00,Mostly Cloudy,partly-cloudy-day,0.0837,0.04,rain,22.43,22.73,18.14,0.77,1010.1,0.8,0.87,55,0.63,2,14.4,267.2
22,2020-09-09 09:00:00,Mostly Cloudy,partly-cloudy-day,0.1647,0.05,rain,24.04,24.38,18.89,0.73,1010.1,0.73,0.84,63,0.62,4,11.685,266.9
23,2020-09-09 10:00:00,Mostly Cloudy,partly-cloudy-day,0.296,0.06,rain,25.65,26.32,19.77,0.7,1009.7,0.9,1.21,124,0.6,6,11.927,266.2
24,2020-09-09 11:00:00,Mostly Cloudy,partly-cloudy-day,0.4645,0.07,rain,27.43,29.31,20.69,0.67,1009.0,1.16,1.75,162,0.6,7,13.346,265.4
25,2020-09-09 12:00:00,Mostly Cloudy,partly-cloudy-day,0.579,0.07,rain,28.82,31.28,21.25,0.64,1008.2,1.36,2.09,185,0.65,8,14.479,264.5
