,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Overcast,cloudy,0.4167,0.07,rain,28.58,31.42,21.96,0.67,1009.6,0.89,1.03,147,0.99,5,16.093,268.0
1,2020-09-08 12:00:00,Overcast,cloudy,0.5379,0.08,rain,29.55,32.8,22.08,0.64,1009.2,1.01,1.3,170,0.96,5,16.093,267.4
2,2020-09-08 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.55,0.1,rain,29.52,33.5,23.03,0.68,1008.5,1.14,1.52,174,0.83,6,16.093,266.7
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5344,0.1,rain,28.85,33.62,24.32,0.77,1007.8,1.24,1.7,168,0.68,6,15.963,266.1
4,2020-09-08 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5465,0.11,rain,28.27,33.68,25.47,0.85,1007.3,1.26,1.75,166,0.62,4,13.637,266.0
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5784,0.1,rain,28.06,34.23,26.29,0.9,1006.8,1.15,1.61,174,0.66,2,13.214,266.2
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5853,0.1,rain,28.14,34.55,26.43,0.9,1006.6,0.98,1.4,183,0.75,1,13.801,266.6
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5068,0.08,rain,27.49,32.85,26.02,0.92,1006.7,0.88,1.3,182,0.83,0,15.443,266.6
8,2020-09-08 19:00:00,Humid and Overcast,cloudy,0.3293,0.06,rain,26.44,29.94,25.43,0.94,1007.5,0.85,1.36,117,0.89,0,16.093,266.3
9,2020-09-08 20:00:00,Humid and Overcast,cloudy,0.1635,0.05,rain,25.16,26.06,24.74,0.98,1008.5,0.87,1.48,35,0.95,0,16.093,265.9
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.0725,0.04,rain,24.3,25.36,24.06,0.99,1009.1,0.91,1.54,354,0.99,0,16.093,265.8
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.0254,0.03,rain,24.0,24.9,22.88,0.93,1009.2,0.98,1.53,349,0.99,0,16.093,265.9
12,2020-09-08 23:00:00,Overcast,cloudy,0.0035,0.02,rain,23.97,24.74,22.0,0.89,1008.7,1.07,1.51,356,1.0,0,16.093,266.2
13,2020-09-09 00:00:00,Overcast,cloudy,0.0,0.0,,23.91,24.62,21.55,0.87,1008.8,1.14,1.51,1,0.98,0,16.093,266.4
14,2020-09-09 01:00:00,Overcast,cloudy,0.0,0.0,,23.7,24.35,21.04,0.85,1008.3,1.17,1.56,357,0.92,0,16.093,266.4
15,2020-09-09 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,23.36,23.95,20.54,0.84,1007.8,1.19,1.62,354,0.86,0,16.093,266.2
16,2020-09-09 03:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,22.99,23.53,20.07,0.84,1007.8,1.21,1.66,352,0.81,0,16.093,266.2
17,2020-09-09 04:00:00,Mostly Cloudy,partly-cloudy-night,0.0037,0.01,rain,22.25,22.71,19.37,0.84,1008.3,1.25,1.71,349,0.78,0,16.093,266.5
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0131,0.03,rain,21.63,22.05,18.85,0.84,1008.5,1.28,1.72,351,0.77,0,16.093,266.8
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.0241,0.04,rain,21.52,21.92,18.68,0.84,1009.1,1.2,1.59,2,0.75,0,16.093,267.0
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0372,0.03,rain,22.47,22.86,18.86,0.8,1009.6,0.98,1.22,26,0.71,0,16.093,267.1
21,2020-09-09 08:00:00,Mostly Cloudy,partly-cloudy-day,0.0694,0.04,rain,24.23,24.62,19.4,0.74,1010.2,0.74,0.82,49,0.68,2,16.093,267.1
22,2020-09-09 09:00:00,Mostly Cloudy,partly-cloudy-day,0.1421,0.04,rain,26.0,26.74,20.09,0.7,1010.3,0.67,0.76,67,0.67,4,14.925,266.8
23,2020-09-09 10:00:00,Mostly Cloudy,partly-cloudy-day,0.2944,0.06,rain,27.94,30.21,21.21,0.67,1009.8,0.85,1.13,115,0.67,6,13.182,266.2
24,2020-09-09 11:00:00,Mostly Cloudy,partly-cloudy-day,0.511,0.07,rain,29.82,33.17,22.14,0.63,1009.0,1.12,1.69,152,0.68,7,12.006,265.3
25,2020-09-09 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6496,0.07,rain,31.34,35.34,22.4,0.59,1008.2,1.33,2.04,176,0.73,7,11.788,264.5
26,2020-09-09 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6059,0.07,rain,32.03,36.47,22.66,0.58,1007.3,1.46,2.12,187,0.82,6,12.735,263.3
27,2020-09-09 14:00:00,Humid and Overcast,cloudy,0.4976,0.06,rain,32.12,36.94,23.0,0.59,1006.3,1.55,2.08,189,0.93,5,14.372,262.2
28,2020-09-09 15:00:00,Humid and Overcast,cloudy,0.4461,0.06,rain,31.68,37.06,23.63,0.62,1005.6,1.51,1.94,189,0.99,4,16.06,261.6
29,2020-09-09 16:00:00,Humid and Overcast,cloudy,0.474,0.07,rain,31.06,37.32,24.59,0.69,1005.1,1.33,1.66,193,0.99,2,16.093,261.6
30,2020-09-09 17:00:00,Humid and Overcast,cloudy,0.5101,0.07,rain,30.28,36.96,25.27,0.75,1004.8,1.09,1.32,205,0.99,1,16.093,261.9
31,2020-09-09 18:00:00,Humid and Overcast,cloudy,0.459,0.06,rain,29.17,35.28,25.42,0.8,1004.9,0.87,1.1,202,0.99,0,16.093,262.1
32,2020-09-09 19:00:00,Humid and Overcast,cloudy,0.2947,0.05,rain,27.95,33.24,25.62,0.87,1005.8,0.7,1.04,139,0.99,0,16.093,262.3
33,2020-09-09 20:00:00,Humid and Overcast,cloudy,0.1432,0.05,rain,26.63,30.37,25.45,0.93,1006.8,0.58,1.06,44,1.0,0,16.093,262.3
34,2020-09-09 21:00:00,Humid and Overcast,cloudy,0.0729,0.04,rain,25.62,27.24,25.11,0.97,1007.4,0.59,1.12,6,1.0,0,16.093,262.2
35,2020-09-09 22:00:00,Humid and Overcast,cloudy,0.0532,0.04,rain,24.98,25.95,24.11,0.95,1007.5,0.77,1.21,359,1.0,0,16.093,261.8
36,2020-09-09 23:00:00,Humid and Overcast,cloudy,0.0478,0.04,rain,24.55,25.46,23.1,0.92,1007.3,1.0,1.32,3,1.0,0,16.093,261.3
37,2020-09-10 00:00:00,Humid and Overcast,cloudy,0.0428,0.05,rain,24.24,25.05,22.35,0.89,1007.1,1.14,1.38,6,1.0,0,16.093,261.0
38,2020-09-10 01:00:00,Overcast,cloudy,0.0345,0.05,rain,23.99,24.72,21.75,0.87,1006.7,1.15,1.36,5,1.0,0,16.093,261.1
39,2020-09-10 02:00:00,Overcast,cloudy,0.0327,0.05,rain,23.69,24.33,20.99,0.85,1006.2,1.11,1.31,5,1.0,0,16.093,261.5
40,2020-09-10 03:00:00,Overcast,cloudy,0.0333,0.04,rain,23.27,23.84,20.33,0.84,1006.0,1.1,1.32,5,1.0,0,16.093,261.7
41,2020-09-10 04:00:00,Overcast,cloudy,0.0312,0.04,rain,22.55,23.05,19.68,0.84,1006.1,1.17,1.42,4,1.0,0,16.093,261.9
42,2020-09-10 05:00:00,Overcast,cloudy,0.031,0.04,rain,21.99,22.45,19.27,0.85,1006.3,1.25,1.52,4,1.0,0,16.093,261.9
43,2020-09-10 06:00:00,Overcast,cloudy,0.0307,0.03,rain,21.93,22.39,19.2,0.84,1006.5,1.22,1.48,11,0.98,0,16.093,261.9
44,2020-09-10 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0253,0.03,rain,22.89,23.34,19.36,0.81,1006.7,1.01,1.21,24,0.84,0,16.093,261.7
45,2020-09-10 08:00:00,Mostly Cloudy,partly-cloudy-day,0.0231,0.02,rain,24.57,25.01,19.83,0.75,1006.9,0.77,0.9,37,0.69,2,16.093,261.2
46,2020-09-10 09:00:00,Partly Cloudy,partly-cloudy-day,0.0444,0.02,rain,26.41,27.21,20.41,0.7,1007.0,0.69,0.82,55,0.57,4,16.093,260.7
47,2020-09-10 10:00:00,Partly Cloudy,partly-cloudy-day,0.1205,0.03,rain,28.44,30.85,21.21,0.65,1006.6,0.84,1.11,99,0.51,6,16.093,260.2
