,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Overcast,cloudy,0.2346,0.05,rain,24.36,24.89,20.51,0.79,1010.0,1.08,1.53,163,1.0,5,16.093,266.7
1,2020-09-08 12:00:00,Overcast,cloudy,0.3452,0.06,rain,25.93,26.76,21.06,0.75,1009.4,1.16,1.79,186,0.99,6,16.093,266.2
2,2020-09-08 13:00:00,Overcast,cloudy,0.434,0.06,rain,26.44,28.43,22.18,0.78,1008.7,1.14,1.84,199,0.92,6,16.093,265.8
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5254,0.07,rain,25.99,27.76,23.36,0.85,1008.0,1.1,1.8,203,0.84,5,16.093,265.3
4,2020-09-08 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5968,0.08,rain,25.18,26.15,24.27,0.95,1007.5,1.02,1.68,199,0.8,4,16.093,265.1
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6316,0.08,rain,24.29,25.48,24.29,1.0,1007.1,0.89,1.45,189,0.83,2,13.679,265.2
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6113,0.08,rain,23.77,25.02,23.77,1.0,1007.0,0.75,1.19,281,0.87,1,11.22,265.4
7,2020-09-08 18:00:00,Humid and Overcast,cloudy,0.4949,0.07,rain,22.86,24.08,22.86,1.0,1007.2,0.69,1.03,258,0.91,0,11.502,265.4
8,2020-09-08 19:00:00,Overcast,cloudy,0.2806,0.05,rain,21.63,22.71,21.63,1.0,1008.1,0.75,1.03,52,0.95,0,15.722,265.0
9,2020-09-08 20:00:00,Overcast,cloudy,0.1016,0.04,rain,20.24,21.17,20.24,1.0,1009.3,0.86,1.08,32,0.98,0,16.093,264.5
10,2020-09-08 21:00:00,Overcast,cloudy,0.0311,0.03,rain,19.24,20.02,19.24,1.0,1009.9,0.95,1.12,0,1.0,0,16.093,264.2
11,2020-09-08 22:00:00,Overcast,cloudy,0.0148,0.02,rain,18.76,19.35,18.76,1.0,1010.0,0.99,1.13,356,1.0,0,16.093,264.3
12,2020-09-08 23:00:00,Overcast,cloudy,0.0099,0.02,rain,18.61,19.05,18.08,0.97,1009.8,1.04,1.12,2,1.0,0,16.093,264.6
13,2020-09-09 00:00:00,Overcast,cloudy,0.006,0.02,rain,18.46,18.82,17.5,0.94,1009.7,1.08,1.13,5,1.0,0,16.093,264.7
14,2020-09-09 01:00:00,Overcast,cloudy,0.0,0.0,,18.21,18.53,17.13,0.93,1009.6,1.12,1.21,3,0.98,0,16.093,264.7
15,2020-09-09 02:00:00,Overcast,cloudy,0.0061,0.02,rain,18.0,18.29,16.88,0.93,1009.5,1.15,1.36,1,0.96,0,16.093,264.6
16,2020-09-09 03:00:00,Overcast,cloudy,0.0099,0.02,rain,17.8,18.06,16.6,0.93,1009.3,1.19,1.51,0,0.92,0,16.093,264.7
17,2020-09-09 04:00:00,Mostly Cloudy,partly-cloudy-night,0.0092,0.02,rain,17.32,17.54,16.16,0.93,1009.4,1.24,1.64,356,0.87,0,16.093,265.1
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0076,0.03,rain,16.91,17.11,15.93,0.94,1009.5,1.28,1.72,355,0.8,0,16.093,265.5
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.007,0.03,rain,16.7,16.93,16.03,0.96,1009.7,1.24,1.58,6,0.7,0,16.093,265.8
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.0146,0.03,rain,17.46,17.75,16.68,0.95,1010.1,1.07,1.16,31,0.53,0,16.093,265.8
