,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Partly Cloudy,partly-cloudy-day,0.0124,0.03,rain,19.79,21.05,19.79,1.0,1011.1,1.48,1.69,189,0.47,8,16.093,258.9
1,2020-09-08 12:00:00,Partly Cloudy,partly-cloudy-day,0.0191,0.03,rain,21.59,22.68,21.59,1.0,1010.2,1.65,2.08,188,0.34,10,16.093,258.4
2,2020-09-08 13:00:00,Humid,clear-day,0.0259,0.03,rain,22.75,23.69,22.74,1.0,1009.3,1.71,2.28,191,0.24,10,16.093,258.9
3,2020-09-08 14:00:00,Humid,clear-day,0.0378,0.01,rain,23.15,24.01,22.32,0.95,1008.2,1.67,2.39,192,0.15,9,16.093,259.8
4,2020-09-08 15:00:00,Humid,clear-day,0.0481,0.02,rain,22.51,23.47,22.51,1.0,1007.7,1.6,2.45,186,0.1,6,16.093,260.2
5,2020-09-08 16:00:00,Clear,clear-day,0.0645,0.03,rain,21.24,22.61,21.24,1.0,1007.7,1.47,2.44,172,0.11,3,16.093,260.2
6,2020-09-08 17:00:00,Clear,clear-day,0.103,0.05,rain,19.47,21.44,19.47,1.0,1008.1,1.29,2.36,151,0.11,1,16.093,260.0
7,2020-09-08 18:00:00,Clear,clear-day,0.1281,0.06,rain,17.87,20.1,17.87,1.0,1008.9,1.09,2.15,125,0.12,0,16.093,259.8
8,2020-09-08 19:00:00,Clear,clear-night,0.105,0.05,rain,16.31,18.52,16.31,1.0,1010.0,0.88,1.75,91,0.13,0,16.093,259.4
9,2020-09-08 20:00:00,Clear,clear-night,0.0671,0.04,rain,15.13,17.12,15.13,1.0,1011.5,0.68,1.29,56,0.14,0,16.089,258.9
10,2020-09-08 21:00:00,Clear,clear-night,0.0402,0.04,rain,14.05,15.78,14.05,1.0,1012.4,0.55,0.95,40,0.16,0,16.093,258.7
11,2020-09-08 22:00:00,Clear,clear-night,0.0207,0.03,rain,13.38,14.87,13.38,1.0,1013.0,0.5,0.76,56,0.2,0,16.093,258.9
12,2020-09-08 23:00:00,Clear,clear-night,0.0074,0.02,rain,12.99,14.28,12.99,1.0,1013.2,0.49,0.64,77,0.26,0,16.093,259.4
13,2020-09-09 00:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,12.73,13.86,12.73,1.0,1013.2,0.49,0.57,29,0.4,0,16.093,259.8
14,2020-09-09 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,12.7,13.72,12.7,1.0,1012.9,0.49,0.57,2,0.63,0,16.093,260.2
15,2020-09-09 02:00:00,Overcast,cloudy,0.0,0.0,,12.87,13.84,12.87,1.0,1012.5,0.51,0.58,10,0.88,0,16.093,260.8
16,2020-09-09 03:00:00,Overcast,cloudy,0.0,0.0,,13.15,14.05,13.15,1.0,1012.6,0.51,0.6,43,1.0,0,16.093,261.7
17,2020-09-09 04:00:00,Overcast,cloudy,0.0,0.0,,12.9,13.72,12.9,1.0,1013.3,0.49,0.59,66,0.99,0,16.093,263.2
18,2020-09-09 05:00:00,Overcast,cloudy,0.005,0.01,rain,12.55,13.34,12.55,1.0,1013.6,0.48,0.6,29,0.94,0,16.093,264.9
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-night,0.0073,0.03,rain,12.5,13.39,12.5,1.0,1013.6,0.54,0.65,36,0.84,0,16.093,265.9
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0055,0.02,rain,13.52,14.57,13.52,1.0,1013.6,0.68,0.73,84,0.66,0,16.093,266.0
21,2020-09-09 08:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,15.02,16.24,15.02,1.0,1013.3,0.87,0.87,144,0.46,2,16.093,265.7
22,2020-09-09 09:00:00,Clear,clear-day,0.0,0.0,,16.64,17.89,16.64,1.0,1012.8,1.06,1.07,183,0.31,4,16.093,264.9
23,2020-09-09 10:00:00,Clear,clear-day,0.0,0.0,,18.21,19.39,18.21,1.0,1012.0,1.31,1.37,192,0.24,7,16.093,263.7
24,2020-09-09 11:00:00,Clear,clear-day,0.0,0.0,,19.95,20.98,19.95,1.0,1010.9,1.54,1.79,189,0.21,9,16.093,262.2
25,2020-09-09 12:00:00,Clear,clear-day,0.0,0.0,,21.69,22.56,21.69,1.0,1009.7,1.67,2.09,189,0.19,11,16.093,261.1
26,2020-09-09 13:00:00,Clear,clear-day,0.0186,0.01,rain,22.77,23.54,21.69,0.94,1008.5,1.68,2.18,190,0.16,10,16.093,260.4
27,2020-09-09 14:00:00,Clear,clear-day,0.0251,0.01,rain,23.1,23.83,21.44,0.9,1007.5,1.61,2.19,189,0.15,9,16.093,260.0
28,2020-09-09 15:00:00,Clear,clear-day,0.0294,0.01,rain,22.53,23.35,21.9,0.96,1006.7,1.52,2.28,185,0.14,6,16.093,259.5
29,2020-09-09 16:00:00,Clear,clear-day,0.0324,0.02,rain,21.35,22.53,21.35,1.0,1006.3,1.46,2.54,175,0.14,3,16.093,259.1
30,2020-09-09 17:00:00,Clear,clear-day,0.0414,0.03,rain,19.84,21.53,19.84,1.0,1006.3,1.36,2.77,162,0.14,1,16.093,258.6
31,2020-09-09 18:00:00,Clear,clear-day,0.0486,0.03,rain,18.33,20.27,18.33,1.0,1006.8,1.18,2.62,151,0.14,0,16.093,258.0
32,2020-09-09 19:00:00,Clear,clear-night,0.0435,0.03,rain,16.58,18.59,16.58,1.0,1008.0,0.89,1.91,116,0.14,0,16.093,256.9
33,2020-09-09 20:00:00,Clear,clear-night,0.0346,0.04,rain,15.13,17.04,15.13,1.0,1009.4,0.57,1.05,32,0.15,0,16.093,255.7
34,2020-09-09 21:00:00,Clear,clear-night,0.0237,0.03,rain,14.02,15.76,14.02,1.0,1010.4,0.4,0.53,355,0.18,0,16.093,254.5
35,2020-09-09 22:00:00,Clear,clear-night,0.0087,0.02,rain,13.61,15.14,13.61,1.0,1010.8,0.42,0.47,10,0.25,0,16.093,253.4
36,2020-09-09 23:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,13.56,14.88,13.56,1.0,1010.6,0.51,0.59,86,0.35,0,14.129,252.3
37,2020-09-10 00:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,13.46,14.61,13.46,1.0,1010.1,0.57,0.7,102,0.46,0,11.517,251.8
38,2020-09-10 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0063,0.01,rain,13.34,14.39,13.34,1.0,1010.7,0.56,0.75,90,0.62,0,10.063,251.9
39,2020-09-10 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0256,0.04,rain,13.36,14.35,13.36,1.0,1010.5,0.53,0.8,38,0.78,0,9.114,252.4
