,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Partly Cloudy,partly-cloudy-day,0.0101,0.03,rain,18.47,19.82,18.47,1.0,1011.1,1.48,1.82,238,0.55,8,16.093,258.9
1,2020-09-08 12:00:00,Partly Cloudy,partly-cloudy-day,0.0131,0.03,rain,20.01,21.23,20.01,1.0,1010.2,1.65,2.24,234,0.4,10,16.093,258.6
2,2020-09-08 13:00:00,Clear,clear-day,0.013,0.02,rain,20.94,22.04,20.94,1.0,1009.2,1.74,2.48,232,0.28,10,16.093,258.9
3,2020-09-08 14:00:00,Clear,clear-day,0.0157,0.01,rain,21.2,22.22,21.2,1.0,1008.3,1.76,2.62,229,0.18,9,16.093,259.4
4,2020-09-08 15:00:00,Clear,clear-day,0.0213,0.01,rain,20.61,21.74,20.61,1.0,1007.9,1.73,2.64,217,0.13,6,16.093,259.7
5,2020-09-08 16:00:00,Clear,clear-day,0.041,0.03,rain,19.49,21.03,19.49,1.0,1007.7,1.62,2.52,174,0.15,3,16.093,259.8
6,2020-09-08 17:00:00,Clear,clear-day,0.0857,0.04,rain,17.93,20.0,17.93,1.0,1008.2,1.46,2.3,120,0.18,1,16.093,259.6
7,2020-09-08 18:00:00,Clear,clear-day,0.1159,0.05,rain,16.42,18.7,16.42,1.0,1008.9,1.27,2.03,97,0.19,0,16.093,259.5
8,2020-09-08 19:00:00,Clear,clear-night,0.0962,0.05,rain,15.01,17.22,15.01,1.0,1010.1,1.06,1.7,102,0.18,0,16.093,259.1
9,2020-09-08 20:00:00,Clear,clear-night,0.0608,0.04,rain,13.89,15.88,13.89,1.0,1011.6,0.85,1.32,69,0.16,0,16.093,258.7
10,2020-09-08 21:00:00,Clear,clear-night,0.0356,0.03,rain,12.89,14.62,12.89,1.0,1012.6,0.7,1.02,59,0.16,0,16.093,258.5
11,2020-09-08 22:00:00,Clear,clear-night,0.018,0.03,rain,12.32,13.82,12.32,1.0,1013.1,0.61,0.8,81,0.2,0,16.093,258.6
12,2020-09-08 23:00:00,Clear,clear-night,0.0062,0.02,rain,11.97,13.27,11.97,1.0,1013.2,0.56,0.65,96,0.27,0,16.093,259.0
13,2020-09-09 00:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,11.7,12.84,11.7,1.0,1013.1,0.54,0.56,57,0.4,0,16.093,259.4
14,2020-09-09 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,11.66,12.7,11.66,1.0,1012.8,0.53,0.54,62,0.63,0,16.093,259.9
15,2020-09-09 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,11.8,12.8,11.8,1.0,1012.3,0.55,0.56,49,0.87,0,16.093,260.5
16,2020-09-09 03:00:00,Overcast,cloudy,0.0,0.0,,12.01,12.93,12.01,1.0,1012.5,0.57,0.58,59,0.99,0,16.093,261.4
17,2020-09-09 04:00:00,Overcast,cloudy,0.0,0.0,,11.69,12.54,11.69,1.0,1013.1,0.57,0.59,71,0.97,0,16.093,262.9
18,2020-09-09 05:00:00,Overcast,cloudy,0.005,0.01,rain,11.36,12.2,11.36,1.0,1013.6,0.58,0.67,61,0.9,0,16.093,264.6
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-night,0.0073,0.03,rain,11.27,12.18,11.27,1.0,1013.7,0.64,0.75,69,0.76,0,16.093,265.6
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.0055,0.02,rain,12.24,13.22,12.24,1.0,1013.5,0.77,0.82,101,0.56,0,16.093,265.6
21,2020-09-09 08:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,13.81,14.93,13.81,1.0,1013.3,0.93,0.94,140,0.33,2,16.093,265.2
22,2020-09-09 09:00:00,Clear,clear-day,0.0,0.0,,15.44,16.61,15.44,1.0,1012.7,1.1,1.11,180,0.19,4,16.093,264.4
23,2020-09-09 10:00:00,Clear,clear-day,0.0,0.0,,17.02,18.16,17.02,1.0,1011.9,1.32,1.4,237,0.15,7,16.093,263.1
24,2020-09-09 11:00:00,Clear,clear-day,0.0,0.0,,18.71,19.76,18.71,1.0,1011.1,1.55,1.92,238,0.13,10,16.093,261.6
25,2020-09-09 12:00:00,Clear,clear-day,0.0,0.0,,20.46,21.38,20.46,1.0,1010.1,1.68,2.25,234,0.14,11,16.093,260.5
26,2020-09-09 13:00:00,Clear,clear-day,0.0,0.0,,21.53,22.36,21.53,1.0,1008.8,1.71,2.34,233,0.15,11,16.093,259.7
27,2020-09-09 14:00:00,Clear,clear-day,0.0,0.0,,21.9,22.66,21.33,0.97,1007.5,1.67,2.35,229,0.18,9,16.093,259.2
28,2020-09-09 15:00:00,Clear,clear-day,0.0066,0.01,rain,21.36,22.23,21.36,1.0,1006.7,1.62,2.41,226,0.2,6,16.093,258.8
29,2020-09-09 16:00:00,Clear,clear-day,0.0136,0.02,rain,20.14,21.34,20.14,1.0,1006.4,1.6,2.61,192,0.22,3,16.093,258.5
30,2020-09-09 17:00:00,Clear,clear-day,0.0274,0.02,rain,18.52,20.23,18.52,1.0,1006.5,1.55,2.78,141,0.22,1,16.093,258.2
31,2020-09-09 18:00:00,Clear,clear-day,0.0404,0.03,rain,16.97,18.91,16.97,1.0,1006.9,1.39,2.6,115,0.21,0,16.093,257.7
32,2020-09-09 19:00:00,Clear,clear-night,0.0443,0.03,rain,15.25,17.28,15.25,1.0,1008.1,1.08,1.93,113,0.19,0,16.093,256.6
33,2020-09-09 20:00:00,Clear,clear-night,0.0427,0.04,rain,13.92,15.85,13.92,1.0,1009.5,0.74,1.12,55,0.16,0,16.093,255.5
34,2020-09-09 21:00:00,Clear,clear-night,0.034,0.04,rain,12.9,14.66,12.9,1.0,1010.5,0.55,0.65,26,0.18,0,16.093,254.3
35,2020-09-09 22:00:00,Clear,clear-night,0.0174,0.03,rain,12.54,14.11,12.54,1.0,1010.8,0.56,0.61,34,0.25,0,14.607,253.0
36,2020-09-09 23:00:00,Partly Cloudy,partly-cloudy-night,0.0067,0.02,rain,12.47,13.83,12.47,1.0,1010.9,0.64,0.75,75,0.34,0,10.924,251.8
37,2020-09-10 00:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,12.32,13.5,12.32,1.0,1010.7,0.69,0.84,85,0.44,0,8.782,251.2
38,2020-09-10 01:00:00,Partly Cloudy,partly-cloudy-night,0.0099,0.03,rain,12.19,13.24,12.19,1.0,1010.6,0.66,0.82,73,0.56,0,8.778,251.4
39,2020-09-10 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0267,0.03,rain,12.17,13.15,12.17,1.0,1010.6,0.62,0.82,46,0.67,0,9.615,252.0
40,2020-09-10 03:00:00,Mostly Cloudy,partly-cloudy-night,0.0357,0.03,rain,12.22,13.12,12.22,1.0,1010.5,0.59,0.79,26,0.71,0,9.857,252.5
41,2020-09-10 04:00:00,Mostly Cloudy,partly-cloudy-night,0.0213,0.03,rain,11.85,12.66,11.85,1.0,1010.5,0.58,0.72,24,0.68,0,8.922,252.9
42,2020-09-10 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0079,0.02,rain,11.47,12.26,11.47,1.0,1010.5,0.58,0.68,28,0.61,0,8.366,253.2
43,2020-09-10 06:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,11.3,12.16,11.3,1.0,1010.4,0.63,0.69,56,0.55,0,9.589,253.1
44,2020-09-10 07:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,12.12,13.07,12.12,1.0,1010.1,0.73,0.74,121,0.51,0,14.741,252.4
45,2020-09-10 08:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,13.55,14.65,13.55,1.0,1009.7,0.85,0.86,153,0.47,2,16.093,251.4
46,2020-09-10 09:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,14.99,16.19,14.99,1.0,1009.4,1.02,1.04,170,0.43,4,16.093,250.5
47,2020-09-10 10:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,16.45,17.67,16.45,1.0,1008.6,1.26,1.38,247,0.39,7,16.093,250.1
48,2020-09-10 11:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,18.12,19.28,18.12,1.0,1007.5,1.51,1.85,237,0.36,9,16.093,249.6
