,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0402,0.03,rain,26.3,29.09,25.46,0.95,1009.9,1.3,1.56,206,0.67,7,16.093,266.4
1,2020-09-08 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0837,0.03,rain,27.14,31.87,25.67,0.92,1009.7,1.47,1.9,216,0.68,7,16.093,266.1
2,2020-09-08 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2225,0.04,rain,27.43,33.24,26.5,0.95,1009.1,1.42,1.89,224,0.79,6,16.093,265.6
3,2020-09-08 14:00:00,Humid and Overcast,cloudy,0.4753,0.06,rain,27.17,34.44,27.17,1.0,1008.4,1.27,1.76,228,0.92,5,16.093,265.3
4,2020-09-08 15:00:00,Humid and Overcast,cloudy,0.6599,0.06,rain,26.66,33.87,26.66,1.0,1007.8,1.12,1.6,232,1.0,4,16.093,265.2
5,2020-09-08 16:00:00,Humid and Overcast,cloudy,0.6631,0.07,rain,26.12,30.06,26.12,1.0,1007.5,0.99,1.45,240,1.0,2,15.059,265.4
6,2020-09-08 17:00:00,Humid and Overcast,cloudy,0.6232,0.08,rain,26.01,29.54,26.01,1.0,1007.3,0.85,1.27,244,1.0,1,12.619,265.9
7,2020-09-08 18:00:00,Humid and Overcast,cloudy,0.5235,0.07,rain,25.24,25.98,25.24,1.0,1007.5,0.73,1.14,231,0.99,0,12.736,266.0
8,2020-09-08 19:00:00,Humid and Overcast,cloudy,0.3014,0.05,rain,24.32,26.43,24.32,1.0,1008.3,0.65,1.08,196,0.99,0,16.093,265.7
9,2020-09-08 20:00:00,Humid and Overcast,cloudy,0.121,0.05,rain,23.36,25.24,23.36,1.0,1009.3,0.57,1.04,157,1.0,0,16.093,265.3
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.0658,0.05,rain,22.73,24.47,22.73,1.0,1009.9,0.51,1.01,131,1.0,0,16.093,265.2
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.0517,0.05,rain,22.54,24.2,22.54,1.0,1010.3,0.45,0.99,95,1.0,0,16.093,265.5
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.042,0.05,rain,22.41,23.92,22.41,1.0,1010.4,0.41,0.99,62,1.0,0,16.093,265.9
13,2020-09-09 00:00:00,Overcast,cloudy,0.0442,0.05,rain,22.2,23.56,22.2,1.0,1010.4,0.39,1.01,47,1.0,0,16.093,266.2
14,2020-09-09 01:00:00,Overcast,cloudy,0.0655,0.05,rain,22.03,23.27,22.03,1.0,1010.4,0.41,1.05,43,1.0,0,16.093,266.5
15,2020-09-09 02:00:00,Overcast,cloudy,0.0977,0.05,rain,21.89,23.05,21.89,1.0,1010.1,0.45,1.12,49,0.99,0,16.093,266.7
16,2020-09-09 03:00:00,Overcast,cloudy,0.1087,0.05,rain,21.6,22.68,21.6,1.0,1010.0,0.51,1.2,50,0.98,0,16.093,267.0
17,2020-09-09 04:00:00,Overcast,cloudy,0.0865,0.05,rain,21.12,22.12,21.12,1.0,1010.0,0.59,1.33,39,0.97,0,16.093,267.4
18,2020-09-09 05:00:00,Overcast,cloudy,0.0591,0.05,rain,20.58,21.5,20.58,1.0,1010.1,0.66,1.44,31,0.95,0,16.093,267.8
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-night,0.0396,0.05,rain,20.27,21.18,20.27,1.0,1010.2,0.7,1.36,50,0.87,0,16.093,267.9
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.023,0.04,rain,20.71,21.67,20.71,1.0,1010.3,0.63,0.96,102,0.6,0,16.093,267.7
21,2020-09-09 08:00:00,Clear,clear-day,0.0131,0.03,rain,22.06,23.14,22.06,1.0,1010.4,0.57,0.57,177,0.3,2,16.093,267.3
22,2020-09-09 09:00:00,Humid,clear-day,0.0116,0.03,rain,23.31,24.47,23.31,1.0,1010.2,0.67,0.67,220,0.1,4,16.093,266.7
23,2020-09-09 10:00:00,Humid,clear-day,0.0301,0.03,rain,24.76,26.04,24.76,1.0,1010.2,1.0,1.07,224,0.05,7,16.093,265.7
24,2020-09-09 11:00:00,Humid,clear-day,0.0935,0.03,rain,26.05,28.34,25.31,0.96,1009.9,1.39,1.73,213,0.06,10,16.093,264.7
25,2020-09-09 12:00:00,Humid,clear-day,0.1706,0.04,rain,27.15,31.71,25.47,0.91,1009.2,1.6,2.16,216,0.11,11,16.093,263.9
26,2020-09-09 13:00:00,Humid,clear-day,0.2321,0.04,rain,27.83,33.4,25.97,0.9,1008.3,1.58,2.18,223,0.21,10,16.093,263.6
