,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Partly Cloudy,partly-cloudy-day,0.0096,0.02,rain,16.68,16.97,16.43,0.98,1010.7,1.45,1.75,337,0.34,9,16.093,260.0
1,2020-09-08 12:00:00,Clear,clear-day,0.0213,0.02,rain,18.43,18.72,17.04,0.92,1010.0,1.69,2.31,325,0.28,11,16.093,259.8
2,2020-09-08 13:00:00,Clear,clear-day,0.0501,0.03,rain,18.91,19.35,18.15,0.95,1009.1,1.81,2.73,344,0.28,10,16.093,259.5
3,2020-09-08 14:00:00,Clear,clear-day,0.0985,0.04,rain,18.18,18.91,18.18,1.0,1008.2,1.88,3.07,295,0.3,9,16.093,259.3
4,2020-09-08 15:00:00,Clear,clear-day,0.1455,0.05,rain,16.94,17.96,16.94,1.0,1007.9,1.85,3.15,321,0.31,6,16.093,259.2
5,2020-09-08 16:00:00,Clear,clear-day,0.1832,0.06,rain,15.48,16.79,15.48,1.0,1007.9,1.7,2.9,353,0.3,3,16.093,259.2
6,2020-09-08 17:00:00,Clear,clear-day,0.2065,0.07,rain,14.44,15.92,14.44,1.0,1008.3,1.5,2.48,18,0.3,1,16.093,259.3
7,2020-09-08 18:00:00,Clear,clear-day,0.1798,0.06,rain,13.2,14.7,13.2,1.0,1009.0,1.34,2.14,31,0.3,0,16.093,259.3
8,2020-09-08 19:00:00,Clear,clear-night,0.0934,0.05,rain,11.95,13.28,11.95,1.0,1010.0,1.24,1.86,105,0.3,0,16.093,259.4
9,2020-09-08 20:00:00,Partly Cloudy,partly-cloudy-night,0.0241,0.03,rain,10.59,11.75,10.59,1.0,1011.4,1.17,1.57,91,0.32,0,16.093,259.6
10,2020-09-08 21:00:00,Partly Cloudy,partly-cloudy-night,0.004,0.01,rain,9.49,10.47,9.49,1.0,1012.1,1.13,1.38,82,0.35,0,16.093,259.6
11,2020-09-08 22:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,8.8,9.53,8.8,1.0,1012.2,1.11,1.3,84,0.41,0,16.093,259.6
12,2020-09-08 23:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,8.43,8.91,8.43,1.0,1012.3,1.1,1.27,89,0.49,0,16.093,259.6
13,2020-09-09 00:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,8.11,8.42,8.11,1.0,1012.4,1.08,1.24,92,0.58,0,16.093,259.9
14,2020-09-09 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,7.87,8.08,7.87,1.0,1012.0,1.06,1.18,91,0.71,0,16.093,260.6
15,2020-09-09 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,7.97,8.14,7.97,1.0,1011.6,1.02,1.14,88,0.83,0,16.093,261.6
16,2020-09-09 03:00:00,Overcast,cloudy,0.0,0.0,,8.04,8.12,8.04,1.0,1011.7,1.03,1.16,86,0.9,0,16.093,262.5
17,2020-09-09 04:00:00,Overcast,cloudy,0.0,0.0,,7.52,7.54,7.52,1.0,1012.4,1.1,1.31,85,0.9,0,16.093,263.5
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,7.1,7.13,7.1,1.0,1012.9,1.17,1.51,84,0.84,0,16.093,264.5
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-night,0.0073,0.02,rain,7.1,7.22,7.1,1.0,1013.0,1.15,1.52,87,0.73,0,16.093,265.0
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.0055,0.02,rain,8.31,8.49,8.31,1.0,1012.9,0.98,1.24,100,0.51,0,16.093,265.0
21,2020-09-09 08:00:00,Clear,clear-day,0.0,0.0,,10.3,10.53,10.3,1.0,1012.7,0.78,0.96,109,0.27,2,16.093,264.6
22,2020-09-09 09:00:00,Clear,clear-day,0.0,0.0,,12.4,12.64,12.4,1.0,1011.8,0.78,0.91,11,0.11,5,16.093,263.8
23,2020-09-09 10:00:00,Clear,clear-day,0.0,0.0,,14.39,14.56,14.39,1.0,1011.0,1.04,1.22,342,0.07,8,16.093,262.4
