,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1048,0.04,rain,25.31,26.56,23.59,0.9,1009.8,0.82,1.11,175,0.62,7,16.093,265.4
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1963,0.04,rain,26.99,29.97,23.81,0.83,1009.3,0.93,1.31,202,0.59,8,16.093,264.6
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3093,0.05,rain,28.09,32.35,24.34,0.8,1008.4,1.06,1.5,211,0.5,8,16.093,264.2
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4376,0.06,rain,28.48,33.45,24.85,0.81,1007.6,1.16,1.65,214,0.41,7,16.093,263.9
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5192,0.06,rain,27.87,32.97,25.5,0.87,1007.0,1.16,1.71,211,0.35,5,16.093,264.1
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5235,0.07,rain,26.94,31.73,26.39,0.97,1006.7,1.02,1.62,206,0.33,2,16.093,265.2
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5012,0.07,rain,25.87,28.38,25.87,1.0,1006.6,0.83,1.48,248,0.34,1,15.554,266.4
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4911,0.06,rain,24.77,26.11,24.77,1.0,1006.9,0.7,1.39,220,0.4,0,13.58,267.0
8,2020-09-08 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.4917,0.06,rain,23.58,24.97,23.58,1.0,1007.9,0.65,1.39,184,0.52,0,12.433,266.8
9,2020-09-08 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4831,0.07,rain,22.6,23.88,22.6,1.0,1009.1,0.63,1.41,65,0.67,0,11.835,266.3
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.4555,0.07,rain,21.75,22.89,21.75,1.0,1009.9,0.6,1.37,29,0.77,0,12.258,265.7
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.4036,0.08,rain,21.25,22.29,21.25,1.0,1010.2,0.53,1.24,38,0.82,0,14.026,265.2
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.343,0.1,rain,21.04,22.0,21.04,1.0,1010.2,0.47,1.1,58,0.84,0,16.093,264.5
13,2020-09-09 00:00:00,Overcast,cloudy,0.2927,0.1,rain,20.87,21.76,20.87,1.0,1010.2,0.43,0.96,61,0.88,0,16.093,263.8
14,2020-09-09 01:00:00,Overcast,cloudy,0.2614,0.09,rain,20.67,21.49,20.67,1.0,1010.1,0.42,0.83,56,0.93,0,16.093,262.8
15,2020-09-09 02:00:00,Overcast,cloudy,0.2419,0.08,rain,20.36,21.12,20.36,1.0,1009.9,0.43,0.72,50,0.97,0,16.093,261.8
16,2020-09-09 03:00:00,Overcast,cloudy,0.2133,0.08,rain,20.06,20.74,20.06,1.0,1009.8,0.43,0.67,43,0.99,0,16.093,261.6
17,2020-09-09 04:00:00,Overcast,cloudy,0.1656,0.08,rain,19.64,20.28,19.64,1.0,1009.8,0.41,0.72,35,0.98,0,16.093,262.6
18,2020-09-09 05:00:00,Overcast,cloudy,0.1359,0.08,rain,19.22,19.85,19.22,1.0,1010.0,0.4,0.8,25,0.95,0,16.093,264.0
19,2020-09-09 06:00:00,Overcast,cloudy,0.1286,0.06,rain,18.91,19.55,18.91,1.0,1010.2,0.42,0.83,36,0.88,0,16.093,265.0
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.1233,0.06,rain,19.7,20.4,19.7,1.0,1010.6,0.48,0.78,93,0.76,1,16.093,265.5
21,2020-09-09 08:00:00,Mostly Cloudy,partly-cloudy-day,0.1231,0.07,rain,21.25,22.05,21.25,1.0,1010.9,0.56,0.74,157,0.61,2,16.093,265.7
22,2020-09-09 09:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1356,0.06,rain,22.77,23.65,22.38,0.98,1010.9,0.67,0.83,193,0.5,4,16.093,265.2
23,2020-09-09 10:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1657,0.06,rain,23.94,24.87,23.23,0.96,1010.4,0.84,1.05,202,0.44,7,16.093,263.6
24,2020-09-09 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2277,0.06,rain,25.29,26.43,23.7,0.91,1009.7,1.02,1.35,201,0.41,9,15.432,261.6
25,2020-09-09 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3332,0.06,rain,26.23,28.51,23.93,0.87,1008.8,1.15,1.6,203,0.44,9,15.055,260.3
26,2020-09-09 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.507,0.07,rain,26.72,29.88,24.5,0.88,1007.9,1.21,1.8,212,0.56,8,15.119,259.9
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7179,0.08,rain,26.41,29.22,25.02,0.92,1006.9,1.23,1.95,217,0.72,6,15.333,260.0
28,2020-09-09 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8304,0.09,rain,25.79,27.76,25.58,0.99,1006.2,1.18,2.0,203,0.83,4,15.181,260.0
29,2020-09-09 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7797,0.1,rain,25.24,26.53,25.24,1.0,1005.7,1.04,1.9,162,0.87,2,14.529,259.9
30,2020-09-09 17:00:00,Humid and Overcast,cloudy,0.677,0.09,rain,24.92,26.35,24.92,1.0,1005.4,0.86,1.74,122,0.89,1,13.677,259.8
31,2020-09-09 18:00:00,Humid and Overcast,cloudy,0.6177,0.09,rain,24.11,25.52,24.11,1.0,1005.6,0.77,1.66,215,0.91,0,12.746,259.7
32,2020-09-09 19:00:00,Humid and Overcast,cloudy,0.5923,0.1,rain,23.3,24.62,23.3,1.0,1006.6,0.78,1.69,345,0.95,0,11.424,259.6
33,2020-09-09 20:00:00,Humid and Overcast,cloudy,0.5673,0.1,rain,22.41,23.63,22.41,1.0,1007.7,0.82,1.74,355,0.98,0,10.373,259.6
34,2020-09-09 21:00:00,Overcast,cloudy,0.5303,0.1,rain,21.62,22.7,21.62,1.0,1008.4,0.82,1.7,349,0.99,0,11.132,259.2
35,2020-09-09 22:00:00,Overcast,cloudy,0.4946,0.12,rain,21.1,22.03,21.1,1.0,1008.5,0.78,1.54,349,0.99,0,14.446,258.2
36,2020-09-09 23:00:00,Overcast,cloudy,0.4561,0.12,rain,20.82,21.62,20.82,1.0,1008.2,0.74,1.33,352,0.99,0,16.093,257.1
37,2020-09-10 00:00:00,Overcast,cloudy,0.3689,0.11,rain,20.48,21.19,20.48,1.0,1008.0,0.68,1.13,338,1.0,0,16.093,256.4
38,2020-09-10 01:00:00,Overcast,cloudy,0.2173,0.11,rain,19.99,20.61,19.71,0.98,1007.7,0.6,0.94,340,1.0,0,16.093,256.2
39,2020-09-10 02:00:00,Overcast,cloudy,0.0943,0.12,rain,19.31,19.83,18.81,0.97,1007.3,0.52,0.8,355,1.0,0,16.093,256.4
40,2020-09-10 03:00:00,Overcast,cloudy,0.0505,0.08,rain,18.89,19.32,18.13,0.95,1007.1,0.47,0.71,359,1.0,0,16.093,256.8
41,2020-09-10 04:00:00,Overcast,cloudy,0.065,0.08,rain,18.56,18.95,17.7,0.95,1007.2,0.45,0.69,359,0.99,0,16.093,257.8
42,2020-09-10 05:00:00,Overcast,cloudy,0.1105,0.08,rain,18.21,18.57,17.44,0.95,1007.5,0.45,0.73,2,0.99,0,16.093,258.9
43,2020-09-10 06:00:00,Overcast,cloudy,0.1287,0.08,rain,17.93,18.29,17.32,0.96,1007.6,0.47,0.77,26,0.97,0,16.093,259.6
44,2020-09-10 07:00:00,Overcast,cloudy,0.0902,0.07,rain,18.98,19.4,18.09,0.95,1007.8,0.52,0.76,74,0.91,1,16.093,259.7
45,2020-09-10 08:00:00,Mostly Cloudy,partly-cloudy-day,0.0641,0.05,rain,20.65,21.18,19.34,0.92,1008.0,0.58,0.76,137,0.84,2,16.093,259.6
46,2020-09-10 09:00:00,Mostly Cloudy,partly-cloudy-day,0.0747,0.04,rain,22.37,23.02,20.68,0.9,1007.8,0.68,0.87,196,0.78,4,16.093,259.3
47,2020-09-10 10:00:00,Mostly Cloudy,partly-cloudy-day,0.0966,0.04,rain,23.92,24.61,21.71,0.87,1007.3,0.83,1.12,173,0.73,6,16.093,258.7
48,2020-09-10 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1331,0.05,rain,25.4,26.47,22.46,0.84,1006.6,1.01,1.42,175,0.7,7,16.093,258.1
