,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid,clear-day,0.5241,0.11,rain,28.88,36.59,26.91,0.89,1009.1,1.05,1.47,182,0.2,9,16.093,269.6
1,2020-09-08 12:00:00,Humid,clear-day,0.5802,0.1,rain,29.93,38.16,26.63,0.83,1008.8,1.12,1.5,210,0.19,10,16.093,269.4
2,2020-09-08 13:00:00,Humid,clear-day,0.3864,0.1,rain,30.81,39.25,26.31,0.77,1008.2,1.2,1.67,207,0.13,10,16.093,269.2
3,2020-09-08 14:00:00,Humid,clear-day,0.1851,0.09,rain,31.34,39.86,26.15,0.74,1007.3,1.27,1.9,181,0.06,8,16.093,269.1
4,2020-09-08 15:00:00,Humid,clear-day,0.1111,0.08,rain,31.2,39.99,26.38,0.76,1006.7,1.29,2.04,148,0.05,6,16.093,269.2
5,2020-09-08 16:00:00,Humid,clear-day,0.1416,0.1,rain,30.63,40.05,27.04,0.81,1006.3,1.26,2.05,138,0.13,3,16.093,269.6
6,2020-09-08 17:00:00,Humid,clear-day,0.2148,0.11,rain,29.87,39.48,27.57,0.88,1006.2,1.2,2.02,126,0.24,1,16.093,270.0
7,2020-09-08 18:00:00,Humid,clear-day,0.2195,0.12,rain,29.21,38.36,27.67,0.91,1006.2,1.17,2.02,191,0.28,0,16.093,270.1
8,2020-09-08 19:00:00,Humid,clear-night,0.1162,0.08,rain,28.27,35.66,27.08,0.93,1006.7,1.2,2.05,131,0.24,0,16.093,269.8
9,2020-09-08 20:00:00,Humid,clear-night,0.0401,0.04,rain,27.4,32.85,26.2,0.93,1007.4,1.23,2.1,64,0.17,0,16.093,269.4
10,2020-09-08 21:00:00,Humid,clear-night,0.0237,0.03,rain,26.85,31.16,25.57,0.93,1007.7,1.24,2.15,59,0.19,0,16.093,269.1
11,2020-09-08 22:00:00,Humid,clear-night,0.012,0.03,rain,26.66,30.37,25.22,0.92,1007.8,1.27,2.17,56,0.3,0,16.093,269.1
12,2020-09-08 23:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0081,0.03,rain,26.55,29.52,24.96,0.91,1007.8,1.28,2.19,52,0.45,0,16.093,269.0
13,2020-09-09 00:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0131,0.03,rain,26.37,29.04,24.73,0.91,1007.8,1.28,2.21,51,0.58,0,16.093,269.1
14,2020-09-09 01:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.012,0.03,rain,26.14,28.44,24.56,0.91,1007.7,1.25,2.22,49,0.71,0,16.093,269.6
15,2020-09-09 02:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0105,0.03,rain,25.9,27.84,24.47,0.92,1007.6,1.22,2.23,51,0.82,0,16.093,270.2
16,2020-09-09 03:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0157,0.03,rain,25.57,27.03,24.36,0.93,1007.6,1.16,2.22,65,0.84,0,16.093,270.8
17,2020-09-09 04:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0527,0.05,rain,25.02,26.01,24.12,0.95,1008.1,1.07,2.21,100,0.74,0,16.093,271.4
18,2020-09-09 05:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1373,0.07,rain,24.59,25.65,24.19,0.98,1008.2,0.98,2.18,203,0.58,0,16.093,272.2
19,2020-09-09 06:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.2051,0.09,rain,24.56,25.64,24.56,1.0,1008.4,0.95,2.07,285,0.41,0,16.093,272.5
20,2020-09-09 07:00:00,Humid,clear-day,0.2037,0.08,rain,25.26,26.73,25.26,1.0,1008.8,1.03,1.85,201,0.25,0,16.093,272.6
21,2020-09-09 08:00:00,Humid,clear-day,0.1956,0.07,rain,26.51,30.04,26.11,0.98,1009.3,1.13,1.58,144,0.08,2,16.093,272.4
22,2020-09-09 09:00:00,Humid,clear-day,0.2006,0.07,rain,27.49,33.6,26.64,0.95,1009.5,1.21,1.4,135,0.0,4,16.093,271.8
23,2020-09-09 10:00:00,Humid,clear-day,0.2164,0.08,rain,28.4,35.65,26.9,0.92,1009.4,1.26,1.3,151,0.0,7,16.093,270.6
24,2020-09-09 11:00:00,Humid,clear-day,0.2605,0.08,rain,29.31,37.44,26.93,0.87,1009.0,1.31,1.31,170,0.0,9,16.093,269.1
25,2020-09-09 12:00:00,Humid,clear-day,0.2704,0.07,rain,30.35,39.18,26.8,0.81,1008.4,1.35,1.42,183,0.06,10,16.093,268.0
