,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0215,0.03,rain,24.02,24.89,22.91,0.94,1009.6,1.8,2.05,253,0.49,8,16.093,262.8
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0558,0.03,rain,25.53,26.74,23.81,0.9,1009.3,2.09,2.55,242,0.5,9,13.451,262.5
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1252,0.04,rain,26.35,28.96,24.55,0.9,1008.8,2.16,2.68,243,0.59,8,11.737,262.2
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2243,0.05,rain,26.6,29.83,25.34,0.93,1008.1,2.11,2.64,240,0.7,6,10.909,262.1
4,2020-09-08 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2976,0.06,rain,25.96,28.19,25.96,1.0,1007.6,1.97,2.46,239,0.76,5,11.763,262.1
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3186,0.07,rain,25.01,25.77,25.01,1.0,1007.4,1.71,2.12,245,0.77,3,14.946,262.4
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2994,0.07,rain,23.76,25.61,23.76,1.0,1007.5,1.39,1.75,249,0.75,1,16.093,262.8
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2275,0.06,rain,22.45,24.34,22.45,1.0,1007.9,1.1,1.41,245,0.74,0,16.093,262.9
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.1032,0.04,rain,21.13,23.1,21.13,1.0,1008.7,0.83,1.06,236,0.74,0,16.093,262.9
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.0183,0.02,rain,19.85,21.79,19.85,1.0,1009.4,0.58,0.81,189,0.75,0,16.093,262.7
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,18.91,20.74,18.91,1.0,1009.9,0.47,0.82,122,0.78,0,16.093,262.8
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,18.49,20.11,18.49,1.0,1010.2,0.56,1.03,103,0.82,0,16.093,263.2
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.0097,0.02,rain,18.29,19.69,18.29,1.0,1010.5,0.74,1.33,78,0.86,0,16.093,263.7
13,2020-09-09 00:00:00,Overcast,cloudy,0.0156,0.02,rain,18.09,19.25,18.09,1.0,1010.6,0.9,1.59,62,0.89,0,16.093,264.2
14,2020-09-09 01:00:00,Overcast,cloudy,0.0122,0.02,rain,17.94,18.89,17.94,1.0,1010.4,1.0,1.78,53,0.9,0,16.093,264.6
15,2020-09-09 02:00:00,Overcast,cloudy,0.0077,0.01,rain,17.81,18.6,17.81,1.0,1010.3,1.09,1.95,48,0.9,0,16.093,265.1
16,2020-09-09 03:00:00,Overcast,cloudy,0.0066,0.01,rain,17.94,18.63,17.94,1.0,1010.3,1.16,2.07,43,0.91,0,16.093,265.7
17,2020-09-09 04:00:00,Overcast,cloudy,0.0061,0.01,rain,17.56,18.15,17.56,1.0,1010.3,1.19,2.16,34,0.93,0,16.093,266.4
18,2020-09-09 05:00:00,Overcast,cloudy,0.0068,0.02,rain,16.94,17.47,16.94,1.0,1010.4,1.21,2.18,30,0.93,0,16.093,267.2
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-night,0.007,0.02,rain,16.75,17.28,16.75,1.0,1010.5,1.18,2.01,47,0.83,0,16.093,267.6
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.0053,0.01,rain,17.63,18.13,17.63,1.0,1010.7,1.08,1.51,89,0.55,0,16.093,267.6
21,2020-09-09 08:00:00,Clear,clear-day,0.0,0.0,,19.2,19.7,18.66,0.97,1010.8,0.98,1.02,171,0.23,2,16.093,267.2
22,2020-09-09 09:00:00,Clear,clear-day,0.0,0.0,,20.95,21.47,19.36,0.91,1010.7,1.07,1.07,259,0.05,4,16.093,266.4
23,2020-09-09 10:00:00,Clear,clear-day,0.0102,0.01,rain,22.66,23.23,20.23,0.86,1010.1,1.42,1.44,257,0.06,7,16.093,265.0
24,2020-09-09 11:00:00,Clear,clear-day,0.0255,0.02,rain,24.69,25.27,21.04,0.8,1009.6,1.85,1.97,249,0.13,10,16.093,263.4
25,2020-09-09 12:00:00,Clear,clear-day,0.0441,0.02,rain,26.11,27.11,21.96,0.78,1008.8,2.13,2.35,244,0.22,10,16.093,262.1
26,2020-09-09 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0645,0.02,rain,26.85,29.41,22.94,0.79,1008.0,2.22,2.47,243,0.35,9,16.093,261.3
27,2020-09-09 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0939,0.03,rain,26.81,29.74,24.15,0.85,1007.1,2.2,2.49,241,0.5,7,16.093,260.7
28,2020-09-09 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1235,0.04,rain,26.0,28.35,25.41,0.97,1006.5,2.1,2.43,240,0.59,5,16.093,260.4
29,2020-09-09 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1482,0.05,rain,24.77,26.16,24.77,1.0,1006.1,1.89,2.26,241,0.6,3,15.903,260.2
30,2020-09-09 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1627,0.05,rain,23.54,25.4,23.54,1.0,1006.0,1.6,2.01,241,0.59,1,12.809,260.2
31,2020-09-09 18:00:00,Mostly Cloudy,partly-cloudy-day,0.1505,0.05,rain,22.11,24.16,22.11,1.0,1006.3,1.3,1.73,235,0.62,0,11.47,260.3
32,2020-09-09 19:00:00,Mostly Cloudy,partly-cloudy-night,0.1067,0.04,rain,20.96,23.1,20.96,1.0,1007.2,0.96,1.37,224,0.73,0,12.579,260.4
33,2020-09-09 20:00:00,Mostly Cloudy,partly-cloudy-night,0.0615,0.03,rain,19.79,21.9,19.79,1.0,1008.2,0.63,1.01,187,0.85,0,14.615,260.5
34,2020-09-09 21:00:00,Overcast,cloudy,0.0341,0.02,rain,18.92,20.92,18.92,1.0,1008.6,0.46,0.88,124,0.92,0,16.046,260.2
35,2020-09-09 22:00:00,Overcast,cloudy,0.0181,0.02,rain,18.52,20.36,18.52,1.0,1008.8,0.5,1.05,93,0.92,0,16.093,259.4
36,2020-09-09 23:00:00,Overcast,cloudy,0.0124,0.02,rain,18.36,20.02,18.36,1.0,1008.6,0.64,1.35,63,0.88,0,16.093,258.4
37,2020-09-10 00:00:00,Mostly Cloudy,partly-cloudy-night,0.0126,0.02,rain,18.16,19.56,18.16,1.0,1008.3,0.78,1.6,43,0.77,0,16.093,257.8
38,2020-09-10 01:00:00,Partly Cloudy,partly-cloudy-night,0.0127,0.02,rain,17.96,19.12,17.96,1.0,1008.0,0.88,1.79,37,0.58,0,16.093,257.5
39,2020-09-10 02:00:00,Partly Cloudy,partly-cloudy-night,0.0117,0.02,rain,17.76,18.7,17.76,1.0,1007.6,0.98,1.96,38,0.35,0,16.093,257.4
40,2020-09-10 03:00:00,Clear,clear-night,0.0088,0.01,rain,17.73,18.51,17.73,1.0,1007.4,1.08,2.1,38,0.2,0,16.093,257.5
41,2020-09-10 04:00:00,Clear,clear-night,0.0,0.0,,17.12,17.76,17.12,1.0,1007.3,1.19,2.21,37,0.16,0,16.093,257.8
42,2020-09-10 05:00:00,Clear,clear-night,0.0,0.0,,16.33,16.85,16.33,1.0,1007.1,1.29,2.27,41,0.15,0,16.093,258.3
43,2020-09-10 06:00:00,Clear,clear-night,0.0,0.0,,16.08,16.58,16.08,1.0,1006.7,1.3,2.1,61,0.13,0,16.093,258.2
44,2020-09-10 07:00:00,Clear,clear-day,0.0,0.0,,17.29,17.79,17.29,1.0,1007.0,1.16,1.59,103,0.08,0,16.093,257.3
