,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0339,0.03,rain,23.13,24.05,22.83,0.98,1010.2,1.61,2.2,290,0.43,8,15.608,262.0
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0797,0.03,rain,24.99,26.08,23.66,0.92,1009.6,1.86,2.78,259,0.42,9,14.277,261.7
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1621,0.04,rain,25.98,27.94,24.25,0.9,1008.9,1.88,2.83,261,0.5,9,16.093,261.8
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2686,0.05,rain,26.25,28.72,24.82,0.92,1008.1,1.79,2.67,252,0.61,7,16.093,262.0
4,2020-09-08 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3237,0.07,rain,25.57,27.3,25.57,1.0,1007.6,1.66,2.47,247,0.67,5,16.093,262.1
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2897,0.07,rain,24.5,25.94,24.5,1.0,1007.5,1.49,2.28,253,0.67,3,16.093,262.1
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2137,0.06,rain,23.08,24.81,23.08,1.0,1007.6,1.27,2.03,258,0.64,1,16.077,262.0
7,2020-09-08 18:00:00,Mostly Cloudy,partly-cloudy-day,0.1328,0.05,rain,21.6,23.42,21.6,1.0,1007.9,1.05,1.71,254,0.63,0,14.639,261.9
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.0509,0.04,rain,20.06,21.95,20.06,1.0,1008.8,0.82,1.29,257,0.65,0,16.093,261.9
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.0049,0.02,rain,18.58,20.41,18.58,1.0,1009.6,0.62,0.86,42,0.68,0,16.093,261.8
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,17.42,19.09,17.42,1.0,1009.8,0.57,0.68,48,0.72,0,16.093,261.9
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,16.8,18.19,16.8,1.0,1010.2,0.67,0.8,44,0.77,0,16.093,262.3
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,16.48,17.65,16.48,1.0,1010.8,0.84,1.06,46,0.82,0,16.093,262.7
13,2020-09-09 00:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,16.25,17.2,16.25,1.0,1010.9,1.01,1.33,47,0.87,0,16.093,263.2
14,2020-09-09 01:00:00,Overcast,cloudy,0.0,0.0,,16.09,16.85,16.09,1.0,1010.8,1.14,1.62,46,0.9,0,16.093,263.8
15,2020-09-09 02:00:00,Overcast,cloudy,0.0,0.0,,15.93,16.49,15.93,1.0,1010.2,1.27,1.9,45,0.91,0,16.093,264.4
16,2020-09-09 03:00:00,Overcast,cloudy,0.0,0.0,,16.04,16.43,16.04,1.0,1010.0,1.37,2.11,43,0.92,0,16.093,265.1
17,2020-09-09 04:00:00,Overcast,cloudy,0.0,0.0,,15.61,15.91,15.61,1.0,1010.7,1.44,2.22,40,0.94,0,16.093,266.0
18,2020-09-09 05:00:00,Overcast,cloudy,0.0,0.0,,15.13,15.41,15.13,1.0,1011.0,1.47,2.25,39,0.94,0,16.093,266.8
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-night,0.0073,0.02,rain,15.01,15.35,15.01,1.0,1011.2,1.4,2.04,48,0.86,0,16.093,267.4
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0055,0.01,rain,16.04,16.43,16.04,1.0,1011.3,1.18,1.49,61,0.6,0,16.093,267.4
21,2020-09-09 08:00:00,Clear,clear-day,0.0,0.0,,17.66,18.12,17.66,1.0,1011.3,0.95,0.95,36,0.31,2,16.093,267.0
22,2020-09-09 09:00:00,Clear,clear-day,0.0,0.0,,19.39,19.9,18.8,0.96,1011.2,0.93,0.93,348,0.14,4,16.093,266.3
23,2020-09-09 10:00:00,Clear,clear-day,0.0,0.0,,21.29,21.85,19.71,0.91,1010.5,1.21,1.26,253,0.13,7,16.093,264.9
24,2020-09-09 11:00:00,Clear,clear-day,0.0075,0.01,rain,23.48,24.1,20.97,0.86,1009.6,1.6,1.92,256,0.19,9,16.093,263.3
25,2020-09-09 12:00:00,Clear,clear-day,0.0184,0.01,rain,25.38,26.29,21.81,0.81,1008.7,1.86,2.41,258,0.26,10,16.093,262.0
26,2020-09-09 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0389,0.02,rain,26.42,28.48,22.55,0.79,1008.0,1.95,2.57,256,0.32,10,16.093,260.9
27,2020-09-09 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0701,0.03,rain,26.71,29.23,23.34,0.82,1007.0,1.96,2.6,252,0.39,8,16.093,260.1
28,2020-09-09 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.097,0.04,rain,26.01,28.13,24.6,0.92,1006.5,1.89,2.55,249,0.44,5,16.093,259.6
29,2020-09-09 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1075,0.04,rain,24.76,26.02,24.76,1.0,1006.1,1.73,2.43,250,0.44,3,16.093,259.5
30,2020-09-09 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.105,0.04,rain,23.27,24.94,23.27,1.0,1006.0,1.51,2.22,250,0.44,1,16.093,259.5
31,2020-09-09 18:00:00,Partly Cloudy,partly-cloudy-day,0.0847,0.04,rain,21.63,23.48,21.63,1.0,1006.3,1.25,1.93,242,0.49,0,16.093,259.5
32,2020-09-09 19:00:00,Mostly Cloudy,partly-cloudy-night,0.0467,0.03,rain,19.93,21.95,19.93,1.0,1007.1,0.91,1.53,239,0.63,0,16.093,259.6
33,2020-09-09 20:00:00,Mostly Cloudy,partly-cloudy-night,0.0164,0.02,rain,18.36,20.45,18.36,1.0,1008.2,0.58,1.12,20,0.79,0,9.788,259.7
34,2020-09-09 21:00:00,Overcast,cloudy,0.006,0.01,rain,17.16,19.16,17.16,1.0,1008.6,0.41,0.89,67,0.89,0,5.627,259.4
35,2020-09-09 22:00:00,Overcast,cloudy,0.0059,0.01,rain,16.68,18.44,16.68,1.0,1008.7,0.49,0.9,58,0.91,0,5.498,258.5
36,2020-09-09 23:00:00,Overcast,cloudy,0.0074,0.01,rain,16.57,18.12,16.57,1.0,1008.9,0.66,1.05,55,0.89,0,6.061,257.5
37,2020-09-10 00:00:00,Mostly Cloudy,partly-cloudy-night,0.0066,0.01,rain,16.41,17.68,16.41,1.0,1008.7,0.82,1.25,53,0.83,0,8.467,256.8
38,2020-09-10 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,16.15,17.14,16.15,1.0,1008.4,0.97,1.55,50,0.71,0,14.124,256.5
39,2020-09-10 02:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,15.79,16.51,15.79,1.0,1008.0,1.12,1.88,48,0.57,0,16.093,256.2
40,2020-09-10 03:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,15.75,16.24,15.75,1.0,1007.8,1.23,2.11,47,0.45,0,16.093,256.3
41,2020-09-10 04:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,15.21,15.54,15.21,1.0,1007.7,1.32,2.21,45,0.38,0,16.093,256.8
42,2020-09-10 05:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,14.74,15.01,14.74,1.0,1007.4,1.36,2.22,45,0.31,0,16.093,257.2
43,2020-09-10 06:00:00,Clear,clear-night,0.0,0.0,,14.71,14.99,14.71,1.0,1007.2,1.29,2.02,54,0.24,0,16.093,257.2
44,2020-09-10 07:00:00,Clear,clear-day,0.0,0.0,,16.06,16.35,16.06,1.0,1007.4,1.03,1.46,62,0.15,0,16.093,256.4
45,2020-09-10 08:00:00,Clear,clear-day,0.0,0.0,,18.04,18.41,17.41,0.96,1007.6,0.75,0.86,12,0.06,2,16.093,255.4
46,2020-09-10 09:00:00,Clear,clear-day,0.0,0.0,,19.93,20.36,18.5,0.92,1007.5,0.73,0.75,339,0.01,5,16.093,254.6
47,2020-09-10 10:00:00,Clear,clear-day,0.0,0.0,,21.7,22.22,19.56,0.88,1007.3,1.09,1.24,255,0.01,8,16.093,254.3
48,2020-09-10 11:00:00,Clear,clear-day,0.014,0.02,rain,23.62,24.24,21.0,0.85,1006.5,1.59,2.01,252,0.04,10,16.093,254.0
