,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0259,0.03,rain,26.84,29.58,23.64,0.83,1009.7,1.64,2.06,231,0.44,8,16.093,263.3
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0666,0.03,rain,28.28,32.75,24.42,0.8,1009.4,1.9,2.57,236,0.45,9,15.229,262.9
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1501,0.04,rain,29.02,34.76,25.19,0.8,1008.9,1.96,2.63,238,0.54,8,15.502,262.8
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2724,0.05,rain,29.04,35.63,25.94,0.83,1008.2,1.92,2.52,234,0.66,6,16.093,262.9
4,2020-09-08 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3669,0.07,rain,28.34,35.64,26.94,0.92,1007.6,1.79,2.3,233,0.74,4,16.093,263.1
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4007,0.07,rain,27.24,34.26,27.24,1.0,1007.4,1.57,1.97,238,0.75,3,15.398,263.3
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3853,0.07,rain,25.94,28.74,25.94,1.0,1007.5,1.29,1.6,241,0.73,1,14.023,263.5
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3018,0.06,rain,24.75,24.87,24.75,1.0,1007.9,1.03,1.32,231,0.73,0,14.316,263.6
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.149,0.05,rain,23.27,25.31,23.27,1.0,1008.6,0.79,0.99,202,0.72,0,16.093,263.4
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.0356,0.03,rain,21.7,23.57,21.7,1.0,1009.5,0.56,0.74,120,0.72,0,16.093,263.2
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.0058,0.01,rain,20.47,22.23,20.47,1.0,1010.1,0.48,0.75,81,0.74,0,16.093,263.3
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,19.86,21.37,19.86,1.0,1010.3,0.57,1.02,73,0.78,0,16.093,263.7
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.01,0.02,rain,19.55,20.82,19.55,1.0,1010.5,0.77,1.39,65,0.84,0,16.093,264.3
13,2020-09-09 00:00:00,Overcast,cloudy,0.0134,0.02,rain,19.36,20.48,19.36,1.0,1010.4,0.95,1.71,57,0.88,0,16.093,264.8
14,2020-09-09 01:00:00,Overcast,cloudy,0.0079,0.02,rain,19.35,20.25,19.35,1.0,1010.4,1.09,1.95,50,0.92,0,16.093,265.2
15,2020-09-09 02:00:00,Overcast,cloudy,0.0,0.0,,19.45,20.17,19.45,1.0,1010.4,1.22,2.15,43,0.94,0,16.093,265.6
16,2020-09-09 03:00:00,Overcast,cloudy,0.0,0.0,,19.65,20.25,19.5,0.99,1010.3,1.31,2.29,36,0.96,0,16.093,266.2
17,2020-09-09 04:00:00,Overcast,cloudy,0.0,0.0,,19.32,19.85,18.94,0.98,1010.3,1.37,2.4,29,0.96,0,16.093,267.1
18,2020-09-09 05:00:00,Overcast,cloudy,0.0,0.0,,18.81,19.31,18.52,0.98,1010.3,1.4,2.43,27,0.95,0,16.093,267.9
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-night,0.0075,0.02,rain,18.75,19.25,18.49,0.98,1010.4,1.34,2.22,42,0.84,0,16.093,268.5
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.0074,0.01,rain,19.77,20.25,18.72,0.94,1010.7,1.17,1.64,75,0.56,0,16.093,268.5
21,2020-09-09 08:00:00,Clear,clear-day,0.0067,0.02,rain,21.6,22.08,19.28,0.87,1010.9,0.98,1.04,105,0.23,2,16.093,268.0
22,2020-09-09 09:00:00,Clear,clear-day,0.0077,0.01,rain,23.6,24.07,19.92,0.8,1010.9,0.99,0.99,265,0.05,4,16.093,267.2
23,2020-09-09 10:00:00,Clear,clear-day,0.0125,0.01,rain,25.34,26.17,20.99,0.77,1010.4,1.28,1.31,221,0.07,7,16.093,265.8
24,2020-09-09 11:00:00,Clear,clear-day,0.0235,0.02,rain,27.15,29.51,22.13,0.74,1009.6,1.66,1.83,232,0.13,9,16.093,264.2
25,2020-09-09 12:00:00,Humid,clear-day,0.0364,0.02,rain,28.67,32.39,23.16,0.72,1008.9,1.91,2.2,237,0.21,10,16.093,262.9
26,2020-09-09 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0547,0.02,rain,29.43,34.33,24.07,0.73,1008.0,2.0,2.31,238,0.35,9,16.093,261.9
27,2020-09-09 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0894,0.03,rain,29.36,35.14,25.0,0.77,1007.2,2.01,2.32,234,0.51,7,16.093,261.2
28,2020-09-09 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1309,0.04,rain,28.56,35.05,26.15,0.87,1006.6,1.93,2.28,233,0.61,5,16.093,260.8
29,2020-09-09 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1719,0.05,rain,27.29,33.83,27.29,1.0,1006.2,1.75,2.11,237,0.62,3,16.093,260.6
30,2020-09-09 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2048,0.05,rain,25.89,28.72,25.89,1.0,1006.1,1.5,1.86,240,0.61,1,16.093,260.5
31,2020-09-09 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1976,0.05,rain,24.52,24.65,24.52,1.0,1006.4,1.23,1.62,229,0.64,0,16.093,260.6
