,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid,clear-day,0.6903,0.12,rain,28.81,36.48,26.93,0.9,1008.9,1.15,1.26,152,0.0,9,16.093,269.7
1,2020-09-08 12:00:00,Humid,clear-day,0.6289,0.12,rain,29.58,37.63,26.72,0.85,1008.6,1.28,1.41,170,0.03,10,16.093,270.1
2,2020-09-08 13:00:00,Humid,clear-day,0.4233,0.1,rain,30.56,39.28,26.61,0.8,1008.0,1.34,1.66,185,0.11,10,16.093,270.5
3,2020-09-08 14:00:00,Humid,clear-day,0.2495,0.09,rain,31.28,40.67,26.73,0.77,1007.2,1.37,2.02,193,0.21,8,16.093,270.8
4,2020-09-08 15:00:00,Humid,clear-day,0.1858,0.08,rain,31.41,41.5,27.1,0.78,1006.6,1.39,2.21,183,0.28,5,16.093,271.0
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1499,0.08,rain,31.09,41.99,27.7,0.82,1006.3,1.39,2.07,148,0.32,3,16.093,271.0
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1143,0.08,rain,30.53,41.55,28.04,0.87,1006.0,1.39,1.83,131,0.34,1,16.093,270.8
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0738,0.07,rain,29.78,40.01,27.98,0.9,1006.1,1.38,1.7,189,0.32,0,16.093,270.4
8,2020-09-08 19:00:00,Humid,clear-night,0.0259,0.03,rain,28.79,37.13,27.39,0.92,1006.4,1.35,1.77,142,0.27,0,16.093,269.9
9,2020-09-08 20:00:00,Humid,clear-night,0.0043,0.02,rain,27.87,34.15,26.52,0.92,1006.9,1.33,1.88,90,0.2,0,16.093,269.2
10,2020-09-08 21:00:00,Humid,clear-night,0.0057,0.01,rain,27.28,32.21,25.83,0.92,1007.3,1.34,1.99,90,0.15,0,16.093,268.8
11,2020-09-08 22:00:00,Humid,clear-night,0.0151,0.02,rain,27.01,31.32,25.44,0.91,1007.7,1.42,2.09,91,0.11,0,16.093,268.8
12,2020-09-08 23:00:00,Humid,clear-night,0.0498,0.03,rain,26.84,30.65,25.16,0.91,1008.2,1.5,2.19,91,0.09,0,16.093,268.9
13,2020-09-09 00:00:00,Humid,clear-night,0.0982,0.04,rain,26.54,29.47,24.87,0.91,1008.3,1.51,2.21,90,0.1,0,16.093,269.3
14,2020-09-09 01:00:00,Humid,clear-night,0.1458,0.04,rain,26.07,28.26,24.57,0.91,1008.3,1.44,2.16,87,0.14,0,16.093,269.7
15,2020-09-09 02:00:00,Humid,clear-night,0.1981,0.04,rain,25.57,27.01,24.27,0.93,1008.2,1.33,2.08,83,0.2,0,16.093,270.3
16,2020-09-09 03:00:00,Humid,clear-night,0.2168,0.05,rain,25.07,26.03,23.98,0.94,1008.1,1.22,2.01,77,0.22,0,16.093,271.0
17,2020-09-09 04:00:00,Humid,clear-night,0.1921,0.06,rain,24.62,25.63,23.85,0.95,1008.1,1.12,2.0,58,0.19,0,16.093,272.0
18,2020-09-09 05:00:00,Humid,clear-night,0.1968,0.07,rain,24.32,25.35,23.83,0.97,1008.2,1.04,1.98,357,0.15,0,16.093,272.9
19,2020-09-09 06:00:00,Humid,clear-night,0.224,0.08,rain,24.46,25.5,24.15,0.98,1008.4,0.96,1.86,359,0.11,0,16.093,273.4
20,2020-09-09 07:00:00,Humid,clear-day,0.2269,0.08,rain,25.12,26.44,25.03,0.99,1008.8,0.87,1.61,53,0.08,0,16.093,273.3
21,2020-09-09 08:00:00,Humid,clear-day,0.2238,0.07,rain,26.21,29.09,25.83,0.98,1009.2,0.83,1.32,92,0.05,2,16.093,273.0
22,2020-09-09 09:00:00,Humid,clear-day,0.2241,0.07,rain,27.11,32.58,26.4,0.96,1009.4,0.89,1.15,121,0.04,4,16.093,272.4
23,2020-09-09 10:00:00,Humid,clear-day,0.2268,0.07,rain,28.06,34.72,26.69,0.92,1009.3,1.1,1.19,148,0.04,7,16.093,271.4
24,2020-09-09 11:00:00,Humid,clear-day,0.2404,0.07,rain,28.94,36.43,26.72,0.88,1008.9,1.37,1.38,169,0.04,9,16.093,270.3
