,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Overcast,cloudy,1.1898,0.16,rain,28.63,35.84,26.7,0.89,1009.0,1.32,1.61,310,1.0,5,16.093,269.8
1,2020-09-08 12:00:00,Humid and Overcast,cloudy,1.2539,0.18,rain,29.46,37.61,26.86,0.86,1008.7,1.2,1.45,297,1.0,5,16.093,269.2
2,2020-09-08 13:00:00,Humid and Overcast,cloudy,0.7811,0.18,rain,29.87,38.63,27.02,0.85,1008.0,1.27,1.85,313,1.0,5,16.093,268.7
3,2020-09-08 14:00:00,Humid and Overcast,cloudy,0.3485,0.16,rain,29.64,38.93,27.49,0.88,1007.2,1.38,2.47,347,1.0,5,15.938,268.3
4,2020-09-08 15:00:00,Humid and Overcast,cloudy,0.2367,0.13,rain,29.4,39.31,28.01,0.92,1006.5,1.36,2.7,78,1.0,4,15.72,268.1
5,2020-09-08 16:00:00,Humid and Overcast,cloudy,0.272,0.14,rain,29.39,40.27,28.59,0.95,1006.1,1.15,2.34,139,0.99,2,16.093,268.1
6,2020-09-08 17:00:00,Humid and Overcast,cloudy,0.3121,0.14,rain,29.32,39.96,28.48,0.95,1005.8,0.9,1.83,161,0.98,1,16.093,268.4
7,2020-09-08 18:00:00,Humid and Overcast,cloudy,0.2634,0.13,rain,28.9,38.49,28.13,0.96,1005.9,0.8,1.61,268,0.96,0,16.093,268.4
8,2020-09-08 19:00:00,Humid and Overcast,cloudy,0.1153,0.09,rain,28.24,36.37,27.64,0.97,1006.4,0.91,1.81,135,0.93,0,16.093,268.3
9,2020-09-08 20:00:00,Humid and Overcast,cloudy,0.0212,0.05,rain,27.49,33.95,27.0,0.97,1006.9,1.09,2.13,40,0.89,0,16.093,268.1
10,2020-09-08 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0117,0.03,rain,26.95,32.07,26.31,0.96,1007.5,1.23,2.31,15,0.87,0,16.093,268.1
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.0073,0.02,rain,26.79,31.37,25.92,0.95,1007.5,1.29,2.27,15,0.88,0,16.093,268.3
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.0039,0.01,rain,26.79,31.2,25.74,0.94,1007.5,1.34,2.15,25,0.9,0,16.093,268.6
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.005,0.03,rain,26.73,30.77,25.56,0.93,1007.3,1.37,2.05,32,0.89,0,16.093,268.9
14,2020-09-09 01:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0,0.0,,26.56,29.67,25.27,0.93,1007.2,1.39,1.99,34,0.83,0,16.093,269.0
15,2020-09-09 02:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0,0.0,,26.23,28.69,24.65,0.91,1007.1,1.41,1.92,37,0.74,0,16.093,269.0
16,2020-09-09 03:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0038,0.01,rain,25.67,27.21,23.9,0.9,1006.9,1.46,1.87,38,0.67,0,16.093,269.1
17,2020-09-09 04:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0203,0.04,rain,25.0,25.85,23.24,0.9,1007.1,1.55,1.82,35,0.61,0,16.093,269.2
18,2020-09-09 05:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0591,0.06,rain,24.4,25.25,22.69,0.9,1007.5,1.64,1.79,33,0.56,0,16.093,269.3
19,2020-09-09 06:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0965,0.08,rain,24.3,25.12,22.6,0.9,1007.8,1.64,1.76,38,0.56,0,16.093,269.3
20,2020-09-09 07:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1098,0.08,rain,24.96,25.97,22.83,0.88,1008.3,1.46,1.67,50,0.65,0,16.093,269.2
21,2020-09-09 08:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1163,0.07,rain,26.38,28.63,23.49,0.84,1008.9,1.24,1.58,61,0.76,2,16.093,269.0
22,2020-09-09 09:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1382,0.07,rain,27.94,32.1,24.37,0.81,1009.0,1.13,1.6,77,0.81,3,16.093,268.4
23,2020-09-09 10:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1902,0.06,rain,29.48,35.69,25.3,0.78,1008.7,1.22,1.74,116,0.79,5,16.093,267.5
24,2020-09-09 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2575,0.07,rain,30.96,39.18,26.11,0.75,1008.2,1.36,1.94,156,0.75,6,16.093,266.4
