,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Clear,clear-day,0.2924,0.07,rain,21.13,21.62,19.16,0.89,1010.7,1.82,1.9,67,0.28,9,16.093,267.4
1,2020-09-08 12:00:00,Clear,clear-day,0.4537,0.11,rain,22.34,22.81,19.36,0.83,1010.2,1.95,2.05,71,0.3,10,16.093,266.9
2,2020-09-08 13:00:00,Partly Cloudy,partly-cloudy-day,0.5327,0.11,rain,22.97,23.46,19.73,0.82,1009.5,1.98,2.08,67,0.36,9,16.093,266.6
3,2020-09-08 14:00:00,Partly Cloudy,partly-cloudy-day,0.5516,0.11,rain,23.03,23.55,19.97,0.83,1008.8,1.99,2.08,63,0.45,7,16.093,266.3
4,2020-09-08 15:00:00,Partly Cloudy,partly-cloudy-day,0.5596,0.12,rain,22.48,23.05,20.14,0.87,1008.3,1.99,2.08,61,0.52,5,16.093,266.1
5,2020-09-08 16:00:00,Partly Cloudy,partly-cloudy-day,0.5723,0.11,rain,21.96,22.58,20.43,0.91,1007.8,1.99,2.08,61,0.58,2,15.971,266.2
6,2020-09-08 17:00:00,Mostly Cloudy,partly-cloudy-day,0.5595,0.11,rain,21.36,22.0,20.33,0.94,1007.6,1.98,2.09,61,0.64,1,11.915,266.4
7,2020-09-08 18:00:00,Mostly Cloudy,partly-cloudy-day,0.5082,0.1,rain,20.86,21.41,19.55,0.92,1007.8,1.93,2.04,54,0.7,0,11.222,266.5
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.419,0.07,rain,20.11,20.53,18.45,0.9,1008.6,1.81,1.9,35,0.8,0,15.386,266.3
9,2020-09-08 20:00:00,Overcast,cloudy,0.3141,0.06,rain,19.23,19.52,17.28,0.88,1009.7,1.67,1.74,12,0.9,0,16.093,266.2
10,2020-09-08 21:00:00,Overcast,cloudy,0.2094,0.05,rain,18.77,19.05,17.09,0.9,1010.4,1.61,1.68,359,0.96,0,16.093,266.0
11,2020-09-08 22:00:00,Overcast,cloudy,0.1049,0.04,rain,18.85,19.17,17.42,0.91,1010.7,1.67,1.74,358,0.97,0,16.093,265.8
12,2020-09-08 23:00:00,Overcast,cloudy,0.033,0.03,rain,18.98,19.35,17.74,0.92,1010.6,1.78,1.88,0,0.96,0,16.093,265.7
13,2020-09-09 00:00:00,Overcast,cloudy,0.0085,0.02,rain,18.95,19.31,17.7,0.92,1010.0,1.87,1.99,1,0.95,0,16.093,265.5
14,2020-09-09 01:00:00,Overcast,cloudy,0.0,0.0,,18.39,18.68,17.03,0.92,1010.0,1.96,2.1,1,0.95,0,16.093,265.3
15,2020-09-09 02:00:00,Overcast,cloudy,0.0,0.0,,17.51,17.7,16.06,0.91,1010.1,2.04,2.18,1,0.95,0,16.093,265.1
16,2020-09-09 03:00:00,Overcast,cloudy,0.0,0.0,,16.97,17.1,15.47,0.91,1010.2,2.02,2.17,0,0.94,0,16.093,265.0
17,2020-09-09 04:00:00,Overcast,cloudy,0.0188,0.01,rain,16.75,16.85,15.26,0.91,1010.2,1.92,2.07,357,0.92,0,16.093,265.2
18,2020-09-09 05:00:00,Overcast,cloudy,0.0189,0.03,rain,16.52,16.63,15.17,0.92,1010.3,1.8,1.94,354,0.89,0,16.093,265.5
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.022,0.03,rain,16.7,16.84,15.47,0.92,1010.6,1.71,1.83,3,0.8,0,16.093,265.6
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0205,0.02,rain,17.53,17.71,16.04,0.91,1010.9,1.62,1.7,29,0.64,0,16.093,265.6
21,2020-09-09 08:00:00,Partly Cloudy,partly-cloudy-day,0.0197,0.02,rain,18.77,19.04,16.99,0.89,1011.2,1.55,1.6,48,0.45,2,16.093,265.6
22,2020-09-09 09:00:00,Partly Cloudy,partly-cloudy-day,0.0348,0.02,rain,19.96,20.3,17.87,0.88,1011.3,1.59,1.62,28,0.32,4,16.093,265.5
23,2020-09-09 10:00:00,Clear,clear-day,0.0919,0.03,rain,21.08,21.44,18.31,0.84,1010.9,1.74,1.78,24,0.23,7,16.093,265.7
24,2020-09-09 11:00:00,Clear,clear-day,0.1996,0.05,rain,22.41,22.77,18.6,0.79,1010.2,1.94,2.02,58,0.19,9,16.093,265.8
25,2020-09-09 12:00:00,Clear,clear-day,0.3098,0.06,rain,23.78,24.14,18.88,0.74,1009.4,2.12,2.22,67,0.24,10,16.093,265.2
26,2020-09-09 13:00:00,Partly Cloudy,partly-cloudy-day,0.3866,0.06,rain,24.49,24.9,19.34,0.73,1008.5,2.29,2.4,67,0.43,8,16.093,263.7
27,2020-09-09 14:00:00,Mostly Cloudy,partly-cloudy-day,0.4433,0.06,rain,24.59,25.05,19.76,0.75,1007.5,2.45,2.56,67,0.67,6,16.093,261.9
28,2020-09-09 15:00:00,Mostly Cloudy,partly-cloudy-day,0.474,0.06,rain,23.95,24.47,20.14,0.79,1006.8,2.53,2.64,66,0.83,4,16.093,261.0
29,2020-09-09 16:00:00,Overcast,cloudy,0.4702,0.07,rain,23.03,23.62,20.49,0.86,1006.3,2.51,2.61,65,0.88,2,15.264,261.3
30,2020-09-09 17:00:00,Overcast,cloudy,0.4438,0.08,rain,22.15,22.82,20.74,0.92,1006.1,2.44,2.53,63,0.89,1,12.473,261.9
31,2020-09-09 18:00:00,Overcast,cloudy,0.3834,0.08,rain,21.53,22.17,20.4,0.93,1006.3,2.35,2.42,56,0.91,0,12.129,262.3
32,2020-09-09 19:00:00,Overcast,cloudy,0.2776,0.06,rain,21.03,21.66,20.15,0.95,1007.1,2.19,2.24,44,0.95,0,15.239,262.1
33,2020-09-09 20:00:00,Overcast,cloudy,0.1738,0.04,rain,20.57,21.18,19.87,0.96,1008.2,2.02,2.07,29,0.98,0,16.093,262.0
34,2020-09-09 21:00:00,Overcast,cloudy,0.1185,0.04,rain,20.17,20.78,19.7,0.97,1008.8,1.94,1.98,16,1.0,0,16.093,261.6
35,2020-09-09 22:00:00,Overcast,cloudy,0.1032,0.04,rain,19.81,20.35,19.16,0.96,1008.8,1.95,2.01,9,1.0,0,16.093,261.1
36,2020-09-09 23:00:00,Overcast,cloudy,0.1001,0.04,rain,19.43,19.9,18.53,0.95,1008.7,2.01,2.09,5,0.99,0,16.093,260.7
37,2020-09-10 00:00:00,Overcast,cloudy,0.0791,0.05,rain,19.0,19.39,17.88,0.93,1008.5,2.12,2.21,3,0.99,0,16.093,260.4
38,2020-09-10 01:00:00,Overcast,cloudy,0.0346,0.04,rain,18.23,18.52,16.92,0.92,1008.0,2.33,2.41,4,0.99,0,16.093,260.4
39,2020-09-10 02:00:00,Overcast,cloudy,0.0095,0.04,rain,17.2,17.35,15.72,0.91,1007.1,2.59,2.67,6,0.98,0,16.093,260.4
40,2020-09-10 03:00:00,Overcast,cloudy,0.0077,0.03,rain,16.56,16.63,15.01,0.91,1006.9,2.72,2.81,7,0.99,0,16.093,260.5
41,2020-09-10 04:00:00,Overcast,cloudy,0.0058,0.02,rain,16.31,16.37,14.82,0.91,1007.0,2.69,2.79,5,1.0,0,16.093,260.8
42,2020-09-10 05:00:00,Overcast,cloudy,0.0,0.0,,16.13,16.21,14.87,0.92,1007.2,2.57,2.67,2,1.0,0,16.093,261.1
43,2020-09-10 06:00:00,Overcast,cloudy,0.0,0.0,,16.38,16.5,15.19,0.93,1007.4,2.39,2.49,7,0.93,0,16.093,261.1
