,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Clear,clear-day,0.2982,0.07,rain,19.95,20.51,19.36,0.96,1010.8,1.97,2.01,63,0.31,9,16.093,266.9
1,2020-09-08 12:00:00,Partly Cloudy,partly-cloudy-day,0.4641,0.11,rain,20.98,21.53,19.62,0.92,1010.3,2.1,2.16,67,0.33,9,14.887,266.5
2,2020-09-08 13:00:00,Partly Cloudy,partly-cloudy-day,0.5389,0.12,rain,21.57,22.14,19.88,0.9,1009.6,2.13,2.17,64,0.4,9,16.093,266.1
3,2020-09-08 14:00:00,Partly Cloudy,partly-cloudy-day,0.5463,0.12,rain,21.72,22.32,20.17,0.91,1008.9,2.13,2.16,60,0.5,7,16.093,265.8
4,2020-09-08 15:00:00,Partly Cloudy,partly-cloudy-day,0.5428,0.12,rain,21.34,22.01,20.54,0.95,1008.3,2.12,2.14,58,0.57,5,16.093,265.6
5,2020-09-08 16:00:00,Mostly Cloudy,partly-cloudy-day,0.546,0.11,rain,20.76,21.52,20.76,1.0,1007.9,2.11,2.13,61,0.62,2,15.811,265.7
6,2020-09-08 17:00:00,Mostly Cloudy,partly-cloudy-day,0.5237,0.11,rain,19.97,20.74,19.97,1.0,1007.7,2.08,2.13,62,0.66,1,12.098,265.8
7,2020-09-08 18:00:00,Mostly Cloudy,partly-cloudy-day,0.4631,0.09,rain,19.51,20.15,19.51,1.0,1007.9,2.02,2.08,56,0.72,0,11.471,265.9
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.3627,0.07,rain,18.85,19.35,18.5,0.98,1008.8,1.89,1.93,37,0.81,0,15.351,265.7
9,2020-09-08 20:00:00,Overcast,cloudy,0.2515,0.06,rain,18.14,18.45,17.13,0.94,1009.9,1.75,1.76,14,0.9,0,16.093,265.5
10,2020-09-08 21:00:00,Overcast,cloudy,0.1556,0.04,rain,17.72,18.0,16.7,0.94,1010.6,1.69,1.69,1,0.96,0,16.093,265.3
11,2020-09-08 22:00:00,Overcast,cloudy,0.0753,0.03,rain,17.83,18.2,17.33,0.97,1010.8,1.74,1.76,0,0.96,0,16.093,265.2
12,2020-09-08 23:00:00,Overcast,cloudy,0.0229,0.03,rain,17.96,18.37,17.6,0.98,1010.7,1.86,1.9,2,0.95,0,16.093,265.1
13,2020-09-09 00:00:00,Overcast,cloudy,0.0037,0.02,rain,17.85,18.24,17.44,0.97,1010.2,1.96,2.03,3,0.95,0,16.093,264.9
14,2020-09-09 01:00:00,Overcast,cloudy,0.0,0.0,,17.3,17.6,16.71,0.96,1010.0,2.06,2.14,3,0.95,0,16.093,264.8
15,2020-09-09 02:00:00,Overcast,cloudy,0.0,0.0,,16.48,16.68,15.75,0.95,1009.2,2.14,2.23,3,0.95,0,16.093,264.5
16,2020-09-09 03:00:00,Overcast,cloudy,0.0,0.0,,15.85,15.96,15.01,0.95,1009.2,2.13,2.24,3,0.94,0,16.093,264.4
17,2020-09-09 04:00:00,Overcast,cloudy,0.004,0.01,rain,15.51,15.58,14.64,0.95,1010.0,2.03,2.15,359,0.92,0,16.093,264.6
18,2020-09-09 05:00:00,Overcast,cloudy,0.0138,0.03,rain,15.34,15.42,14.61,0.95,1010.2,1.91,2.03,356,0.88,0,16.093,264.9
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.0225,0.03,rain,15.52,15.65,14.97,0.97,1010.8,1.82,1.93,5,0.79,0,16.093,265.0
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.023,0.03,rain,16.29,16.48,15.7,0.96,1011.1,1.74,1.82,31,0.62,0,16.093,265.0
21,2020-09-09 08:00:00,Partly Cloudy,partly-cloudy-day,0.0229,0.02,rain,17.52,17.83,16.86,0.96,1011.4,1.68,1.73,50,0.43,2,16.093,264.9
22,2020-09-09 09:00:00,Clear,clear-day,0.0372,0.02,rain,18.73,19.15,17.97,0.95,1011.4,1.72,1.76,28,0.29,4,16.093,264.9
23,2020-09-09 10:00:00,Clear,clear-day,0.089,0.04,rain,19.82,20.26,18.5,0.92,1011.1,1.87,1.92,22,0.22,7,16.093,265.0
24,2020-09-09 11:00:00,Clear,clear-day,0.1858,0.05,rain,20.96,21.35,18.51,0.86,1010.3,2.07,2.16,56,0.19,9,16.093,265.3
25,2020-09-09 12:00:00,Clear,clear-day,0.2847,0.06,rain,22.2,22.62,18.96,0.82,1009.5,2.25,2.36,64,0.25,10,16.093,264.6
26,2020-09-09 13:00:00,Partly Cloudy,partly-cloudy-day,0.3545,0.06,rain,22.91,23.38,19.54,0.81,1008.6,2.43,2.51,63,0.43,8,16.093,263.1
27,2020-09-09 14:00:00,Mostly Cloudy,partly-cloudy-day,0.4081,0.06,rain,23.07,23.61,20.06,0.83,1007.6,2.58,2.63,62,0.67,6,16.093,261.3
28,2020-09-09 15:00:00,Mostly Cloudy,partly-cloudy-day,0.4424,0.06,rain,22.56,23.18,20.58,0.89,1006.9,2.67,2.69,62,0.83,4,16.093,260.5
29,2020-09-09 16:00:00,Mostly Cloudy,partly-cloudy-day,0.4508,0.07,rain,21.71,22.45,21.09,0.96,1006.5,2.65,2.68,62,0.87,2,15.125,260.8
30,2020-09-09 17:00:00,Overcast,cloudy,0.438,0.08,rain,20.59,21.41,20.59,1.0,1006.2,2.59,2.63,61,0.89,1,12.385,261.4
31,2020-09-09 18:00:00,Overcast,cloudy,0.3808,0.08,rain,20.01,20.79,20.01,1.0,1006.4,2.49,2.54,55,0.91,0,11.989,261.7
32,2020-09-09 19:00:00,Overcast,cloudy,0.266,0.06,rain,19.72,20.5,19.72,1.0,1007.3,2.33,2.36,45,0.94,0,15.079,261.6
33,2020-09-09 20:00:00,Overcast,cloudy,0.1534,0.04,rain,19.44,20.16,19.44,1.0,1008.3,2.16,2.18,30,0.98,0,16.093,261.4
34,2020-09-09 21:00:00,Overcast,cloudy,0.0999,0.04,rain,19.09,19.76,19.09,1.0,1008.9,2.06,2.08,17,1.0,0,16.093,261.0
35,2020-09-09 22:00:00,Overcast,cloudy,0.0954,0.04,rain,18.81,19.45,18.81,1.0,1009.0,2.07,2.09,10,1.0,0,16.093,260.5
36,2020-09-09 23:00:00,Overcast,cloudy,0.1021,0.04,rain,18.45,18.98,18.45,1.0,1008.9,2.13,2.16,6,1.0,0,16.093,260.0
37,2020-09-10 00:00:00,Overcast,cloudy,0.0838,0.05,rain,17.94,18.36,17.69,0.98,1008.7,2.24,2.28,5,0.99,0,16.093,259.7
38,2020-09-10 01:00:00,Overcast,cloudy,0.0368,0.04,rain,17.17,17.46,16.59,0.96,1008.2,2.46,2.5,5,0.99,0,16.093,259.7
39,2020-09-10 02:00:00,Overcast,cloudy,0.0098,0.04,rain,16.15,16.3,15.33,0.95,1007.3,2.74,2.79,7,0.99,0,16.093,259.7
40,2020-09-10 03:00:00,Overcast,cloudy,0.0078,0.03,rain,15.39,15.44,14.45,0.94,1007.1,2.89,2.94,8,0.99,0,16.093,259.9
41,2020-09-10 04:00:00,Overcast,cloudy,0.0064,0.02,rain,15.04,15.07,14.15,0.94,1007.2,2.84,2.9,6,1.0,0,16.093,260.1
42,2020-09-10 05:00:00,Overcast,cloudy,0.0,0.0,,14.95,15.01,14.33,0.96,1007.4,2.71,2.76,3,1.0,0,16.093,260.3
43,2020-09-10 06:00:00,Overcast,cloudy,0.0,0.0,,15.2,15.31,14.72,0.97,1007.6,2.52,2.57,8,0.93,0,16.093,260.3
44,2020-09-10 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0098,0.01,rain,16.23,16.43,15.71,0.97,1007.9,2.24,2.27,28,0.72,0,16.093,259.9
45,2020-09-10 08:00:00,Partly Cloudy,partly-cloudy-day,0.019,0.02,rain,17.84,18.21,17.32,0.97,1008.4,1.98,2.0,48,0.47,2,15.781,259.4
46,2020-09-10 09:00:00,Clear,clear-day,0.0566,0.03,rain,19.22,19.72,18.66,0.97,1008.4,1.88,1.91,43,0.3,5,12.883,258.7
47,2020-09-10 10:00:00,Clear,clear-day,0.1844,0.04,rain,20.16,20.68,19.16,0.94,1008.0,1.97,2.03,39,0.23,7,11.909,258.1
48,2020-09-10 11:00:00,Clear,clear-day,0.4239,0.06,rain,21.0,21.47,19.02,0.88,1007.2,2.13,2.24,58,0.22,9,11.55,257.5
