,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.13,0.04,rain,24.19,24.98,22.47,0.9,1009.5,0.68,0.93,124,0.61,7,13.102,265.5
1,2020-09-08 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2699,0.05,rain,25.88,27.04,23.02,0.84,1008.9,0.77,1.16,211,0.6,8,10.903,264.7
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4117,0.06,rain,26.85,29.61,23.48,0.82,1007.9,0.9,1.45,226,0.53,8,12.961,264.2
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5513,0.07,rain,27.13,30.27,23.84,0.82,1007.1,1.04,1.74,249,0.45,7,16.093,263.8
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6215,0.07,rain,26.38,28.68,24.02,0.87,1006.5,1.11,1.92,243,0.4,5,16.093,264.0
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5835,0.07,rain,25.26,26.19,24.29,0.94,1006.2,1.04,1.95,214,0.39,2,16.093,264.8
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4996,0.07,rain,24.0,25.12,24.0,1.0,1006.1,0.91,1.89,316,0.4,1,16.093,265.9
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4353,0.05,rain,23.02,24.13,23.02,1.0,1006.4,0.79,1.79,264,0.45,0,16.093,266.4
8,2020-09-08 19:00:00,Partly Cloudy,partly-cloudy-night,0.4017,0.05,rain,21.83,22.86,21.83,1.0,1007.4,0.69,1.63,263,0.55,0,14.448,266.5
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.3708,0.05,rain,20.76,21.65,20.76,1.0,1008.6,0.59,1.45,356,0.67,0,11.923,266.3
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.3261,0.06,rain,19.96,20.75,19.96,1.0,1009.4,0.51,1.29,342,0.76,0,12.096,265.9
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.2588,0.07,rain,19.55,20.29,19.55,1.0,1009.6,0.45,1.17,58,0.8,0,16.093,265.5
