,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1847,0.05,rain,23.56,24.55,23.3,0.98,1009.9,0.88,1.13,112,0.52,8,9.585,265.3
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3601,0.05,rain,25.02,25.94,23.55,0.92,1009.3,1.08,1.4,265,0.51,9,6.233,264.4
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4925,0.06,rain,25.86,27.07,23.78,0.88,1008.5,1.28,1.68,260,0.47,8,7.505,264.0
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.59,0.06,rain,26.04,27.99,23.92,0.88,1007.7,1.47,1.94,266,0.42,7,10.625,263.6
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.616,0.07,rain,25.29,26.22,24.08,0.93,1007.1,1.52,2.08,261,0.4,5,13.86,263.8
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5444,0.07,rain,24.2,25.3,24.2,1.0,1006.8,1.34,2.1,238,0.43,2,16.093,264.6
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4323,0.07,rain,22.87,24.04,22.87,1.0,1006.7,1.08,2.03,307,0.49,1,16.093,265.5
7,2020-09-08 18:00:00,Partly Cloudy,partly-cloudy-day,0.3521,0.06,rain,21.91,23.06,21.91,1.0,1007.0,0.88,1.9,278,0.54,0,16.093,266.2
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.3143,0.05,rain,20.87,21.95,20.87,1.0,1008.0,0.75,1.68,338,0.6,0,16.093,266.3
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.293,0.05,rain,19.95,20.94,19.95,1.0,1009.2,0.65,1.43,67,0.66,0,15.264,266.2
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.257,0.06,rain,19.26,20.17,19.26,1.0,1009.9,0.61,1.3,117,0.71,0,14.207,265.9
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.1875,0.06,rain,18.91,19.76,18.91,1.0,1010.2,0.65,1.32,129,0.75,0,16.093,265.5
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.1353,0.08,rain,18.67,19.47,18.67,1.0,1010.3,0.72,1.41,129,0.79,0,16.093,265.0
13,2020-09-09 00:00:00,Mostly Cloudy,partly-cloudy-night,0.1212,0.08,rain,18.38,19.13,18.38,1.0,1010.2,0.74,1.44,126,0.82,0,16.093,264.3
14,2020-09-09 01:00:00,Mostly Cloudy,partly-cloudy-night,0.1285,0.07,rain,18.09,18.8,18.09,1.0,1010.1,0.7,1.36,117,0.86,0,16.093,263.2
15,2020-09-09 02:00:00,Overcast,cloudy,0.1516,0.06,rain,18.05,18.74,18.05,1.0,1009.9,0.64,1.27,105,0.89,0,16.093,262.1
16,2020-09-09 03:00:00,Overcast,cloudy,0.1776,0.06,rain,18.11,18.77,18.11,1.0,1009.8,0.61,1.21,98,0.9,0,16.093,261.8
17,2020-09-09 04:00:00,Mostly Cloudy,partly-cloudy-night,0.2006,0.07,rain,17.96,18.59,17.96,1.0,1009.9,0.63,1.21,101,0.87,0,16.093,262.6
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.2401,0.08,rain,17.63,18.23,17.63,1.0,1010.1,0.65,1.21,107,0.82,0,16.093,263.7
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.2684,0.09,rain,17.41,18.02,17.41,1.0,1010.3,0.63,1.13,102,0.72,0,16.093,264.4
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.2638,0.07,rain,18.29,18.94,18.29,1.0,1010.6,0.55,0.91,89,0.56,1,16.093,264.8
21,2020-09-09 08:00:00,Partly Cloudy,partly-cloudy-day,0.2427,0.05,rain,19.67,20.38,19.67,1.0,1011.0,0.46,0.71,83,0.37,2,16.093,265.1
22,2020-09-09 09:00:00,Clear,clear-day,0.2154,0.05,rain,20.85,21.63,20.85,1.0,1010.9,0.5,0.77,79,0.26,5,13.58,264.6
23,2020-09-09 10:00:00,Clear,clear-day,0.1973,0.05,rain,21.77,22.6,21.69,0.99,1010.4,0.72,1.14,87,0.23,8,9.753,263.2
24,2020-09-09 11:00:00,Humid,clear-day,0.2305,0.05,rain,23.01,23.92,22.6,0.98,1009.7,0.99,1.61,94,0.25,10,6.312,261.5
25,2020-09-09 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3245,0.05,rain,24.24,25.16,23.13,0.94,1008.8,1.15,1.92,271,0.35,10,5.178,260.3
26,2020-09-09 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4896,0.06,rain,25.0,25.94,23.43,0.91,1007.9,1.15,1.99,261,0.57,8,7.051,260.0
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6913,0.07,rain,25.17,26.12,23.6,0.91,1006.9,1.09,1.97,253,0.82,6,10.316,260.0
28,2020-09-09 15:00:00,Humid and Overcast,cloudy,0.7569,0.07,rain,24.57,25.59,23.85,0.96,1006.1,1.03,1.98,240,0.97,4,13.498,260.0
29,2020-09-09 16:00:00,Humid and Overcast,cloudy,0.593,0.07,rain,23.65,24.76,23.65,1.0,1005.6,0.97,2.01,224,0.97,2,16.093,260.1
30,2020-09-09 17:00:00,Humid and Overcast,cloudy,0.3898,0.07,rain,22.7,23.89,22.7,1.0,1005.3,0.9,2.01,312,0.98,1,16.093,260.2
31,2020-09-09 18:00:00,Overcast,cloudy,0.2865,0.05,rain,21.9,23.07,21.9,1.0,1005.5,0.82,1.93,283,0.98,0,16.093,260.2
32,2020-09-09 19:00:00,Overcast,cloudy,0.2732,0.05,rain,21.02,22.14,21.02,1.0,1006.5,0.74,1.72,350,0.99,0,16.093,260.2
33,2020-09-09 20:00:00,Overcast,cloudy,0.2831,0.06,rain,20.18,21.21,20.18,1.0,1007.7,0.66,1.47,17,1.0,0,16.093,259.9
34,2020-09-09 21:00:00,Overcast,cloudy,0.2566,0.07,rain,19.45,20.39,19.45,1.0,1008.4,0.6,1.27,319,1.0,0,16.093,259.5
35,2020-09-09 22:00:00,Overcast,cloudy,0.1787,0.07,rain,18.88,19.73,18.88,1.0,1008.5,0.58,1.13,10,0.99,0,16.093,258.4
36,2020-09-09 23:00:00,Overcast,cloudy,0.1032,0.06,rain,18.33,19.1,18.33,1.0,1008.2,0.59,1.02,132,0.98,0,16.093,257.2
37,2020-09-10 00:00:00,Overcast,cloudy,0.0528,0.06,rain,17.83,18.51,17.83,1.0,1007.9,0.58,0.98,145,0.98,0,16.093,256.6
38,2020-09-10 01:00:00,Overcast,cloudy,0.0187,0.05,rain,17.42,18.02,17.42,1.0,1007.3,0.58,1.0,133,0.98,0,16.093,256.6
39,2020-09-10 02:00:00,Overcast,cloudy,0.0,0.0,,17.34,17.88,17.34,1.0,1006.4,0.58,1.06,115,0.99,0,16.093,257.0
40,2020-09-10 03:00:00,Overcast,cloudy,0.0,0.0,,17.41,17.88,17.41,1.0,1006.1,0.6,1.1,103,1.0,0,16.093,257.6
41,2020-09-10 04:00:00,Overcast,cloudy,0.0,0.0,,17.34,17.75,17.34,1.0,1006.0,0.66,1.13,98,0.99,0,16.093,258.4
42,2020-09-10 05:00:00,Overcast,cloudy,0.0,0.0,,17.09,17.47,17.09,1.0,1005.8,0.73,1.15,94,0.99,0,16.093,259.1
43,2020-09-10 06:00:00,Overcast,cloudy,0.0,0.0,,16.96,17.32,16.96,1.0,1005.9,0.74,1.15,92,0.99,0,16.093,259.5
44,2020-09-10 07:00:00,Overcast,cloudy,0.0,0.0,,18.11,18.48,17.43,0.96,1006.8,0.65,1.09,97,0.99,1,16.093,259.7
45,2020-09-10 08:00:00,Overcast,cloudy,0.0,0.0,,19.75,20.16,18.25,0.91,1007.2,0.55,1.03,110,1.0,2,16.093,259.6
46,2020-09-10 09:00:00,Overcast,cloudy,0.0189,0.02,rain,21.35,21.79,18.91,0.86,1007.3,0.56,1.07,113,0.98,4,16.093,259.2
47,2020-09-10 10:00:00,Mostly Cloudy,partly-cloudy-day,0.0916,0.04,rain,22.74,23.22,19.64,0.83,1007.2,0.72,1.25,115,0.87,5,16.093,258.4
48,2020-09-10 11:00:00,Mostly Cloudy,partly-cloudy-day,0.2547,0.05,rain,24.58,25.13,20.68,0.79,1006.4,0.93,1.47,253,0.75,7,14.182,257.6
