,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Partly Cloudy,partly-cloudy-day,0.1532,0.05,rain,20.68,21.44,20.68,1.0,1009.9,0.88,1.09,141,0.59,8,10.434,265.1
1,2020-09-08 12:00:00,Partly Cloudy,partly-cloudy-day,0.3045,0.05,rain,22.1,22.8,21.0,0.93,1009.3,1.05,1.33,245,0.57,9,7.627,264.2
2,2020-09-08 13:00:00,Partly Cloudy,partly-cloudy-day,0.4334,0.06,rain,23.06,23.79,21.47,0.91,1008.5,1.22,1.6,247,0.51,8,8.861,263.8
3,2020-09-08 14:00:00,Partly Cloudy,partly-cloudy-day,0.5423,0.06,rain,23.21,23.99,21.86,0.92,1007.7,1.36,1.85,255,0.44,7,11.791,263.5
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5859,0.07,rain,22.44,23.33,22.34,0.99,1007.1,1.38,1.98,248,0.41,5,14.368,263.6
5,2020-09-08 16:00:00,Partly Cloudy,partly-cloudy-day,0.5352,0.07,rain,21.31,22.37,21.31,1.0,1006.8,1.23,1.98,228,0.42,2,16.093,264.4
6,2020-09-08 17:00:00,Partly Cloudy,partly-cloudy-day,0.4431,0.07,rain,19.95,21.16,19.95,1.0,1006.7,1.0,1.88,309,0.46,1,16.093,265.4
7,2020-09-08 18:00:00,Partly Cloudy,partly-cloudy-day,0.3714,0.06,rain,18.86,20.02,18.86,1.0,1007.1,0.82,1.75,270,0.5,0,16.093,266.0
8,2020-09-08 19:00:00,Partly Cloudy,partly-cloudy-night,0.3297,0.05,rain,17.77,18.85,17.77,1.0,1008.0,0.72,1.58,303,0.56,0,16.093,266.0
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.298,0.05,rain,17.01,17.97,17.01,1.0,1009.2,0.65,1.4,43,0.63,0,14.741,265.9
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.2579,0.06,rain,16.33,17.16,16.33,1.0,1010.0,0.62,1.29,75,0.69,0,14.657,265.5
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.1954,0.06,rain,16.03,16.74,16.03,1.0,1010.3,0.61,1.27,91,0.73,0,16.093,265.2
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.1467,0.07,rain,15.82,16.43,15.82,1.0,1010.3,0.63,1.29,107,0.77,0,16.093,264.6
13,2020-09-09 00:00:00,Mostly Cloudy,partly-cloudy-night,0.134,0.08,rain,15.84,16.38,15.84,1.0,1010.3,0.64,1.27,107,0.81,0,16.093,264.0
14,2020-09-09 01:00:00,Mostly Cloudy,partly-cloudy-night,0.1517,0.07,rain,15.91,16.39,15.91,1.0,1010.2,0.62,1.19,98,0.86,0,16.093,262.9
15,2020-09-09 02:00:00,Overcast,cloudy,0.1839,0.06,rain,16.01,16.44,16.01,1.0,1010.0,0.6,1.11,85,0.9,0,16.093,261.8
