,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Partly Cloudy,partly-cloudy-day,0.3098,0.06,rain,22.01,23.33,22.01,1,1009.6,1.45,1.85,203,0.49,9,15.608,263.3
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4821,0.08,rain,22.98,24.31,22.98,1,1009.1,1.62,2.14,205,0.51,9,14.12,263.0
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6505,0.09,rain,23.06,24.48,23.06,1,1008.4,1.67,2.29,208,0.56,8,13.338,263.9
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8138,0.1,rain,22.25,23.87,22.25,1,1007.6,1.62,2.33,211,0.62,6,13.221,265.2
4,2020-09-08 15:00:00,Mostly Cloudy,partly-cloudy-day,0.8998,0.11,rain,21.09,22.93,21.09,1,1007.2,1.47,2.22,213,0.68,4,14.353,266.2
5,2020-09-08 16:00:00,Mostly Cloudy,partly-cloudy-day,0.8797,0.13,rain,19.96,22.02,19.96,1,1006.9,1.16,1.89,220,0.69,2,16.093,266.6
6,2020-09-08 17:00:00,Mostly Cloudy,partly-cloudy-day,0.8048,0.15,rain,19.19,21.34,19.19,1,1006.9,0.8,1.47,222,0.71,1,16.093,266.8
7,2020-09-08 18:00:00,Mostly Cloudy,partly-cloudy-day,0.7047,0.15,rain,18.55,20.68,18.55,1,1007.3,0.57,1.22,202,0.73,0,16.093,266.7
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.5692,0.14,rain,18.27,20.24,18.27,1,1008.2,0.51,1.22,155,0.76,0,16.093,266.2
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.4264,0.12,rain,18.07,19.86,18.07,1,1009.3,0.53,1.29,106,0.79,0,16.093,265.4
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.3125,0.09,rain,17.79,19.4,17.79,1,1010.0,0.51,1.27,80,0.82,0,16.093,264.6
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.2248,0.08,rain,17.52,18.94,17.52,1,1010.1,0.46,1.09,73,0.85,0,16.093,263.5
12,2020-09-08 23:00:00,Overcast,cloudy,0.1558,0.09,rain,17.21,18.44,17.21,1,1010.0,0.41,0.89,70,0.88,0,16.093,262.4
13,2020-09-09 00:00:00,Overcast,cloudy,0.11,0.09,rain,17.09,18.19,17.09,1,1009.9,0.4,0.83,58,0.92,0,16.093,261.8
14,2020-09-09 01:00:00,Overcast,cloudy,0.0849,0.08,rain,17.11,18.16,17.11,1,1009.6,0.44,0.96,41,0.95,0,16.093,261.8
15,2020-09-09 02:00:00,Overcast,cloudy,0.0754,0.07,rain,17.17,18.2,17.17,1,1009.3,0.5,1.16,27,0.99,0,16.093,262.0
