,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2222,0.06,rain,23.09,24.34,23.09,1.0,1009.7,1.03,1.28,184,0.74,7,10.984,265.3
1,2020-09-08 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3647,0.06,rain,24.45,25.69,24.45,1.0,1009.2,1.2,1.53,207,0.74,7,8.261,264.6
2,2020-09-08 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4733,0.07,rain,25.21,26.46,25.21,1.0,1008.4,1.34,1.65,214,0.72,7,10.695,264.0
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5518,0.07,rain,25.3,26.6,25.3,1.0,1007.6,1.43,1.73,221,0.7,6,15.123,263.7
4,2020-09-08 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.565,0.08,rain,24.56,25.97,24.56,1.0,1007.1,1.42,1.76,221,0.69,4,16.093,264.0
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4898,0.09,rain,23.51,25.07,23.51,1.0,1006.7,1.27,1.71,214,0.69,2,16.093,265.1
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3886,0.09,rain,22.31,24.0,22.31,1.0,1006.6,1.04,1.62,242,0.7,1,16.093,266.4
7,2020-09-08 18:00:00,Mostly Cloudy,partly-cloudy-day,0.3217,0.08,rain,21.53,23.22,21.53,1.0,1006.8,0.82,1.5,224,0.72,0,16.093,267.2
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.2858,0.08,rain,20.69,22.31,20.69,1.0,1007.7,0.63,1.32,195,0.75,0,16.093,267.1
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.2657,0.07,rain,19.93,21.39,19.93,1.0,1008.8,0.44,1.13,84,0.78,0,11.858,266.7
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.2538,0.07,rain,19.37,20.68,19.37,1.0,1009.6,0.34,1.02,96,0.81,0,9.638,266.1
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.242,0.07,rain,19.02,20.22,19.02,1.0,1009.8,0.34,1.02,104,0.84,0,12.136,265.6
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.2391,0.1,rain,18.85,19.98,18.85,1.0,1009.9,0.39,1.06,117,0.87,0,16.045,264.8
13,2020-09-09 00:00:00,Overcast,cloudy,0.2457,0.12,rain,18.73,19.8,18.73,1.0,1009.8,0.42,1.09,124,0.9,0,16.093,264.0
14,2020-09-09 01:00:00,Overcast,cloudy,0.2594,0.11,rain,18.56,19.59,18.56,1.0,1009.6,0.43,1.08,126,0.93,0,15.604,262.9
15,2020-09-09 02:00:00,Overcast,cloudy,0.2918,0.1,rain,18.6,19.62,18.6,1.0,1009.4,0.44,1.07,121,0.96,0,12.872,261.8
16,2020-09-09 03:00:00,Overcast,cloudy,0.3317,0.11,rain,18.59,19.6,18.59,1.0,1009.3,0.45,1.05,83,0.97,0,12.837,261.6
